"ID","NAMES","P09_POP4559_AsTheCrowFlies_ACC_0.1"
"97201","L'AJOUPA-BOUILLON",10768.2817395173
"97202","LES ANSES-D'ARLET",10369.6976490036
"97203","BASSE-POINTE",12489.3993420341
"97204","LE CARBET",8931.46649336656
"97205","CASE-PILOTE",4642.02597278431
"97206","LE DIAMANT",8841.18661057633
"97207","DUCOS",4909.01320623681
"97208","FONDS-SAINT-DENIS",7246.02604024039
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",6185.00700823118
"97211","GRAND'RIVIERE",15399.9105798936
"97212","GROS-MORNE",5660.11315105172
"97213","LE LAMENTIN",4107.64987781014
"97214","LE LORRAIN",8894.54382921306
"97215","MACOUBA",14476.7646730214
"97216","LE MARIGOT",7593.10829811514
"97217","LE MARIN",8290.83393948486
"97218","LE MORNE-ROUGE",8809.68966946953
"97219","LE PRECHEUR",15075.89312764
"97220","RIVIERE-PILOTE",5980.38610730886
"97221","RIVIERE-SALEE",5744.80273403979
"97222","LE ROBERT",6082.87587118218
"97223","SAINT-ESPRIT",5294.03285807407
"97224","SAINT-JOSEPH",3603.04136558231
"97225","SAINT-PIERRE",11288.3926900513
"97226","SAINTE-ANNE",11571.9940799916
"97227","SAINTE-LUCE",6955.90796679959
"97228","SAINTE-MARIE",7087.00358081465
"97229","SCHOELCHER",2466.64853642879
"97230","LA TRINITE",7467.29797696951
"97231","LES TROIS-ILETS",7915.72421712511
"97232","LE VAUCLIN",7464.26767191926
"97233","LE MORNE-VERT",7087.68155805872
"97234","BELLEFONTAINE",6716.71301449328
