"ID","NAMES","P09_POP75P_AsTheCrowFlies_ACC_0.5"
"97201","L'AJOUPA-BOUILLON",99999999999999
"97202","LES ANSES-D'ARLET",19864.2263207157
"97203","BASSE-POINTE",99999999999999
"97204","LE CARBET",18074.647755918
"97205","CASE-PILOTE",14303.8243015192
"97206","LE DIAMANT",19544.7180761335
"97207","DUCOS",13552.5793944214
"97208","FONDS-SAINT-DENIS",14583.0719716346
"97209","FORT-DE-FRANCE",11219.9540293017
"97210","LE FRANCOIS",16453.3784900388
"97211","GRAND'RIVIERE",99999999999999
"97212","GROS-MORNE",11796.8077915905
"97213","LE LAMENTIN",11229.9449084613
"97214","LE LORRAIN",19172.8844773218
"97215","MACOUBA",99999999999999
"97216","LE MARIGOT",16918.5417512955
"97217","LE MARIN",99999999999999
"97218","LE MORNE-ROUGE",17940.1371582121
"97219","LE PRECHEUR",99999999999999
"97220","RIVIERE-PILOTE",99999999999999
"97221","RIVIERE-SALEE",16820.7250213266
"97222","LE ROBERT",14362.0837896411
"97223","SAINT-ESPRIT",16830.7853218555
"97224","SAINT-JOSEPH",10269.3720754952
"97225","SAINT-PIERRE",99999999999999
"97226","SAINTE-ANNE",99999999999999
"97227","SAINTE-LUCE",99999999999999
"97228","SAINTE-MARIE",16267.2307932659
"97229","SCHOELCHER",12790.6639494933
"97230","LA TRINITE",16939.785087654
"97231","LES TROIS-ILETS",16392.0153803886
"97232","LE VAUCLIN",99999999999999
"97233","LE MORNE-VERT",15272.6788699779
"97234","BELLEFONTAINE",15963.4015708433
