"ID","NAMES","P09_POP75P_AsTheCrowFlies_POT_0"
"97201","L'AJOUPA-BOUILLON",160
"97202","LES ANSES-D'ARLET",314
"97203","BASSE-POINTE",322
"97204","LE CARBET",324
"97205","CASE-PILOTE",220
"97206","LE DIAMANT",266
"97207","DUCOS",773
"97208","FONDS-SAINT-DENIS",83
"97209","FORT-DE-FRANCE",7136
"97210","LE FRANCOIS",1294
"97211","GRAND'RIVIERE",131
"97212","GROS-MORNE",902
"97213","LE LAMENTIN",1954
"97214","LE LORRAIN",729
"97215","MACOUBA",134
"97216","LE MARIGOT",338
"97217","LE MARIN",664
"97218","LE MORNE-ROUGE",413
"97219","LE PRECHEUR",181
"97220","RIVIERE-PILOTE",918
"97221","RIVIERE-SALEE",615
"97222","LE ROBERT",1385
"97223","SAINT-ESPRIT",658
"97224","SAINT-JOSEPH",959
"97225","SAINT-PIERRE",494
"97226","SAINTE-ANNE",274
"97227","SAINTE-LUCE",454
"97228","SAINTE-MARIE",1398
"97229","SCHOELCHER",1428
"97230","LA TRINITE",886
"97231","LES TROIS-ILETS",356
"97232","LE VAUCLIN",679
"97233","LE MORNE-VERT",133
"97234","BELLEFONTAINE",108
