"ID","NAMES","P09_POP_AsTheCrowFlies_ACC_0.5"
"97201","L'AJOUPA-BOUILLON",99999999999999
"97202","LES ANSES-D'ARLET",19159.9608389525
"97203","BASSE-POINTE",99999999999999
"97204","LE CARBET",19422.8536728387
"97205","CASE-PILOTE",15111.2935530355
"97206","LE DIAMANT",18585.2293812881
"97207","DUCOS",12633.8892232273
"97208","FONDS-SAINT-DENIS",15892.5323658121
"97209","FORT-DE-FRANCE",11456.9211732713
"97210","LE FRANCOIS",15441.3890074782
"97211","GRAND'RIVIERE",99999999999999
"97212","GROS-MORNE",12113.3040084466
"97213","LE LAMENTIN",10738.6686752101
"97214","LE LORRAIN",99999999999999
"97215","MACOUBA",99999999999999
"97216","LE MARIGOT",17888.7563646011
"97217","LE MARIN",99999999999999
"97218","LE MORNE-ROUGE",19405.4975787938
"97219","LE PRECHEUR",99999999999999
"97220","RIVIERE-PILOTE",99999999999999
"97221","RIVIERE-SALEE",15670.2486415796
"97222","LE ROBERT",13872.3054495418
"97223","SAINT-ESPRIT",15590.8821393893
"97224","SAINT-JOSEPH",10586.6087916591
"97225","SAINT-PIERRE",99999999999999
"97226","SAINTE-ANNE",99999999999999
"97227","SAINTE-LUCE",19666.4001219934
"97228","SAINTE-MARIE",16864.4032596159
"97229","SCHOELCHER",13311.2658598822
"97230","LA TRINITE",16885.2081115746
"97231","LES TROIS-ILETS",15616.2401076715
"97232","LE VAUCLIN",99999999999999
"97233","LE MORNE-VERT",16537.1477462167
"97234","BELLEFONTAINE",17014.8986764002
