"ID","NAMES","P09_POP_AsTheCrowFlies_POT_7500"
"97201","L'AJOUPA-BOUILLON",22524.08001319
"97202","LES ANSES-D'ARLET",16016.02017842
"97203","BASSE-POINTE",16548.86758269
"97204","LE CARBET",21777.37184105
"97205","CASE-PILOTE",94051.29790258
"97206","LE DIAMANT",28416.0083309
"97207","DUCOS",82794.22890591
"97208","FONDS-SAINT-DENIS",44704.54240778
"97209","FORT-DE-FRANCE",145278.89982085
"97210","LE FRANCOIS",58725.39629541
"97211","GRAND'RIVIERE",9531.10819206
"97212","GROS-MORNE",84666.6515344
"97213","LE LAMENTIN",114193.98160473
"97214","LE LORRAIN",30522.68712421
"97215","MACOUBA",11469.49472835
"97216","LE MARIGOT",38842.22007764
"97217","LE MARIN",33364.52054714
"97218","LE MORNE-ROUGE",26315.33713161
"97219","LE PRECHEUR",8815.71123908
"97220","RIVIERE-PILOTE",53156.59413431
"97221","RIVIERE-SALEE",60321.36557605
"97222","LE ROBERT",63722.51709855
"97223","SAINT-ESPRIT",71487.79879234
"97224","SAINT-JOSEPH",138552.3347528
"97225","SAINT-PIERRE",16509.2299297
"97226","SAINTE-ANNE",17010.25077386
"97227","SAINTE-LUCE",43208.52605734
"97228","SAINTE-MARIE",42971.91248578
"97229","SCHOELCHER",125213.67739292
"97230","LA TRINITE",40691.88196108
"97231","LES TROIS-ILETS",32984.58303685
"97232","LE VAUCLIN",38755.81141115
"97233","LE MORNE-VERT",47447.02322904
"97234","BELLEFONTAINE",53087.48572991
