ID,NAMES,POPTO2004,NBLOG2004,IMMIG9404,EMIG9404
TS1110,Carthage ,20715,6432,3265,2379
TS1111,La Medina ,26703,8265,2771,42243
TS1112,Bab El Bhar ,39806,16125,6812,12701
TS1113,Bab Souika ,33284,9629,2548,7199
TS1114,El Omrane ,40801,9779,3645,4446
TS1115,El Omrane Supérieur ,62138,15679,8805,6375
TS1116,Ettahrir ,21956,6027,3790,2758
TS1117,El Menzah ,43320,13707,5995,6856
TS1118,Cité El Khadhra ,36818,11035,6755,4073
TS1119,Le Bardo ,70244,19594,8507,12838
TS111A,Sijoumi ,36171,7190,1944,4285
TS111B,Ezzouhour ,40434,9601,3915,6335
TS111C,El Hrairia ,96245,22466,10600,3513
TS111D,Sidi Hassine ,79381,18458,10625,1699
TS111E,El Ouardia ,33734,8462,2356,6430
TS111F,El Kabaria ,81261,20040,10131,3153
TS111G,Sidi El Béchir ,29911,8694,3246,2778
TS111H,Djebel Djelloud ,26490,5724,1550,2285
TS111I,La Goulette ,28407,8638,3981,2765
TS111J,Le Kram ,58152,16803,7522,3212
TS111K,La Marsa ,77890,23237,7386,5026
TS1120,L Ariana Ville  ,97687,32121,16961,15426
TS1121,Soukra ,89151,25163,19129,2832
TS1122,Raoued ,60896,17499,14053,1443
TS1123,Kalaât El Andalous ,23045,4778,728,528
TS1124,Sidi Thabet ,19404,4802,1298,723
TS1125,Cité Ettadhamen ,78311,18367,5651,5245
TS1126,El Mnihla ,53752,14370,7258,985
TS1130,Ben Arous  ,32329,8800,3963,9381
TS1131,La Nouvelle Medina ,42603,11110,6070,2295
TS1132,El Mourouj ,81986,23444,21829,5773
TS1133,Hammam Lif ,38401,11549,3130,4802
TS1134,Hammam Chôtt ,24847,7168,4997,1551
TS1135,Bou Mhel El Bassatine ,27977,7831,5831,1135
TS1136,Ezzahra ,31792,9783,5508,3991
TS1137,Radès ,44857,13465,7221,3708
TS1138,Megrine ,24031,6511,1880,2872
TS1139,Mohamedia ,46613,11110,6451,2327
TS113A,Fouchana ,56628,13833,8910,2695
TS113B,Mornag ,53709,11460,3515,1836
TS1140,Mannouba  ,51398,13897,7033,9466
TS1141,Douar Hicher ,75959,15779,7514,1518
TS1142,Oued Ellil ,58544,13377,6450,2109
TS1143,Mornaguia ,35129,7524,2806,1352
TS1144,Borj Amri ,16184,3236,842,892
TS1145,Djedeida ,40327,8727,2445,1638
TS1146,Tebourba ,41050,8334,1628,2294
TS1147,El Battane ,17321,3392,716,444
TS1150,Nabeul  ,59490,18733,4838,7360
TS1151,Dar Châabane El Fehri ,39477,10817,3406,1099
TS1152,Beni khiar ,35565,10912,2055,937
TS1153,Korba ,60564,15630,2060,1600
TS1154,Menzel Temime ,59463,15319,1387,2285
TS1155,El Mida ,23667,5894,650,722
TS1156,Kelibia ,53648,15238,2815,2242
TS1157,Hammam El Guezaz ,14324,3780,632,566
TS1158,El Haouaria ,39378,10106,955,1460
TS1159,Takelsa ,20169,4123,552,692
TS115A,Soliman ,41846,10783,3729,1432
TS115B,Menzel Bouzelfa ,33599,8442,876,1278
TS115C,Beni Khalled ,33897,8077,1944,940
TS115D,Grombalia ,55489,12521,3310,2064
TS115E,Bou Argoub ,27846,5955,1028,743
