"ID","NAMES","agriculteurs_AsTheCowRolls_ACC_0.005"
"75101","Paris 1er Arrondissement",0.262889722024257
"75102","Paris 2e  Arrondissement",0.424664724677713
"75103","Paris 3e  Arrondissement",0.218449911855238
"75104","Paris 4e  Arrondissement",0.281321968373871
"75105","Paris 5e  Arrondissement",0.172345063146339
"75106","Paris 6e  Arrondissement",0
"75107","Paris 7e  Arrondissement",0
"75108","Paris 8e  Arrondissement",0
"75109","Paris 9e  Arrondissement",0
"75110","Paris 10e  Arrondissement",0.202995545796064
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0.278294012210253
"75113","Paris 13e  Arrondissement",0.19882261951163
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0.121193458057788
"75120","Paris 20e  Arrondissement",0.605518849786635
"77001","Acheres-la-Foret",7.40198823311217
"77002","Amillis",7.53233882430107
"77003","Amponville",7.19695579642312
"77004","Andrezel",8.92461979965304
"77005","Annet-sur-Marne",8.50006828621972
"77006","Arbonne-la-Foret",7.11068172486466
"77007","Argentieres",9.06659533002967
"77008","Armentieres-en-Brie",9.43569520978023
"77009","Arville",6.64065804092466
"77010","Aubepierre-Ozouer-le-Repos",8.17989022533413
"77011","Aufferville",5.81632350049357
"77012","Augers-en-Brie",6.27767591010125
"77013","Aulnoy",7.72563650826147
"77014","Avon",9.06206903733377
"77015","Baby",10.6278723933674
"77016","Bagneaux-sur-Loing",7.04858753982155
"77018","Bailly-Romainvilliers",8.2607382616648
"77019","Balloy",7.6905742015932
"77020","Bannost-Villegagnon",5.9775044140192
"77021","Barbey",10.0564328835565
"77022","Barbizon",4.76947539888076
"77023","Barcy",8.00835317822753
"77024","Bassevelle",10.4005008230374
"77025","Bazoches-les-Bray",7.67859715242693
"77026","Beauchery-Saint-Martin",8.25388598200724
"77027","Beaumont-du-Gatinais",10.3516478826613
"77028","Beautheil",6.62166843372637
"77029","Beauvoir",8.21130430838907
"77030","Bellot",6.80538828547286
"77031","Bernay-Vilbert",5.60491166462205
"77032","Beton-Bazoches",4.09656226932457
"77033","Bezalles",4.7047483566675
"77034","Blandy",9.26030001686243
"77035","Blennes",10.3343238952087
"77036","Boisdon",4.3624331212841
"77037","Bois-le-Roi",8.4616611050892
"77038","Boissettes",10.3702700234903
"77039","Boissise-la-Bertrand",10.3211601831157
"77040","Boissise-le-Roi",7.61605472351811
"77041","Boissy-aux-Cailles",7.1434772786529
"77042","Boissy-le-Chatel",8.16992622881418
"77043","Boitron",9.88903426334069
"77044","Bombon",11.5371181320086
"77045","Bougligny",5.89769332727229
"77046","Boulancourt",10.0668959160597
"77047","Bouleurs",5.88212505661276
"77048","Bourron-Marlotte",10.1370765202934
"77049","Boutigny",7.6156758617252
"77050","Bransles",8.03789867364702
"77051","Bray-sur-Seine",7.51430708083516
"77052","Breau",10.4729308081144
"77053","Brie-Comte-Robert",6.16924845302366
"77054","La Brosse-Montceaux",8.67053524794826
"77055","Brou-sur-Chantereine",7.50996872674082
"77056","Burcy",6.22700299191933
"77057","Bussieres",7.68823400107092
"77058","Bussy-Saint-Georges",6.43163378495395
"77059","Bussy-Saint-Martin",6.8967774053714
"77060","Buthiers",7.79158584655631
"77061","Cannes-Ecluse",7.46999068396128
"77062","Carnetin",9.65228231887356
"77063","La Celle-sur-Morin",6.32033316859314
"77065","Cely",6.56233097496284
"77066","Cerneux",5.91751144383602
"77067","Cesson",7.5789171033252
"77068","Cessoy-en-Montois",6.31178243803951
"77069","Chailly-en-Biere",3.54404769041364
"77070","Chailly-en-Brie",6.83086621588314
"77071","Chaintreaux",5.61576551238905
"77072","Chalautre-la-Grande",11.7956548084534
"77073","Chalautre-la-Petite",6.64676597213064
"77075","Chalifert",8.18171962592228
"77076","Chalmaison",7.56885127364885
"77077","Chambry",7.84868244029991
"77078","Chamigny",7.74158312106036
"77079","Champagne-sur-Seine",10.7203996469664
"77080","Champcenest",5.21339675503861
"77081","Champdeuil",7.94391600327129
"77082","Champeaux",10.1625202267999
"77083","Champs-sur-Marne",6.11435281651145
"77084","Changis-sur-Marne",8.12687579653583
"77085","Chanteloup-en-Brie",7.63844204201562
"77086","La Chapelle-Gauthier",10.0629481831858
"77087","La Chapelle-Iger",7.63763837258622
"77088","La Chapelle-la-Reine",6.15969545582064
"77089","La Chapelle-Rablais",9.50978895288244
"77090","La Chapelle-Saint-Sulpice",6.68633658356395
"77091","Les Chapelles-Bourbon",6.16897683719107
"77093","La Chapelle-Moutils",8.43133449628814
"77094","Charmentray",8.3410209543134
"77095","Charny",7.44431090157877
"77096","Chartrettes",9.95837582234302
