"ID","NAMES","agriculteurs_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",2212.70153832
"75102","Paris 2e  Arrondissement",2194.58314715
"75103","Paris 3e  Arrondissement",2170.05666653
"75104","Paris 4e  Arrondissement",2193.94102259
"75105","Paris 5e  Arrondissement",2181.1660297
"75106","Paris 6e  Arrondissement",2202.71028543
"75107","Paris 7e  Arrondissement",2196.47169153
"75108","Paris 8e  Arrondissement",2288.45406391
"75109","Paris 9e  Arrondissement",2243.26502338
"75110","Paris 10e  Arrondissement",2226.42406323
"75111","Paris 11e  Arrondissement",2080.81413776
"75112","Paris 12e  Arrondissement",2058.688723
"75113","Paris 13e  Arrondissement",2129.69443055
"75114","Paris 14e  Arrondissement",2183.91227254
"75115","Paris 15e  Arrondissement",2154.94224894
"75116","Paris 16e  Arrondissement",2256.4540523
"75117","Paris 17e  Arrondissement",2252.18783891
"75118","Paris 18e  Arrondissement",2181.4940764
"75119","Paris 19e  Arrondissement",2055.75677615
"75120","Paris 20e  Arrondissement",2021.74745886
"77001","Acheres-la-Foret",347.49667807
"77002","Amillis",403.47914114
"77003","Amponville",299.14960908
"77004","Andrezel",320.13897599
"77005","Annet-sur-Marne",441.87636475
"77006","Arbonne-la-Foret",366.53800089
"77007","Argentieres",320.10953418
"77008","Armentieres-en-Brie",242.60368949
"77009","Arville",226.9726289
"77010","Aubepierre-Ozouer-le-Repos",337.52125662
"77011","Aufferville",289.25126431
"77012","Augers-en-Brie",324.34062511
"77013","Aulnoy",354.83711033
"77014","Avon",350.82041173
"77015","Baby",152.31526608
"77016","Bagneaux-sur-Loing",327.22380519
"77018","Bailly-Romainvilliers",510.31659986
"77019","Balloy",243.28272358
"77020","Bannost-Villegagnon",406.77970145
"77021","Barbey",216.66072888
"77022","Barbizon",348.03102154
"77023","Barcy",281.62075769
"77024","Bassevelle",184.72287475
"77025","Bazoches-les-Bray",239.52395187
"77026","Beauchery-Saint-Martin",234.28025417
"77027","Beaumont-du-Gatinais",162.24377464
"77028","Beautheil",369.16518231
"77029","Beauvoir",346.48395223
"77030","Bellot",248.0557439
"77031","Bernay-Vilbert",442.97850888
"77032","Beton-Bazoches",442.53110316
"77033","Bezalles",376.96172643
"77034","Blandy",304.62068642
"77035","Blennes",156.10523201
"77036","Boisdon",405.08383861
"77037","Bois-le-Roi",297.31217824
"77038","Boissettes",288.37767458
"77039","Boissise-la-Bertrand",294.50264472
"77040","Boissise-le-Roi",381.26408528
"77041","Boissy-aux-Cailles",264.20299014
"77042","Boissy-le-Chatel",353.25615219
"77043","Boitron",201.11341048
"77044","Bombon",212.77539084
"77045","Bougligny",253.20288678
"77046","Boulancourt",232.1900717
"77047","Bouleurs",433.65190018
"77048","Bourron-Marlotte",291.74917219
"77049","Boutigny",368.59747698
"77050","Bransles",227.72492193
"77051","Bray-sur-Seine",242.20530396
"77052","Breau",284.55251099
"77053","Brie-Comte-Robert",546.77067662
"77054","La Brosse-Montceaux",224.55722505
"77055","Brou-sur-Chantereine",615.67598196
"77056","Burcy",260.81372326
"77057","Bussieres",257.56109398
"77058","Bussy-Saint-Georges",781.97069685
"77059","Bussy-Saint-Martin",650.04879495
"77060","Buthiers",284.79548205
"77061","Cannes-Ecluse",255.2699167
"77062","Carnetin",381.71277721
"77063","La Celle-sur-Morin",394.16436143
"77065","Cely",475.57432441
"77066","Cerneux",348.61045655
"77067","Cesson",384.51623246
"77068","Cessoy-en-Montois",277.3603894
"77069","Chailly-en-Biere",417.61370039
"77070","Chailly-en-Brie",471.10319355
"77071","Chaintreaux",282.88523483
"77072","Chalautre-la-Grande",141.09765469
"77073","Chalautre-la-Petite",306.26528729
"77075","Chalifert",425.73451828
"77076","Chalmaison",273.11750692
"77077","Chambry",305.35966603
"77078","Chamigny",276.99886867
"77079","Champagne-sur-Seine",255.37374377
"77080","Champcenest",357.85137766
"77081","Champdeuil",386.47023116
"77082","Champeaux",284.56943382
"77083","Champs-sur-Marne",949.9393271
"77084","Changis-sur-Marne",343.64897316
"77085","Chanteloup-en-Brie",546.74659848
"77086","La Chapelle-Gauthier",291.61605108
"77087","La Chapelle-Iger",349.04555009
"77088","La Chapelle-la-Reine",407.74708886
"77089","La Chapelle-Rablais",241.71148441
"77090","La Chapelle-Saint-Sulpice",339.67495186
"77091","Les Chapelles-Bourbon",436.04165088
"77093","La Chapelle-Moutils",212.61586151
"77094","Charmentray",315.08339469
"77095","Charny",302.78853464
"77096","Chartrettes",235.11275181
"77097","Chartronges",347.77019811
"77098","Chateaubleau",319.62337286
"77099","Chateau-Landon",227.84934718
"77100","Le Chatelet-en-Brie",265.94272358
"77101","Chatenay-sur-Seine",237.8776936
"77102","Chatenoy",304.57258776
"77103","Chatillon-la-Borde",261.47821957
"77104","Chatres",461.25730707
"77106","Chauffry",296.76421088
"77107","Chaumes-en-Brie",432.30093216
"77108","Chelles",783.64955334
"77109","Chenoise",407.62694321
"77110","Chenou",224.58560748
"77111","Chessy",470.50774071
"77112","Chevrainvilliers",310.61378587
"77113","Chevru",408.74327361
"77114","Chevry-Cossigny",522.79053913
"77115","Chevry-en-Sereine",223.97535938
"77116","Choisy-en-Brie",403.57366621
"77117","Citry",178.42571636
"77118","Claye-Souilly",594.49733553
"77119","Clos-Fontaine",317.30369375
"77120","Cocherel",248.52576928
"77121","Collegien",888.91757215
"77122","Combs-la-Ville",424.6950662
"77123","Compans",500.09535938
"77124","Conches-sur-Gondoire",536.20556766
"77125","Conde-Sainte-Libiaire",387.77329692
"77126","Congis-sur-Therouanne",211.09831116
"77127","Coubert",457.9718777
"77128","Couilly-Pont-aux-Dames",556.17868469
"77129","Coulombs-en-Valois",166.00422265
"77130","Coulommes",400.57766403
"77131","Coulommiers",466.15582054
"77132","Coupvray",410.38483051
"77133","Courcelles-en-Bassee",215.25041718
"77134","Courchamp",354.77221948
"77135","Courpalay",404.7666844
"77136","Courquetaine",319.83246325
"77137","Courtacon",435.2996585
"77138","Courtomer",325.515599
"77139","Courtry",644.07857018
"77140","Coutencon",220.61221286
"77141","Coutevroult",551.73703085
"77142","Crecy-la-Chapelle",444.3173781
"77143","Cregy-les-Meaux",367.40557741
"77144","Crevecoeur-en-Brie",417.18464421
"77145","Crisenoy",373.23596473
"77146","Croissy-Beaubourg",921.61112437
"77147","La Croix-en-Brie",302.35338616
"77148","Crouy-sur-Ourcq",136.62292283
"77149","Cucharmoy",336.52042015
"77150","Cuisy",218.05460085
"77151","Dagny",456.31550974
"77152","Dammarie-les-Lys",373.72204885
"77153","Dammartin-en-Goele",297.46350353
"77154","Dammartin-sur-Tigeaux",414.69728759
"77155","Dampmart",374.17998679
"77156","Darvault",403.71912681
"77157","Dhuisy",243.14252172
"77158","Diant",205.31871173
"77159","Donnemarie-Dontilly",291.92591461
"77161","Dormelles",253.82524503
"77162","Doue",286.80384191
"77163","Douy-la-Ramee",131.95529978
"77164","Echouboulains",209.80518374
"77165","Les Ecrennes",245.08228359
"77166","Ecuelles",284.42023312
"77167","Egligny",227.05429429
"77168","Egreville",258.92771332
"77169","Emerainville",978.93448494
"77170","Episy",323.62760767
"77171","Esbly",407.36807391
"77172","Esmans",264.35867748
"77173","Etrepilly",230.52476098
"77174","Everly",271.74621801
"77175","Evry-Gregy-sur-Yerre",445.25648203
"77176","Faremoutiers",430.49789172
