"ID","NAMES","agriculteurs_AsTheCrowFlies_ACC_0.005"
"75101","Paris 1er Arrondissement",170.830227142086
"75102","Paris 2e  Arrondissement",266.768413066282
"75103","Paris 3e  Arrondissement",153.462172517241
"75104","Paris 4e  Arrondissement",191.260828936042
"75105","Paris 5e  Arrondissement",132.633090414913
"75106","Paris 6e  Arrondissement",0
"75107","Paris 7e  Arrondissement",0
"75108","Paris 8e  Arrondissement",0
"75109","Paris 9e  Arrondissement",0
"75110","Paris 10e  Arrondissement",185.600655143403
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",553.672937201355
"75113","Paris 13e  Arrondissement",250.761401397945
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",104.289828810155
"75120","Paris 20e  Arrondissement",519.107601089968
"77001","Acheres-la-Foret",4912.36873094477
"77002","Amillis",5135.32679768427
"77003","Amponville",4213.99092122172
"77004","Andrezel",5736.7126460409
"77005","Annet-sur-Marne",5596.40275468191
"77006","Arbonne-la-Foret",5575.06865950768
"77007","Argentieres",5052.34531484625
"77008","Armentieres-en-Brie",5007.17302315756
"77009","Arville",3962.49705303035
"77010","Aubepierre-Ozouer-le-Repos",5469.42533559421
"77011","Aufferville",3275.96953578694
"77012","Augers-en-Brie",4666.51343076586
"77013","Aulnoy",4553.33294348366
"77014","Avon",7702.19895828758
"77015","Baby",7996.60146865409
"77016","Bagneaux-sur-Loing",5132.48853297398
"77018","Bailly-Romainvilliers",5475.80539380808
"77019","Balloy",5330.00854667441
"77020","Bannost-Villegagnon",3575.7521337772
"77021","Barbey",6256.41112126315
"77022","Barbizon",3371.37983304932
"77023","Barcy",5833.06409673268
"77024","Bassevelle",5173.0278856639
"77025","Bazoches-les-Bray",5249.5342915227
"77026","Beauchery-Saint-Martin",5325.97195120175
"77027","Beaumont-du-Gatinais",7117.5305948628
"77028","Beautheil",4280.20819105343
"77029","Beauvoir",5289.28395458606
"77030","Bellot",4170.39246766662
"77031","Bernay-Vilbert",3356.96819149845
"77032","Beton-Bazoches",3199.06765680945
"77033","Bezalles",2963.82263901587
