"ID","NAMES","agriculteurs_AsTheCrowFlies_POT_0"
"75101","Paris 1er Arrondissement",19
"75102","Paris 2e  Arrondissement",7
"75103","Paris 3e  Arrondissement",24
"75104","Paris 4e  Arrondissement",21
"75105","Paris 5e  Arrondissement",28
"75106","Paris 6e  Arrondissement",61
"75107","Paris 7e  Arrondissement",39
"75108","Paris 8e  Arrondissement",51
"75109","Paris 9e  Arrondissement",60
"75110","Paris 10e  Arrondissement",22
"75111","Paris 11e  Arrondissement",65
"75112","Paris 12e  Arrondissement",31
"75113","Paris 13e  Arrondissement",30
"75114","Paris 14e  Arrondissement",44
"75115","Paris 15e  Arrondissement",107
"75116","Paris 16e  Arrondissement",198
"75117","Paris 17e  Arrondissement",100
"75118","Paris 18e  Arrondissement",60
"75119","Paris 19e  Arrondissement",35
"75120","Paris 20e  Arrondissement",17
"77001","Acheres-la-Foret",12
"77002","Amillis",4
"77003","Amponville",4
"77004","Andrezel",12
"77005","Annet-sur-Marne",0
"77006","Arbonne-la-Foret",4
"77007","Argentieres",0
"77008","Armentieres-en-Brie",0
"77009","Arville",4
"77010","Aubepierre-Ozouer-le-Repos",8
"77011","Aufferville",16
"77012","Augers-en-Brie",4
"77013","Aulnoy",0
"77014","Avon",0
"77015","Baby",4
"77016","Bagneaux-sur-Loing",0
"77018","Bailly-Romainvilliers",0
"77019","Balloy",8
"77020","Bannost-Villegagnon",12
"77021","Barbey",0
"77022","Barbizon",12
"77023","Barcy",0
"77024","Bassevelle",4
"77025","Bazoches-les-Bray",8
"77026","Beauchery-Saint-Martin",12
"77027","Beaumont-du-Gatinais",16
"77028","Beautheil",12
"77029","Beauvoir",0
"77030","Bellot",8
"77031","Bernay-Vilbert",20
"77032","Beton-Bazoches",19
"77033","Bezalles",11
"77034","Blandy",4
"77035","Blennes",0
"77036","Boisdon",9
"77037","Bois-le-Roi",0
"77038","Boissettes",0
"77039","Boissise-la-Bertrand",0
"77040","Boissise-le-Roi",0
"77041","Boissy-aux-Cailles",20
"77042","Boissy-le-Chatel",0
"77043","Boitron",4
"77044","Bombon",0
"77045","Bougligny",4
"77046","Boulancourt",4
"77047","Bouleurs",16
"77048","Bourron-Marlotte",8
"77049","Boutigny",4
"77050","Bransles",8
"77051","Bray-sur-Seine",0
"77052","Breau",0
"77053","Brie-Comte-Robert",13
"77054","La Brosse-Montceaux",4
"77055","Brou-sur-Chantereine",0
"77056","Burcy",4
"77057","Bussieres",0
"77058","Bussy-Saint-Georges",12
"77059","Bussy-Saint-Martin",0
"77060","Buthiers",8
"77061","Cannes-Ecluse",4
"77062","Carnetin",0
"77063","La Celle-sur-Morin",0
"77065","Cely",0
"77066","Cerneux",8
"77067","Cesson",9
"77068","Cessoy-en-Montois",0
"77069","Chailly-en-Biere",28
"77070","Chailly-en-Brie",0
"77071","Chaintreaux",12
"77072","Chalautre-la-Grande",16
"77073","Chalautre-la-Petite",4
"77075","Chalifert",0
"77076","Chalmaison",0
"77077","Chambry",4
"77078","Chamigny",0
"77079","Champagne-sur-Seine",0
"77080","Champcenest",22
"77081","Champdeuil",0
"77082","Champeaux",0
"77083","Champs-sur-Marne",3
"77084","Changis-sur-Marne",0
"77085","Chanteloup-en-Brie",0
"77086","La Chapelle-Gauthier",0
"77087","La Chapelle-Iger",4
"77088","La Chapelle-la-Reine",12
"77089","La Chapelle-Rablais",0
"77090","La Chapelle-Saint-Sulpice",0
"77091","Les Chapelles-Bourbon",4
"77093","La Chapelle-Moutils",4
"77094","Charmentray",0
"77095","Charny",4
"77096","Chartrettes",8
"77097","Chartronges",8
"77098","Chateaubleau",0
"77099","Chateau-Landon",12
"77100","Le Chatelet-en-Brie",8
"77101","Chatenay-sur-Seine",8
"77102","Chatenoy",0
"77103","Chatillon-la-Borde",0
"77104","Chatres",4
"77106","Chauffry",0
"77107","Chaumes-en-Brie",4
"77108","Chelles",14
"77109","Chenoise",8
"77110","Chenou",21
"77111","Chessy",0
"77112","Chevrainvilliers",8
"77113","Chevru",12
"77114","Chevry-Cossigny",4
"77115","Chevry-en-Sereine",8
"77116","Choisy-en-Brie",16
"77117","Citry",12
"77118","Claye-Souilly",6
"77119","Clos-Fontaine",0
"77120","Cocherel",0
"77121","Collegien",0
"77122","Combs-la-Ville",6
"77123","Compans",4
"77124","Conches-sur-Gondoire",0
"77125","Conde-Sainte-Libiaire",0
"77126","Congis-sur-Therouanne",8
"77127","Coubert",0
"77128","Couilly-Pont-aux-Dames",0
"77129","Coulombs-en-Valois",28
"77130","Coulommes",8
"77131","Coulommiers",9
"77132","Coupvray",4
"77133","Courcelles-en-Bassee",8
"77134","Courchamp",0
"77135","Courpalay",4
"77136","Courquetaine",8
"77137","Courtacon",3
"77138","Courtomer",0
"77139","Courtry",0
"77140","Coutencon",0
"77141","Coutevroult",8
"77142","Crecy-la-Chapelle",12
"77143","Cregy-les-Meaux",0
"77144","Crevecoeur-en-Brie",0
"77145","Crisenoy",0
"77146","Croissy-Beaubourg",0
"77147","La Croix-en-Brie",12
"77148","Crouy-sur-Ourcq",0
"77149","Cucharmoy",0
"77150","Cuisy",0
"77151","Dagny",0
"77152","Dammarie-les-Lys",3
"77153","Dammartin-en-Goele",0
"77154","Dammartin-sur-Tigeaux",0
"77155","Dampmart",4
"77156","Darvault",0
"77157","Dhuisy",12
"77158","Diant",13
"77159","Donnemarie-Dontilly",12
"77161","Dormelles",13
"77162","Doue",24
"77163","Douy-la-Ramee",0
"77164","Echouboulains",8
"77165","Les Ecrennes",0
"77166","Ecuelles",8
"77167","Egligny",8
"77168","Egreville",12
"77169","Emerainville",0
"77170","Episy",0
"77171","Esbly",0
"77172","Esmans",12
"77173","Etrepilly",4
"77174","Everly",0
"77175","Evry-Gregy-sur-Yerre",15
"77176","Faremoutiers",8
"77177","Favieres",4
"77178","Fay-les-Nemours",8
"77179","Fericy",4
"77180","Ferolles-Attilly",4
"77181","Ferrieres-en-Brie",8
"77182","La Ferte-Gaucher",8
"77183","La Ferte-sous-Jouarre",8
"77184","Flagy",4
"77185","Fleury-en-Biere",4
"77186","Fontainebleau",10
"77187","Fontaine-Fourches",12
"77188","Fontaine-le-Port",8
"77190","Fontains",13
"77191","Fontenailles",0
"77192","Fontenay-Tresigny",20
"77193","Forfry",0
"77194","Forges",8
"77195","Fouju",0
"77196","Fresnes-sur-Marne",4
"77197","Fretoy",4
"77198","Fromont",4
"77199","Fublaines",0
"77200","Garentreville",16
"77201","Gastins",4
"77202","La Genevraye",0
"77203","Germigny-l'Eveque",0
"77204","Germigny-sous-Coulombs",12
"77205","Gesvres-le-Chapitre",0
"77206","Giremoutiers",4
"77207","Gironville",4
"77208","Gouaix",16
"77209","Gouvernes",0
"77210","La Grande-Paroisse",4
"77211","Grandpuits-Bailly-Carrois",4
"77212","Gravon",0
"77214","Gressy",0
"77215","Gretz-Armainvilliers",0
"77216","Grez-sur-Loing",0
"77217","Grisy-Suisnes",16
"77218","Grisy-sur-Seine",0
"77219","Guerard",12
"77220","Guercheville",8
"77221","Guermantes",0
"77222","Guignes",0
"77223","Gurcy-le-Chatel",4
"77224","Hautefeuille",0
"77225","La Haute-Maison",8
"77226","Hericy",0
"77227","Herme",4
"77228","Hondevilliers",12
"77229","La Houssaye-en-Brie",28
"77230","Ichy",8
"77231","Isles-les-Meldeuses",0
"77232","Isles-les-Villenoy",4
"77233","Iverny",12
"77234","Jablines",4
"77235","Jaignes",4
"77236","Jaulnes",0
"77237","Jossigny",4
"77238","Jouarre",32
"77239","Jouy-le-Chatel",19
"77240","Jouy-sur-Morin",12
"77241","Juilly",8
"77242","Jutigny",4
"77243","Lagny-sur-Marne",7
"77244","Larchant",8
"77245","Laval-en-Brie",8
"77246","Lechelle",4
"77247","Lescherolles",0
"77248","Lesches",0
"77249","Lesigny",8
"77250","Leudon-en-Brie",4
"77251","Lieusaint",3
"77252","Limoges-Fourches",0
"77253","Lissy",0
"77254","Liverdy-en-Brie",0
"77255","Livry-sur-Seine",0
"77256","Lizines",4
"77257","Lizy-sur-Ourcq",8
"77258","Lognes",0
"77259","Longperrier",4
"77260","Longueville",4
"77261","Lorrez-le-Bocage-Preaux",23
"77262","Louan-Villegruis-Fontaine",12
"77263","Luisetaines",8
"77264","Lumigny-Nesles-Ormeaux",24
"77265","Luzancy",0
"77266","Machault",0
"77267","La Madeleine-sur-Loing",0
"77268","Magny-le-Hongre",0
"77269","Maincy",0
"77270","Maisoncelles-en-Brie",16
"77271","Maisoncelles-en-Gatinais",8
"77272","Maison-Rouge",12
"77273","Marchemoret",8
"77274","Marcilly",0
"77275","Les Marets",8
"77276","Mareuil-les-Meaux",0
"77277","Marles-en-Brie",8
"77278","Marolles-en-Brie",0
"77279","Marolles-sur-Seine",0
"77280","Mary-sur-Marne",8
"77281","Mauperthuis",0
"77282","Mauregard",0
"77283","May-en-Multien",0
"77284","Meaux",16
"77285","Le Mee-sur-Seine",0
"77286","Meigneux",4
"77287","Meilleray",8
"77288","Melun",8
"77289","Melz-sur-Seine",29
"77290","Mery-sur-Marne",0
"77291","Le Mesnil-Amelot",0
"77292","Messy",4
"77293","Misy-sur-Yonne",0
"77294","Mitry-Mory",7
"77295","Moisenay",0
"77296","Moissy-Cramayel",0
"77297","Mondreville",20
"77298","Mons-en-Montois",0
"77299","Montarlot",0
"77300","Montceaux-les-Meaux",4
"77301","Montceaux-les-Provins",4
"77302","Montcourt-Fromonville",4
"77303","Montdauphin",4
"77304","Montenils",0
"77305","Montereau-Fault-Yonne",5
"77306","Montereau-sur-le-Jard",8
"77307","Montevrain",8
"77308","Montge-en-Goele",4
"77309","Monthyon",0
"77310","Montigny-le-Guesdier",0
"77311","Montigny-Lencoup",0
"77312","Montigny-sur-Loing",0
"77313","Montmachoux",4
"77314","Montolivet",12
"77315","Montry",0
"77316","Moret-sur-Loing",0
"77317","Mormant",4
"77318","Mortcerf",0
"77319","Mortery",4
"77320","Mouroux",12
