"ID","NAMES","artisans_AsTheCowRolls_POT_10"
"75101","Paris 1er Arrondissement",70696.83711079
"75102","Paris 2e  Arrondissement",69958.54809534
"75103","Paris 3e  Arrondissement",71315.88454047
"75104","Paris 4e  Arrondissement",72044.54189764
"75105","Paris 5e  Arrondissement",69495.07952576
"75106","Paris 6e  Arrondissement",68575.30853471
"75107","Paris 7e  Arrondissement",65317.93090092
"75108","Paris 8e  Arrondissement",73290.24217374
"75109","Paris 9e  Arrondissement",74839.26227072
"75110","Paris 10e  Arrondissement",76342.30237251
"75111","Paris 11e  Arrondissement",67473.94101144
"75112","Paris 12e  Arrondissement",63579.53138779
"75113","Paris 13e  Arrondissement",64658.70183846
"75114","Paris 14e  Arrondissement",63511.10210724
"75115","Paris 15e  Arrondissement",58031.95623071
"75116","Paris 16e  Arrondissement",60763.65639008
"75117","Paris 17e  Arrondissement",70888.27754684
"75118","Paris 18e  Arrondissement",66922.28951715
"75119","Paris 19e  Arrondissement",63234.90364741
"75120","Paris 20e  Arrondissement",64802.9901295
"77001","Acheres-la-Foret",507.64340429
"77002","Amillis",380.65339312
"77003","Amponville",244.36334494
"77004","Andrezel",512.38564061
"77005","Annet-sur-Marne",2435.51079062
"77006","Arbonne-la-Foret",921.85055499
"77007","Argentieres",488.97590218
"77008","Armentieres-en-Brie",421.53968851
"77009","Arville",164.3780542
"77010","Aubepierre-Ozouer-le-Repos",488.24185371
"77011","Aufferville",401.89900596
"77012","Augers-en-Brie",140.62251107
"77013","Aulnoy",605.41918825
"77014","Avon",1392.75984534
"77015","Baby",134.51258964
"77016","Bagneaux-sur-Loing",652.90759965
"77018","Bailly-Romainvilliers",2244.78257181
"77019","Balloy",233.9846533
"77020","Bannost-Villegagnon",171.70211358
"77021","Barbey",333.85656905
"77022","Barbizon",1099.41646783
"77023","Barcy",1174.4353897
"77024","Bassevelle",145.18335598
"77025","Bazoches-les-Bray",227.30847116
"77026","Beauchery-Saint-Martin",118.22529353
"77027","Beaumont-du-Gatinais",78.75967127
"77028","Beautheil",424.46733856
"77029","Beauvoir",570.57824399
"77030","Bellot",260.89186662
"77031","Bernay-Vilbert",436.16258696
"77032","Beton-Bazoches",235.67229876
"77033","Bezalles",138.41528839
"77034","Blandy",757.26975823
"77035","Blennes",141.77430478
"77036","Boisdon",170.60525114
"77037","Bois-le-Roi",1736.3234686
"77038","Boissettes",1678.47261097
"77039","Boissise-la-Bertrand",1697.94410841
"77040","Boissise-le-Roi",1973.67590373
"77041","Boissy-aux-Cailles",211.47793731
"77042","Boissy-le-Chatel",671.61789029
"77043","Boitron",179.66169573
"77044","Bombon",234.44588383
"77045","Bougligny",364.54370007
"77046","Boulancourt",127.24959902
"77047","Bouleurs",1471.79044259
"77048","Bourron-Marlotte",786.90298087
"77049","Boutigny",1166.31241113
"77050","Bransles",219.03507188
"77051","Bray-sur-Seine",232.36999222
"77052","Breau",357.5413863
"77053","Brie-Comte-Robert",3121.79429291
"77054","La Brosse-Montceaux",348.05723672
"77055","Brou-sur-Chantereine",7438.82275534
