"ID","NAMES","artisans_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",2253.51544208211
"75102","Paris 2e  Arrondissement",2047.8334920637
"75103","Paris 3e  Arrondissement",2046.17415931749
"75104","Paris 4e  Arrondissement",2325.08278775407
"75105","Paris 5e  Arrondissement",2568.76686449253
"75106","Paris 6e  Arrondissement",2528.40281048944
"75107","Paris 7e  Arrondissement",2571.66333818396
"75108","Paris 8e  Arrondissement",2473.61027962869
"75109","Paris 9e  Arrondissement",1959.57780237142
"75110","Paris 10e  Arrondissement",1820.16146402475
"75111","Paris 11e  Arrondissement",2245.9588969208
"75112","Paris 12e  Arrondissement",3186.96063542977
"75113","Paris 13e  Arrondissement",2933.9474134984
"75114","Paris 14e  Arrondissement",2769.91279721394
"75115","Paris 15e  Arrondissement",2704.92957733279
"75116","Paris 16e  Arrondissement",2785.69125458041
"75117","Paris 17e  Arrondissement",2470.69446252135
"75118","Paris 18e  Arrondissement",2392.2247907761
"75119","Paris 19e  Arrondissement",2500.85471911855
"75120","Paris 20e  Arrondissement",2571.06481750228
"77001","Acheres-la-Foret",27696.802712095
"77002","Amillis",29784.0758238698
"77003","Amponville",31768.4523743195
"77004","Andrezel",20260.4552034027
"77005","Annet-sur-Marne",11761.904279401
"77006","Arbonne-la-Foret",23560.7188017421
"77007","Argentieres",21308.4951398742
"77008","Armentieres-en-Brie",25690.8518304624
"77009","Arville",39704.2247272451
"77010","Aubepierre-Ozouer-le-Repos",23273.2807822838
"77011","Aufferville",38241.9954142905
"77012","Augers-en-Brie",40441.8769504258
"77013","Aulnoy",27031.9609233546
"77014","Avon",26244.325564426
"77015","Baby",47886.7157063525
"77016","Bagneaux-sur-Loing",38157.5239837392
"77018","Bailly-Romainvilliers",15328.7451039736
"77019","Balloy",40123.334108214
"77020","Bannost-Villegagnon",33102.3096268098
"77021","Barbey",37944.7341293395
"77022","Barbizon",21781.025815327
"77023","Barcy",21279.8922960253
"77024","Bassevelle",36662.0107319797
"77025","Bazoches-les-Bray",41544.9713987957
"77026","Beauchery-Saint-Martin",44744.4878777862
"77027","Beaumont-du-Gatinais",42471.2286708129
"77028","Beautheil",27773.5349949021
"77029","Beauvoir",21329.5656753513
"77030","Bellot",37980.8741448949
"77031","Bernay-Vilbert",22827.9807163123
"77032","Beton-Bazoches",35064.4933906969
"77033","Bezalles",35390.2763665223
"77034","Blandy",21554.9816207606
"77035","Blennes",43410.3314749553
"77036","Boisdon",34624.9093038843
"77037","Bois-le-Roi",22396.7059966919
"77038","Boissettes",18204.0872614212
"77039","Boissise-la-Bertrand",17251.5979695818
"77040","Boissise-le-Roi",17943.1338637604
"77041","Boissy-aux-Cailles",29951.9051719166
"77042","Boissy-le-Chatel",29173.8984882456
"77043","Boitron",35427.3992418127
"77044","Bombon",23608.9130635677
"77045","Bougligny",39356.7227612484
"77046","Boulancourt",33503.6457813175
"77047","Bouleurs",19089.3347377464
"77048","Bourron-Marlotte",30370.3901623267
"77049","Boutigny",20430.1844820449
"77050","Bransles",45340.7788096544
"77051","Bray-sur-Seine",42884.7741771445
"77052","Breau",24352.8205847436
"77053","Brie-Comte-Robert",11670.7303600472
"77054","La Brosse-Montceaux",38441.9476835367
"77055","Brou-sur-Chantereine",8497.05765883712
"77056","Burcy",35709.9707608091
"77057","Bussieres",34673.8349786648
"77058","Bussy-Saint-Georges",11568.2693164626
"77059","Bussy-Saint-Martin",9793.6133646554
"77060","Buthiers",31664.2937731782
"77061","Cannes-Ecluse",36071.3161958298
"77062","Carnetin",10999.6078895442
"77063","La Celle-sur-Morin",22092.6094852409
"77065","Cely",20287.0912270567
"77066","Cerneux",39633.5103482481
"77067","Cesson",15893.4878589004
"77068","Cessoy-en-Montois",35302.4451433126
"77069","Chailly-en-Biere",20794.3504539137
"77070","Chailly-en-Brie",29124.1350567531
"77071","Chaintreaux",42225.5399101806
"77072","Chalautre-la-Grande",47059.956995599
"77073","Chalautre-la-Petite",41918.0167553865
"77075","Chalifert",13697.51921881
"77076","Chalmaison",40598.3443456294
"77077","Chambry",21258.1170715018
"77078","Chamigny",31385.9382075444
"77079","Champagne-sur-Seine",28305.2342718291
"77080","Champcenest",36937.84447861
"77081","Champdeuil",17596.0099093372
"77082","Champeaux",21033.9741297768
"77083","Champs-sur-Marne",6759.62433124845
"77084","Changis-sur-Marne",25716.3288432033
"77085","Chanteloup-en-Brie",12235.1383307144
"77086","La Chapelle-Gauthier",24740.9804366403
"77087","La Chapelle-Iger",25630.6654451694
"77088","La Chapelle-la-Reine",30009.2517694799
"77089","La Chapelle-Rablais",28762.2833575045
"77090","La Chapelle-Saint-Sulpice",35358.6362334577
"77091","Les Chapelles-Bourbon",17750.0508445022
"77093","La Chapelle-Moutils",40753.3050041167
"77094","Charmentray",15211.9972176896
"77095","Charny",15038.8918342239
"77096","Chartrettes",21806.6741271636
"77097","Chartronges",35320.9510157145
"77098","Chateaubleau",31746.1765017674
"77099","Chateau-Landon",43369.8182281979
"77100","Le Chatelet-en-Brie",23936.1071918522
"77101","Chatenay-sur-Seine",36990.7248638354
"77102","Chatenoy",36596.6266589511
"77103","Chatillon-la-Borde",23310.9890331219
"77104","Chatres",17785.1266116715
"77106","Chauffry",31193.5639509415
"77107","Chaumes-en-Brie",20088.3218234376
"77108","Chelles",6958.73945456376
"77109","Chenoise",34180.5514134864
"77110","Chenou",41631.1529985015
"77111","Chessy",13401.4420746797
"77112","Chevrainvilliers",35301.1707308443
"77113","Chevru",32497.3806102434
"77114","Chevry-Cossigny",12639.1753310116
"77115","Chevry-en-Sereine",41787.7968740081
"77116","Choisy-en-Brie",32939.8710380008
"77117","Citry",35607.7271049689
"77118","Claye-Souilly",11174.6589937202
"77119","Clos-Fontaine",27671.5990079053
"77120","Cocherel",30751.2810143287
"77121","Collegien",9892.35848011462
"77122","Combs-la-Ville",11830.7560687295
"77123","Compans",12565.9737663406
"77124","Conches-sur-Gondoire",11308.6847303042
"77125","Conde-Sainte-Libiaire",16303.794662418
"77126","Congis-sur-Therouanne",25212.6214897864
"77127","Coubert",15103.1935644647
"77128","Couilly-Pont-aux-Dames",17431.5600005354
"77129","Coulombs-en-Valois",33637.7512289983
"77130","Coulommes",20187.6787897637
"77131","Coulommiers",27163.443618794
"77132","Coupvray",14451.0316002965
"77133","Courcelles-en-Bassee",35806.7018245366
"77134","Courchamp",38026.5380136202
"77135","Courpalay",24455.3144350883
"77136","Courquetaine",16263.3684600095
"77137","Courtacon",37112.8823328786
"77138","Courtomer",22077.6388048142
"77139","Courtry",7781.61682020674
"77140","Coutencon",31273.3735749123
"77141","Coutevroult",16528.1090276272
"77142","Crecy-la-Chapelle",20150.1336734668
"77143","Cregy-les-Meaux",19804.2380140742
"77144","Crevecoeur-en-Brie",20175.9646277274
"77145","Crisenoy",18546.5339272159
"77146","Croissy-Beaubourg",9109.88204789745
"77147","La Croix-en-Brie",30043.6329927627
"77148","Crouy-sur-Ourcq",32049.1396210348
"77149","Cucharmoy",34448.7895092377
"77150","Cuisy",17875.3479486318
"77151","Dagny",31310.5380629998
"77152","Dammarie-les-Lys",18936.1693903326
"77153","Dammartin-en-Goele",16487.2314512125
"77154","Dammartin-sur-Tigeaux",19091.7488475964
"77155","Dampmart",12694.5254806056
"77156","Darvault",34796.6690557603
"77157","Dhuisy",33768.180236266
"77158","Diant",40517.534296469
"77159","Donnemarie-Dontilly",35534.6915720169
"77161","Dormelles",35944.9727238841
"77162","Doue",30811.4842783021
"77163","Douy-la-Ramee",23481.5938249434
"77164","Echouboulains",29398.4068162028
"77165","Les Ecrennes",26356.9121417731
"77166","Ecuelles",31796.676890338
"77167","Egligny",37282.1077795793
"77168","Egreville",44203.5390512577
"77169","Emerainville",7516.17573265597
"77170","Episy",32531.4647944526
"77171","Esbly",15396.8347115097
"77172","Esmans",36526.8124958885
"77173","Etrepilly",24399.2261170831
"77174","Everly",41939.7721658376
"77175","Evry-Gregy-sur-Yerre",13669.5695143083
"77176","Faremoutiers",23452.1341828317
"77177","Favieres",14218.1810900546
"77178","Fay-les-Nemours",37302.5670830068
"77179","Fericy",25492.9539254023
"77180","Ferolles-Attilly",10916.1618932767
"77181","Ferrieres-en-Brie",11084.1813369135
"77182","La Ferte-Gaucher",37046.9363237049
"77183","La Ferte-sous-Jouarre",30101.7285889107
"77184","Flagy",36948.7673910639
"77185","Fleury-en-Biere",21252.0644417488
"77186","Fontainebleau",25504.8373729292
"77187","Fontaine-Fourches",49011.1978451974
"77188","Fontaine-le-Port",23617.1650884814
"77190","Fontains",29886.4859894055
"77191","Fontenailles",26725.54116922
"77192","Fontenay-Tresigny",19880.6533397373
"77193","Forfry",21930.0081483219
"77194","Forges",31876.058865381
"77195","Fouju",19791.8334315871
"77196","Fresnes-sur-Marne",13406.3785367327
"77197","Fretoy",33079.803592988
"77198","Fromont",34148.8165704193
"77199","Fublaines",21390.5611305046
"77200","Garentreville",35811.6963694298
"77201","Gastins",27289.583769656
"77202","La Genevraye",32703.9539780806
"77203","Germigny-l'Eveque",23422.9340756423
"77204","Germigny-sous-Coulombs",34607.9311510929
"77205","Gesvres-le-Chapitre",20862.5487145163
"77206","Giremoutiers",24478.9593270738
"77207","Gironville",40913.5882302099
"77208","Gouaix",42769.9630175097
"77209","Gouvernes",10377.0181100966
"77210","La Grande-Paroisse",31795.8295432908
"77211","Grandpuits-Bailly-Carrois",26843.5704834327
"77212","Gravon",39503.9448780025
"77214","Gressy",11661.9786435898
"77215","Gretz-Armainvilliers",13435.7900868275
"77216","Grez-sur-Loing",31846.3582945071
"77217","Grisy-Suisnes",13785.031578185
"77218","Grisy-sur-Seine",44932.7317654402
"77219","Guerard",20977.4970215123
"77220","Guercheville",33912.7612406804
"77221","Guermantes",11039.8288366969
"77222","Guignes",19390.1068083871
"77223","Gurcy-le-Chatel",33849.7224485584
"77224","Hautefeuille",22194.0282532177
"77225","La Haute-Maison",23368.8807196038
"77226","Hericy",26155.509975567
"77227","Herme",44483.9350492477
"77228","Hondevilliers",37867.0126256127
"77229","La Houssaye-en-Brie",18577.8523047699
"77230","Ichy",37785.4737993299
"77231","Isles-les-Meldeuses",26060.8493044187
"77232","Isles-les-Villenoy",16355.6512835891
"77233","Iverny",17335.5026300801
"77234","Jablines",13358.5983820238
"77235","Jaignes",28428.2903868597
"77236","Jaulnes",44144.2803375101
"77237","Jossigny",13216.7592840807
"77238","Jouarre",28470.847427719
"77239","Jouy-le-Chatel",30880.4556377614
"77240","Jouy-sur-Morin",35529.8488155414
"77241","Juilly",15593.1926044514
"77242","Jutigny",39241.1779171487
"77243","Lagny-sur-Marne",10993.3608201334
"77244","Larchant",32621.8113909032
"77245","Laval-en-Brie",31251.95067157
"77246","Lechelle",43953.0375266451
"77247","Lescherolles",39320.233818968
"77248","Lesches",14887.2020076422
"77249","Lesigny",9653.40064365513
"77250","Leudon-en-Brie",35730.8012684181
"77251","Lieusaint",12446.8402151808
"77252","Limoges-Fourches",15479.9413834175
"77253","Lissy",16719.5029567072
"77254","Liverdy-en-Brie",16974.9381802379
"77255","Livry-sur-Seine",20659.8843222131
"77256","Lizines",35641.660423927
"77257","Lizy-sur-Ourcq",27679.1749141099
"77258","Lognes",8100.51086794729
"77259","Longperrier",15655.1814193011
