"ID","NAMES","artisans_AsTheCrowFlies_POT_10000"
"75101","Paris 1er Arrondissement",108402.76537291
"75102","Paris 2e  Arrondissement",108543.3389697
"75103","Paris 3e  Arrondissement",107882.90418105
"75104","Paris 4e  Arrondissement",107314.46791427
"75105","Paris 5e  Arrondissement",105737.07808949
"75106","Paris 6e  Arrondissement",106498.45921007
"75107","Paris 7e  Arrondissement",105668.33914956
"75108","Paris 8e  Arrondissement",106300.20263753
"75109","Paris 9e  Arrondissement",107831.54376123
"75110","Paris 10e  Arrondissement",107073.33956294
"75111","Paris 11e  Arrondissement",105404.47531436
"75112","Paris 12e  Arrondissement",90984.09501347
"75113","Paris 13e  Arrondissement",99642.76223498
"75114","Paris 14e  Arrondissement",99445.62687991
"75115","Paris 15e  Arrondissement",98269.35421161
"75116","Paris 16e  Arrondissement",93344.39422301
"75117","Paris 17e  Arrondissement",103383.06987308
"75118","Paris 18e  Arrondissement",104185.61165986
"75119","Paris 19e  Arrondissement",101565.91876211
"75120","Paris 20e  Arrondissement",100962.60879047
"77001","Acheres-la-Foret",1135.06719792
"77002","Amillis",938.22295052
"77003","Amponville",697.92839374
"77004","Andrezel",1562.23093472
"77005","Annet-sur-Marne",8478.48448899
"77006","Arbonne-la-Foret",1769.28227221
"77007","Argentieres",1290.00087694
"77008","Armentieres-en-Brie",1714.15811468
"77009","Arville",373.88067826
"77010","Aubepierre-Ozouer-le-Repos",1038.86621069
"77011","Aufferville",643.7189386
"77012","Augers-en-Brie",342.59881096
"77013","Aulnoy",1500.21284911
"77014","Avon",2203.80513958
"77015","Baby",231.52706335
"77016","Bagneaux-sur-Loing",966.81774587
"77018","Bailly-Romainvilliers",4710.73458501
"77019","Balloy",431.70205409
"77020","Bannost-Villegagnon",478.27854748
"77021","Barbey",650.1647518
"77022","Barbizon",2755.16256775
"77023","Barcy",1962.02903222
"77024","Bassevelle",583.36525905
"77025","Bazoches-les-Bray",379.8849663
"77026","Beauchery-Saint-Martin",319.26820445
"77027","Beaumont-du-Gatinais",135.8141875
"77028","Beautheil",1213.89955358
"77029","Beauvoir",1281.79373901
"77030","Bellot",620.69956637
"77031","Bernay-Vilbert",1128.21759028
"77032","Beton-Bazoches",523.72835077
"77033","Bezalles",448.7349878
"77034","Blandy",1780.66671238
"77035","Blennes",315.38533919
"77036","Boisdon",458.38480479
"77037","Bois-le-Roi",3102.21505338
"77038","Boissettes",4375.1398733
"77039","Boissise-la-Bertrand",4831.23589497
"77040","Boissise-le-Roi",4368.23421792
"77041","Boissy-aux-Cailles",708.1762439
"77042","Boissy-le-Chatel",1345.89226215
"77043","Boitron",758.9069169
"77044","Bombon",1013.84587164
"77045","Bougligny",783.04634564
"77046","Boulancourt",346.55521937
"77047","Bouleurs",3389.53879381
"77048","Bourron-Marlotte",1646.98688161
"77049","Boutigny",3153.26524666
"77050","Bransles",344.69708902
"77051","Bray-sur-Seine",405.59568816
"77052","Breau",926.57023748
"77053","Brie-Comte-Robert",8412.3688743
"77054","La Brosse-Montceaux",688.36893342
"77055","Brou-sur-Chantereine",19023.00070091
"77056","Burcy",471.71256074
"77057","Bussieres",760.36023178
"77058","Bussy-Saint-Georges",9202.32440583
"77059","Bussy-Saint-Martin",14072.70752955
"77060","Buthiers",472.46568526
"77061","Cannes-Ecluse",881.52862565
"77062","Carnetin",10280.18840349
"77063","La Celle-sur-Morin",1759.62665974
"77065","Cely",2650.31986367
"77066","Cerneux",376.35720609
"77067","Cesson",5396.38064206
"77068","Cessoy-en-Montois",610.74449903
"77069","Chailly-en-Biere",3301.242739
"77070","Chailly-en-Brie",1283.22119373
"77071","Chaintreaux",617.01836472
"77072","Chalautre-la-Grande",278.05533692
"77073","Chalautre-la-Petite",636.18634087
"77075","Chalifert",6035.06518702
"77076","Chalmaison",668.78469122
"77077","Chambry",2271.35651603
"77078","Chamigny",805.83998044
"77079","Champagne-sur-Seine",1913.75718683
"77080","Champcenest",429.47850384
"77081","Champdeuil",2648.20009688
"77082","Champeaux",1514.40715084
"77083","Champs-sur-Marne",29725.85075505
