"ID","NAMES","cadres_AsTheCowRolls_POT_20"
"75101","Paris 1er Arrondissement",1049947.83491681
"75102","Paris 2e  Arrondissement",1036602.10832809
"75103","Paris 3e  Arrondissement",1036399.20588678
"75104","Paris 4e  Arrondissement",1053747.06977837
"75105","Paris 5e  Arrondissement",1052197.31439027
"75106","Paris 6e  Arrondissement",1055128.05404768
"75107","Paris 7e  Arrondissement",1043997.05858799
"75108","Paris 8e  Arrondissement",1055459.68322712
"75109","Paris 9e  Arrondissement",1048533.23290435
"75110","Paris 10e  Arrondissement",1046784.25647997
"75111","Paris 11e  Arrondissement",1006822.8669243
"75112","Paris 12e  Arrondissement",1006047.37271589
"75113","Paris 13e  Arrondissement",1039173.70493159
"75114","Paris 14e  Arrondissement",1050582.46242258
"75115","Paris 15e  Arrondissement",1023212.91010944
"75116","Paris 16e  Arrondissement",1033782.41797446
"75117","Paris 17e  Arrondissement",1033672.70992535
"75118","Paris 18e  Arrondissement",1004390.78831775
"75119","Paris 19e  Arrondissement",971083.03425149
"75120","Paris 20e  Arrondissement",976763.13860442
"77001","Acheres-la-Foret",13988.65191775
"77002","Amillis",4381.27360031
"77003","Amponville",7994.18012415
"77004","Andrezel",19213.28842433
"77005","Annet-sur-Marne",135777.14749031
"77006","Arbonne-la-Foret",26233.70915401
"77007","Argentieres",12730.65379331
"77008","Armentieres-en-Brie",9450.91446496
"77009","Arville",2278.62169207
"77010","Aubepierre-Ozouer-le-Repos",9994.93031516
"77011","Aufferville",4418.86321211
"77012","Augers-en-Brie",1397.8518197
"77013","Aulnoy",7049.85172235
"77014","Avon",20322.92096043
"77015","Baby",889.2012582
"77016","Bagneaux-sur-Loing",6637.91986939
"77018","Bailly-Romainvilliers",110589.79190296
"77019","Balloy",2633.38980642
"77020","Bannost-Villegagnon",3148.44193003
"77021","Barbey",4177.43244182
"77022","Barbizon",37890.7058885
"77023","Barcy",22844.35532046
"77024","Bassevelle",2361.9869113
"77025","Bazoches-les-Bray",2279.8452124
"77026","Beauchery-Saint-Martin",1093.18723842
"77027","Beaumont-du-Gatinais",1040.86099943
"77028","Beautheil",4669.01248418
"77029","Beauvoir",14938.45395831
"77030","Bellot",1957.23367439
"77031","Bernay-Vilbert",10809.27517117
"77032","Beton-Bazoches",3014.68136758
"77033","Bezalles",2174.4265075
"77034","Blandy",24188.22515873
"77035","Blennes",1606.16367775
"77036","Boisdon",2806.31247728
"77037","Bois-le-Roi",29260.0192148
"77038","Boissettes",40798.21770299
"77039","Boissise-la-Bertrand",42256.10689384
"77040","Boissise-le-Roi",62449.55496128
"77041","Boissy-aux-Cailles",6586.35703395
"77042","Boissy-le-Chatel",5651.76223329
"77043","Boitron",2308.38713339
"77044","Bombon",9662.58119524
"77045","Bougligny",3508.20721241
"77046","Boulancourt",2536.54382815
"77047","Bouleurs",53081.97720334
"77048","Bourron-Marlotte",11381.45844437
"77049","Boutigny",37907.39834623
"77050","Bransles",2981.3552101
"77051","Bray-sur-Seine",1749.08393383
"77052","Breau",13338.63958505
"77053","Brie-Comte-Robert",155767.80244225
"77054","La Brosse-Montceaux",5167.56569099
"77055","Brou-sur-Chantereine",254824.28374488
"77056","Burcy",3426.99404193
"77057","Bussieres",4250.60352678
"77058","Bussy-Saint-Georges",283971.55406891
"77059","Bussy-Saint-Martin",237712.4118735
"77060","Buthiers",4548.10185979
"77061","Cannes-Ecluse",6295.01925605
"77062","Carnetin",123524.7413813
"77063","La Celle-sur-Morin",15363.37627457
"77065","Cely",58419.5505715
"77066","Cerneux",1597.58740248
"77067","Cesson",67103.64803899
