"ID","NAMES","cadres_AsTheCrowFlies_ACC_0.005"
"75101","Paris 1er Arrondissement",57.9480540496935
"75102","Paris 2e  Arrondissement",16.6061875374344
"75103","Paris 3e  Arrondissement",0
"75104","Paris 4e  Arrondissement",4.63292873927354
"75105","Paris 5e  Arrondissement",0
"75106","Paris 6e  Arrondissement",0
"75107","Paris 7e  Arrondissement",0
"75108","Paris 8e  Arrondissement",0
"75109","Paris 9e  Arrondissement",0
"75110","Paris 10e  Arrondissement",0
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",13702.810526179
"77002","Amillis",19129.1714892856
"77003","Amponville",17712.8287318531
"77004","Andrezel",11820.0411554249
"77005","Annet-sur-Marne",5818.05024129892
"77006","Arbonne-la-Foret",11137.6720822538
"77007","Argentieres",13585.059348216
"77008","Armentieres-en-Brie",13312.1188744316
"77009","Arville",24359.1240772596
"77010","Aubepierre-Ozouer-le-Repos",15002.7986760909
"77011","Aufferville",22112.6175007641
"77012","Augers-en-Brie",28652.0081659122
"77013","Aulnoy",14966.4031914236
"77014","Avon",8474.2804427302
"77015","Baby",33708.0038794556
"77016","Bagneaux-sur-Loing",19804.089921867
"77018","Bailly-Romainvilliers",5901.04213019906
"77019","Balloy",24859.7286773453
"77020","Bannost-Villegagnon",22412.3811583192
"77021","Barbey",21087.2167622174
"77022","Barbizon",9026.83894775817
"77023","Barcy",11618.8787333257
"77024","Bassevelle",23854.5789117154
"77025","Bazoches-les-Bray",26645.030883519
"77026","Beauchery-Saint-Martin",32719.0606746253
"77027","Beaumont-du-Gatinais",27952.3963063514
"77028","Beautheil",17271.2593634335
