"ID","NAMES","cadres_AsTheCrowFlies_POT_2500"
"75101","Paris 1er Arrondissement",124864.302026
"75102","Paris 2e  Arrondissement",137365.06115567
"75103","Paris 3e  Arrondissement",143579.60576544
"75104","Paris 4e  Arrondissement",133516.59201241
"75105","Paris 5e  Arrondissement",122955.84513826
"75106","Paris 6e  Arrondissement",122808.00063207
"75107","Paris 7e  Arrondissement",110365.89766556
"75108","Paris 8e  Arrondissement",107491.21709332
"75109","Paris 9e  Arrondissement",136606.66416369
"75110","Paris 10e  Arrondissement",147730.82609227
"75111","Paris 11e  Arrondissement",131666.77145145
"75112","Paris 12e  Arrondissement",69786.95903566
"75113","Paris 13e  Arrondissement",86970.72111198
"75114","Paris 14e  Arrondissement",113393.41517999
"75115","Paris 15e  Arrondissement",114216.41956556
"75116","Paris 16e  Arrondissement",73669.54032537
"75117","Paris 17e  Arrondissement",106202.10203181
"75118","Paris 18e  Arrondissement",107796.65088836
"75119","Paris 19e  Arrondissement",97821.59620663
"75120","Paris 20e  Arrondissement",107335.89918386
"77001","Acheres-la-Foret",222.02211043
"77002","Amillis",39.19730051
"77003","Amponville",62.90568855
"77004","Andrezel",197.04633803
"77005","Annet-sur-Marne",897.02850618
"77006","Arbonne-la-Foret",136.87748784
"77007","Argentieres",255.0236328
"77008","Armentieres-en-Brie",190.57014316
"77009","Arville",9.22179408
"77010","Aubepierre-Ozouer-le-Repos",110.35914972
"77011","Aufferville",47.43113717
"77012","Augers-en-Brie",20.66619312
"77013","Aulnoy",105.3767878
"77014","Avon",1812.40360985
"77015","Baby",15.25687303
"77016","Bagneaux-sur-Loing",97.06574252
"77018","Bailly-Romainvilliers",2011.7715899
"77019","Balloy",34.63524478
"77020","Bannost-Villegagnon",45.11857845
"77021","Barbey",50.50618284
"77022","Barbizon",277.53886182
"77023","Barcy",116.03022625
"77024","Bassevelle",57.97694751
"77025","Bazoches-les-Bray",48.15255116
"77026","Beauchery-Saint-Martin",21.63800307
"77027","Beaumont-du-Gatinais",40.000013
"77028","Beautheil",109.74828891
