"ID","NAMES","employe_AsTheCowRolls_POT_15"
"75101","Paris 1er Arrondissement",619958.49693445
"75102","Paris 2e  Arrondissement",614541.95257985
"75103","Paris 3e  Arrondissement",637564.25683484
"75104","Paris 4e  Arrondissement",640356.07357638
"75105","Paris 5e  Arrondissement",622826.81805092
"75106","Paris 6e  Arrondissement",607226.5493904
"75107","Paris 7e  Arrondissement",582139.27178353
"75108","Paris 8e  Arrondissement",628978.01828919
"75109","Paris 9e  Arrondissement",645264.78274181
"75110","Paris 10e  Arrondissement",670176.85736188
"75111","Paris 11e  Arrondissement",631062.31383758
"75112","Paris 12e  Arrondissement",631206.61319489
"75113","Paris 13e  Arrondissement",614142.58465585
"75114","Paris 14e  Arrondissement",586653.1143701
"75115","Paris 15e  Arrondissement",533564.66990751
"75116","Paris 16e  Arrondissement",553384.85005129
"75117","Paris 17e  Arrondissement",620613.30957156
"75118","Paris 18e  Arrondissement",621025.54404394
"75119","Paris 19e  Arrondissement",618930.0170578
"75120","Paris 20e  Arrondissement",632347.15205268
"77001","Acheres-la-Foret",7954.2964486
"77002","Amillis",5850.44923635
"77003","Amponville",4381.51793347
"77004","Andrezel",12028.86621259
"77005","Annet-sur-Marne",80283.19092819
"77006","Arbonne-la-Foret",15264.77163056
"77007","Argentieres",7749.44429078
"77008","Armentieres-en-Brie",10891.11640997
"77009","Arville",2664.20773801
"77010","Aubepierre-Ozouer-le-Repos",7437.53688196
"77011","Aufferville",4849.54980838
"77012","Augers-en-Brie",1889.58607248
"77013","Aulnoy",8523.05138869
"77014","Avon",17183.82326383
"77015","Baby",1469.40643647
"77016","Bagneaux-sur-Loing",7104.46182977
"77018","Bailly-Romainvilliers",50550.75592544
"77019","Balloy",4304.83273571
"77020","Bannost-Villegagnon",2881.958013
"77021","Barbey",5575.29794713
"77022","Barbizon",24118.84521603
"77023","Barcy",21018.42894351
"77024","Bassevelle",2947.78960268
"77025","Bazoches-les-Bray",3890.99665161
"77026","Beauchery-Saint-Martin",2240.36917436
"77027","Beaumont-du-Gatinais",923.90141207
"77028","Beautheil",5978.53371419
"77029","Beauvoir",9038.43013646
"77030","Bellot",3220.60536248
"77031","Bernay-Vilbert",7170.96163133
"77032","Beton-Bazoches",3476.24270123
"77033","Bezalles",2371.97029354
"77034","Blandy",20103.49633374
"77035","Blennes",1718.351384
"77036","Boisdon",2734.95804941
"77037","Bois-le-Roi",26385.49779185
"77038","Boissettes",31594.14782199
"77039","Boissise-la-Bertrand",32334.85138981
"77040","Boissise-le-Roi",41337.52028596
"77041","Boissy-aux-Cailles",3335.61005064
"77042","Boissy-le-Chatel",7560.55055235
"77043","Boitron",3064.6185871
"77044","Bombon",6860.88330652
"77045","Bougligny",4528.51605051
"77046","Boulancourt",1271.195357
"77047","Bouleurs",29680.64648953
"77048","Bourron-Marlotte",10146.30540584
"77049","Boutigny",23742.00541727
"77050","Bransles",3718.5368289
"77051","Bray-sur-Seine",3271.44317046
"77052","Breau",10163.69946619
"77053","Brie-Comte-Robert",90326.19720961
"77054","La Brosse-Montceaux",6389.89387457
"77055","Brou-sur-Chantereine",153925.02933101
"77056","Burcy",2683.21781363
"77057","Bussieres",5061.27144155
"77058","Bussy-Saint-Georges",138411.17471788
"77059","Bussy-Saint-Martin",125494.24477145
"77060","Buthiers",2224.44372582
"77061","Cannes-Ecluse",7847.51403453
"77062","Carnetin",69226.57608646
"77063","La Celle-sur-Morin",10027.49722477
"77065","Cely",32080.95929868
"77066","Cerneux",2187.96337115
"77067","Cesson",55654.56854134
"77068","Cessoy-en-Montois",3361.1743505
"77069","Chailly-en-Biere",33222.78134903
"77070","Chailly-en-Brie",9117.85819158
"77071","Chaintreaux",4986.12181965
"77072","Chalautre-la-Grande",1058.72637257
"77073","Chalautre-la-Petite",4226.49381988
"77075","Chalifert",60350.69186123
"77076","Chalmaison",4065.4336734
"77077","Chambry",23490.62736189
"77078","Chamigny",6478.09189715
"77079","Champagne-sur-Seine",12948.57916463
"77080","Champcenest",2761.71443125
"77081","Champdeuil",29427.95576158
"77082","Champeaux",14999.88961315
"77083","Champs-sur-Marne",240060.23642163
"77084","Changis-sur-Marne",16496.10739522
"77085","Chanteloup-en-Brie",88647.6176833
"77086","La Chapelle-Gauthier",10572.4299076
"77087","La Chapelle-Iger",4912.7946565
"77088","La Chapelle-la-Reine",9768.84075744
"77089","La Chapelle-Rablais",4474.05772211
"77090","La Chapelle-Saint-Sulpice",4955.00122664
"77091","Les Chapelles-Bourbon",16451.70529143
"77093","La Chapelle-Moutils",1800.75046854
"77094","Charmentray",36043.55203543
"77095","Charny",33677.28615657
"77096","Chartrettes",22115.63743089
"77097","Chartronges",3173.6126649
"77098","Chateaubleau",3496.17161877
"77099","Chateau-Landon",3602.05866027
"77100","Le Chatelet-en-Brie",20075.30117147
"77101","Chatenay-sur-Seine",4173.35203287
"77102","Chatenoy",5528.7464554
"77103","Chatillon-la-Borde",14491.74855749
"77104","Chatres",21446.78219
"77106","Chauffry",5572.87299459
"77107","Chaumes-en-Brie",13386.99171177
"77108","Chelles",221258.88137293
"77109","Chenoise",3969.30288859
"77110","Chenou",3202.99871747
"77111","Chessy",71638.66377832
"77112","Chevrainvilliers",5573.94646881
"77113","Chevru",4253.76694409
"77114","Chevry-Cossigny",62121.80012612
"77115","Chevry-en-Sereine",3132.48506678
"77116","Choisy-en-Brie",5205.21076447
"77117","Citry",3276.02144995
"77118","Claye-Souilly",123236.20224775
