"ID","NAMES","employe_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",802.209537195917
"75102","Paris 2e  Arrondissement",639.14857733431
"75103","Paris 3e  Arrondissement",529.693260809554
"75104","Paris 4e  Arrondissement",635.896553226614
"75105","Paris 5e  Arrondissement",605.978413221129
"75106","Paris 6e  Arrondissement",745.146179663016
"75107","Paris 7e  Arrondissement",824.554626940153
"75108","Paris 8e  Arrondissement",805.485693065866
"75109","Paris 9e  Arrondissement",466.970375250381
"75110","Paris 10e  Arrondissement",194.631848567216
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",64.8166410875498
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",93.4729297441347
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",331.207052421302
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",15546.9265617149
"77002","Amillis",17795.202887016
"77003","Amponville",19103.9490767821
"77004","Andrezel",11754.4835531661
"77005","Annet-sur-Marne",6272.5503446478
"77006","Arbonne-la-Foret",12738.6199356687
"77007","Argentieres",13608.858423732
"77008","Armentieres-en-Brie",11286.0823120446
"77009","Arville",25309.9397979453
"77010","Aubepierre-Ozouer-le-Repos",14780.5397184974
"77011","Aufferville",23119.0039619515
"77012","Augers-en-Brie",25490.9360449478
"77013","Aulnoy",13718.7118209735
"77014","Avon",11622.4999509135
"77015","Baby",30862.6240272866
"77016","Bagneaux-sur-Loing",20659.9055954486
"77018","Bailly-Romainvilliers",7496.186978164
"77019","Balloy",22456.3309049487
"77020","Bannost-Villegagnon",20061.9100648125
"77021","Barbey",19895.6385203529
"77022","Barbizon",10300.6851891236
"77023","Barcy",10176.2142969418
"77024","Bassevelle",21229.8915037472
"77025","Bazoches-les-Bray",23971.8245857945
"77026","Beauchery-Saint-Martin",29433.6030107242
"77027","Beaumont-du-Gatinais",28700.6476170352
"77028","Beautheil",16288.9339850187
"77029","Beauvoir",13475.9837898016
"77030","Bellot",22911.3037472874
"77031","Bernay-Vilbert",14939.065200972
"77032","Beton-Bazoches",21054.2281996155
"77033","Bezalles",21427.4336730436
"77034","Blandy",10994.6841195059
"77035","Blennes",23957.216891908
"77036","Boisdon",20894.3113460849
"77037","Bois-le-Roi",8829.51653006362
"77038","Boissettes",5422.25016501803
"77039","Boissise-la-Bertrand",5520.36320195479
"77040","Boissise-le-Roi",7020.5161193437
"77041","Boissy-aux-Cailles",18414.3152012412
"77042","Boissy-le-Chatel",15620.6899075009
"77043","Boitron",19995.9654086307
"77044","Bombon",13477.7013199427
"77045","Bougligny",22846.1322122863
"77046","Boulancourt",21659.5531292824
"77047","Bouleurs",8697.89830856059
"77048","Bourron-Marlotte",14207.289980767
"77049","Boutigny",8230.21499534155
"77050","Bransles",26907.1487912597
"77051","Bray-sur-Seine",25669.0972464033
"77052","Breau",13792.3946626834
"77053","Brie-Comte-Robert",6232.24409560534
"77054","La Brosse-Montceaux",19919.1564326808
