"ID","NAMES","employe_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",404339.83996735
"75102","Paris 2e  Arrondissement",408258.80030977
"75103","Paris 3e  Arrondissement",409235.00158303
"75104","Paris 4e  Arrondissement",405123.74248069
"75105","Paris 5e  Arrondissement",393649.54359721
"75106","Paris 6e  Arrondissement",391377.61058899
"75107","Paris 7e  Arrondissement",379720.79220655
"75108","Paris 8e  Arrondissement",385712.59030219
"75109","Paris 9e  Arrondissement",403232.94177915
"75110","Paris 10e  Arrondissement",406614.47434707
"75111","Paris 11e  Arrondissement",401920.40636901
"75112","Paris 12e  Arrondissement",342651.36195083
"75113","Paris 13e  Arrondissement",366955.92580635
"75114","Paris 14e  Arrondissement",351423.3347969
"75115","Paris 15e  Arrondissement",331773.77751087
"75116","Paris 16e  Arrondissement",300239.07277663
"75117","Paris 17e  Arrondissement",371464.21939724
"75118","Paris 18e  Arrondissement",390691.29187839
"75119","Paris 19e  Arrondissement",387862.18078296
"75120","Paris 20e  Arrondissement",385924.61356692
"77001","Acheres-la-Foret",1923.39153365
"77002","Amillis",2421.11750377
"77003","Amponville",1357.70825525
"77004","Andrezel",4311.399926
"77005","Annet-sur-Marne",24873.22337282
"77006","Arbonne-la-Foret",2525.10310749
"77007","Argentieres",4293.42463708
"77008","Armentieres-en-Brie",7477.23919938
"77009","Arville",614.7954471
"77010","Aubepierre-Ozouer-le-Repos",3605.67544982
"77011","Aufferville",1588.19947064
"77012","Augers-en-Brie",677.81708398
"77013","Aulnoy",5432.72425478
"77014","Avon",7838.26489249
"77015","Baby",605.03238904
"77016","Bagneaux-sur-Loing",4375.89330405
"77018","Bailly-Romainvilliers",16390.7315646
"77019","Balloy",1322.79681557
"77020","Bannost-Villegagnon",1166.39071569
"77021","Barbey",3102.26150147
"77022","Barbizon",6293.06770862
"77023","Barcy",10175.15014552
"77024","Bassevelle",1642.98343033
"77025","Bazoches-les-Bray",1264.06932046
"77026","Beauchery-Saint-Martin",865.74153475
"77027","Beaumont-du-Gatinais",268.60798864
"77028","Beautheil",4248.18551311
"77029","Beauvoir",4298.44610017
"77030","Bellot",1923.00097434
"77031","Bernay-Vilbert",3141.41819821
"77032","Beton-Bazoches",1192.21858913
"77033","Bezalles",1064.14630348
"77034","Blandy",5079.47603607
"77035","Blennes",686.47319413
"77036","Boisdon",1083.11118167
"77037","Bois-le-Roi",11920.19253668
"77038","Boissettes",23037.73158736
"77039","Boissise-la-Bertrand",24871.43413626
"77040","Boissise-le-Roi",18474.93352655
"77041","Boissy-aux-Cailles",1321.5771837
"77042","Boissy-le-Chatel",5199.4995745
"77043","Boitron",2136.45941518
"77044","Bombon",3063.49559098
"77045","Bougligny",3150.23060742
"77046","Boulancourt",472.49527697
"77047","Bouleurs",11827.50484586
"77048","Bourron-Marlotte",4877.57262537
"77049","Boutigny",14341.72496176
"77050","Bransles",1098.01677103
"77051","Bray-sur-Seine",1463.21598
"77052","Breau",2885.46093247
"77053","Brie-Comte-Robert",24566.29970265
"77054","La Brosse-Montceaux",3081.57117497
"77055","Brou-sur-Chantereine",68142.47123506
"77056","Burcy",716.50666171
"77057","Bussieres",2710.48161962
