"ID","NAMES","intermediaires_AsTheCowRolls_POT_10"
"75101","Paris 1er Arrondissement",354813.98938554
"75102","Paris 2e  Arrondissement",347616.73582989
"75103","Paris 3e  Arrondissement",364386.7282358
"75104","Paris 4e  Arrondissement",371212.45166827
"75105","Paris 5e  Arrondissement",361894.08745664
"75106","Paris 6e  Arrondissement",350829.90322247
"75107","Paris 7e  Arrondissement",326793.46088035
"75108","Paris 8e  Arrondissement",360117.66789509
"75109","Paris 9e  Arrondissement",371780.7365083
"75110","Paris 10e  Arrondissement",386503.86760789
"75111","Paris 11e  Arrondissement",352760.61450121
"75112","Paris 12e  Arrondissement",345111.58694391
"75113","Paris 13e  Arrondissement",352073.76363138
"75114","Paris 14e  Arrondissement",334987.85790405
"75115","Paris 15e  Arrondissement",291999.90931859
"75116","Paris 16e  Arrondissement",291680.17006329
"75117","Paris 17e  Arrondissement",345420.28445538
"75118","Paris 18e  Arrondissement",329730.70114937
"75119","Paris 19e  Arrondissement",320045.97887328
"75120","Paris 20e  Arrondissement",340975.687758
"77001","Acheres-la-Foret",1966.08577055
"77002","Amillis",1724.31215737
"77003","Amponville",887.81277885
"77004","Andrezel",2739.93230763
"77005","Annet-sur-Marne",15596.9877601
"77006","Arbonne-la-Foret",3725.34699353
"77007","Argentieres",2447.18146138
"77008","Armentieres-en-Brie",2689.64208522
"77009","Arville",507.1054846
"77010","Aubepierre-Ozouer-le-Repos",2722.36590299
"77011","Aufferville",1591.54398393
"77012","Augers-en-Brie",402.97737439
"77013","Aulnoy",3368.16861387
"77014","Avon",7851.02960296
"77015","Baby",419.64142749
"77016","Bagneaux-sur-Loing",2940.59558663
"77018","Bailly-Romainvilliers",13918.21689767
"77019","Balloy",1079.31165415
"77020","Bannost-Villegagnon",648.20792485
"77021","Barbey",1970.39957529
"77022","Barbizon",5221.42052238
"77023","Barcy",8019.50291475
"77024","Bassevelle",555.23131859
"77025","Bazoches-les-Bray",993.45202308
"77026","Beauchery-Saint-Martin",518.18456329
"77027","Beaumont-du-Gatinais",161.32147155
"77028","Beautheil",1993.63309295
"77029","Beauvoir",2852.93018888
"77030","Bellot",884.98766894
"77031","Bernay-Vilbert",1950.37695051
"77032","Beton-Bazoches",794.86792831
"77033","Bezalles",485.88671614
"77034","Blandy",5168.85065076
"77035","Blennes",486.09622038
"77036","Boisdon",621.19003356
"77037","Bois-le-Roi",10995.95158111
"77038","Boissettes",12246.75834691
"77039","Boissise-la-Bertrand",12333.63080516
"77040","Boissise-le-Roi",11799.8211132
"77041","Boissy-aux-Cailles",705.12393907
"77042","Boissy-le-Chatel",3345.43042286
"77043","Boitron",741.32895517
"77044","Bombon",1607.61013399
"77045","Bougligny",1389.22395807
"77046","Boulancourt",332.78424143
"77047","Bouleurs",7898.88081225
"77048","Bourron-Marlotte",3748.25261131
"77049","Boutigny",6640.48466061
"77050","Bransles",866.01197028
"77051","Bray-sur-Seine",948.75289107
"77052","Breau",2472.36721895
"77053","Brie-Comte-Robert",19198.99248019
"77054","La Brosse-Montceaux",2152.36494015
"77055","Brou-sur-Chantereine",46889.52703738
"77056","Burcy",550.0363292
"77057","Bussieres",1611.55364818
"77058","Bussy-Saint-Georges",37502.61234006
"77059","Bussy-Saint-Martin",39002.7368856
"77060","Buthiers",581.32432976
"77061","Cannes-Ecluse",3136.872919
"77062","Carnetin",18411.64428265
"77063","La Celle-sur-Morin",4005.66823452
"77065","Cely",5388.79961289
"77066","Cerneux",445.58930869
"77067","Cesson",22701.98013155
"77068","Cessoy-en-Montois",917.40998327
"77069","Chailly-en-Biere",10500.68780425
"77070","Chailly-en-Brie",4165.35065914
"77071","Chaintreaux",1549.43957339
"77072","Chalautre-la-Grande",126.62818009
"77073","Chalautre-la-Petite",1723.11459947
"77075","Chalifert",19377.75436866
"77076","Chalmaison",1246.0952576
"77077","Chambry",9218.17977504
"77078","Chamigny",2101.53001973
"77079","Champagne-sur-Seine",6349.52412602
"77080","Champcenest",456.19326157
"77081","Champdeuil",5563.29249901
"77082","Champeaux",3036.6602591
"77083","Champs-sur-Marne",76781.41777731
"77084","Changis-sur-Marne",4768.95081417
"77085","Chanteloup-en-Brie",25635.27208327
"77086","La Chapelle-Gauthier",2659.92913861
"77087","La Chapelle-Iger",1225.33931902
"77088","La Chapelle-la-Reine",2628.21370659
"77089","La Chapelle-Rablais",1554.88642383
"77090","La Chapelle-Saint-Sulpice",1431.97167016
"77091","Les Chapelles-Bourbon",3636.39908224
"77093","La Chapelle-Moutils",511.20640584
"77094","Charmentray",7931.56021307
"77095","Charny",6520.10522439
"77096","Chartrettes",8295.62376454
"77097","Chartronges",776.6408444
"77098","Chateaubleau",687.90949423
"77099","Chateau-Landon",1031.32874906
"77100","Le Chatelet-en-Brie",5936.8879195
"77101","Chatenay-sur-Seine",1118.48297979
"77102","Chatenoy",1960.36603081
"77103","Chatillon-la-Borde",2940.84078667
"77104","Chatres",5029.44567323
"77106","Chauffry",1720.15554158
"77107","Chaumes-en-Brie",3754.20501507
"77108","Chelles",68770.08205408
"77109","Chenoise",975.93452388
"77110","Chenou",860.99256113
"77111","Chessy",23081.69335249
"77112","Chevrainvilliers",1987.96663998
"77113","Chevru",934.54931503
"77114","Chevry-Cossigny",14012.77349445
"77115","Chevry-en-Sereine",895.30865458
"77116","Choisy-en-Brie",1342.46467531
"77117","Citry",948.15150692
"77118","Claye-Souilly",26512.10531426
"77119","Clos-Fontaine",1548.16883956
"77120","Cocherel",1359.01728516
"77121","Collegien",55220.55927484
"77122","Combs-la-Ville",25115.18292799
"77123","Compans",12797.61624016
"77124","Conches-sur-Gondoire",28890.36837728
