"ID","NAMES","intermediaires_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",600.078206778804
"75102","Paris 2e  Arrondissement",472.374642441183
"75103","Paris 3e  Arrondissement",360.654825093588
"75104","Paris 4e  Arrondissement",453.007371912686
"75105","Paris 5e  Arrondissement",388.356759668095
"75106","Paris 6e  Arrondissement",543.325130245172
"75107","Paris 7e  Arrondissement",601.915497264374
"75108","Paris 8e  Arrondissement",644.873138261783
"75109","Paris 9e  Arrondissement",307.037646216047
"75110","Paris 10e  Arrondissement",83.5485800267402
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",28.9489133393984
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",15413.3262753381
"77002","Amillis",18538.2496114738
"77003","Amponville",19160.3310550215
"77004","Andrezel",11859.4455583398
"77005","Annet-sur-Marne",6151.21629123696
"77006","Arbonne-la-Foret",12545.2390478936
"77007","Argentieres",13628.3762501815
"77008","Armentieres-en-Brie",12613.0923304483
"77009","Arville",25710.7057340689
"77010","Aubepierre-Ozouer-le-Repos",14889.3490224205
"77011","Aufferville",23618.8503186182
"77012","Augers-en-Brie",27488.5122876465
"77013","Aulnoy",14438.9112228723
"77014","Avon",11213.5236549461
"77015","Baby",32685.6886829229
"77016","Bagneaux-sur-Loing",21467.827944016
"77018","Bailly-Romainvilliers",7219.60568915576
"77019","Balloy",23855.6263720538
"77020","Bannost-Villegagnon",21308.6650423251
"77021","Barbey",20747.2687934591
"77022","Barbizon",10206.3725964711
"77023","Barcy",11034.5890817906
"77024","Bassevelle",22845.9381844121
"77025","Bazoches-les-Bray",25595.5661789883
"77026","Beauchery-Saint-Martin",31378.5723237154
"77027","Beaumont-du-Gatinais",29057.4664965048
"77028","Beautheil",16867.8402017525
"77029","Beauvoir",13510.0239664401
"77030","Bellot",24501.8699361985
"77031","Bernay-Vilbert",14974.7869564753
"77032","Beton-Bazoches",22641.7596417149
"77033","Bezalles",23055.3281410454
"77034","Blandy",11081.0509392673
"77035","Blennes",25095.2579579386
"77036","Boisdon",22504.6524422637
"77037","Bois-le-Roi",8763.53046440926
"77038","Boissettes",5991.46506515144
"77039","Boissise-la-Bertrand",5833.00655987217
