"ID","NAMES","intermediaires_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",415288.65351091
"75102","Paris 2e  Arrondissement",413254.59120009
"75103","Paris 3e  Arrondissement",412409.14637956
"75104","Paris 4e  Arrondissement",414077.92774146
"75105","Paris 5e  Arrondissement",409111.12541037
"75106","Paris 6e  Arrondissement",410196.26312108
"75107","Paris 7e  Arrondissement",400342.12266624
"75108","Paris 8e  Arrondissement",396473.05174278
"75109","Paris 9e  Arrondissement",403630.43411753
"75110","Paris 10e  Arrondissement",399903.80755275
"75111","Paris 11e  Arrondissement",400905.41635403
"75112","Paris 12e  Arrondissement",339098.32313111
"75113","Paris 13e  Arrondissement",381598.6977562
"75114","Paris 14e  Arrondissement",374781.48153166
"75115","Paris 15e  Arrondissement",359217.39831015
"75116","Paris 16e  Arrondissement",323565.20422479
"75117","Paris 17e  Arrondissement",371718.87276378
"75118","Paris 18e  Arrondissement",374138.17088438
"75119","Paris 19e  Arrondissement",364992.45124137
"75120","Paris 20e  Arrondissement",376073.5043011
"77001","Acheres-la-Foret",1899.06350027
"77002","Amillis",1956.38763901
"77003","Amponville",1240.0887808
"77004","Andrezel",3887.81472895
"77005","Annet-sur-Marne",24516.2814146
"77006","Arbonne-la-Foret",2843.76973041
"77007","Argentieres",3884.86812415
"77008","Armentieres-en-Brie",5908.3746984
"77009","Arville",495.01619923
"77010","Aubepierre-Ozouer-le-Repos",3226.10509112
"77011","Aufferville",1217.60628361
"77012","Augers-en-Brie",496.84903632
"77013","Aulnoy",4525.65220998
"77014","Avon",8400.94020927
"77015","Baby",418.47206795
"77016","Bagneaux-sur-Loing",3015.98962724
"77018","Bailly-Romainvilliers",16592.75211593
"77019","Balloy",1095.49921875
"77020","Bannost-Villegagnon",834.09482357
"77021","Barbey",2452.89854783
"77022","Barbizon",6329.43231845
"77023","Barcy",7949.7294676
"77024","Bassevelle",1241.60362037
"77025","Bazoches-les-Bray",971.81144059
"77026","Beauchery-Saint-Martin",630.27342496
"77027","Beaumont-du-Gatinais",164.83421757
"77028","Beautheil",3541.82022763
"77029","Beauvoir",3850.10699459
"77030","Bellot",1303.99028293
"77031","Bernay-Vilbert",3023.61196593
"77032","Beton-Bazoches",830.73291015
"77033","Bezalles",744.28820398
"77034","Blandy",5005.04757414
"77035","Blennes",594.49687122
"77036","Boisdon",760.68168789
"77037","Bois-le-Roi",11696.02914336
"77038","Boissettes",20556.3107548
"77039","Boissise-la-Bertrand",22304.49655538
"77040","Boissise-le-Roi",17008.46173259
"77041","Boissy-aux-Cailles",1280.20410437
"77042","Boissy-le-Chatel",4161.99771912
"77043","Boitron",1648.43021503
"77044","Bombon",2933.136904
"77045","Bougligny",2128.0649969
"77046","Boulancourt",479.97781344
"77047","Bouleurs",11043.36975605
"77048","Bourron-Marlotte",4617.85975511
"77049","Boutigny",12010.41737314
"77050","Bransles",759.45444886
"77051","Bray-sur-Seine",1050.5300071
"77052","Breau",2795.47777487
"77053","Brie-Comte-Robert",24228.47637032
"77054","La Brosse-Montceaux",2404.08844695
"77055","Brou-sur-Chantereine",60846.32919137
"77056","Burcy",686.02360293
"77057","Bussieres",2037.66727321
"77058","Bussy-Saint-Georges",32447.90414954
"77059","Bussy-Saint-Martin",48193.70015375
"77060","Buthiers",726.46200353
"77061","Cannes-Ecluse",3565.89134052
"77062","Carnetin",32216.08325097
"77063","La Celle-sur-Morin",4485.23062482
"77065","Cely",5243.01113442
"77066","Cerneux",544.70009948
"77067","Cesson",25827.29471347
"77068","Cessoy-en-Montois",1558.37897512
"77069","Chailly-en-Biere",10196.84481272
"77070","Chailly-en-Brie",3952.40096663
"77071","Chaintreaux",1411.3143353
"77072","Chalautre-la-Grande",482.65720457
