"ID","NAMES","ouvrier_AsTheCowRolls_ACC_0.05"
"75101","Paris 1er Arrondissement",5.70751824403828
"75102","Paris 2e  Arrondissement",5.53631348349484
"75103","Paris 3e  Arrondissement",5.02601178059162
"75104","Paris 4e  Arrondissement",5.35742980784396
"75105","Paris 5e  Arrondissement",5.63650884038664
"75106","Paris 6e  Arrondissement",5.88920083389571
"75107","Paris 7e  Arrondissement",6.21832993542129
"75108","Paris 8e  Arrondissement",5.39566391269804
"75109","Paris 9e  Arrondissement",4.88587290155568
"75110","Paris 10e  Arrondissement",3.52244450893914
"75111","Paris 11e  Arrondissement",4.97527405229231
"75112","Paris 12e  Arrondissement",5.47976662651216
"75113","Paris 13e  Arrondissement",5.43933939040124
"75114","Paris 14e  Arrondissement",5.85180417933674
"75115","Paris 15e  Arrondissement",6.52078292423069
"75116","Paris 16e  Arrondissement",6.68895605540099
"75117","Paris 17e  Arrondissement",5.1887928993116
"75118","Paris 18e  Arrondissement",4.81152571030598
"75119","Paris 19e  Arrondissement",4.47651583323948
"75120","Paris 20e  Arrondissement",4.54453879965251
"77001","Acheres-la-Foret",26.3559005891178
"77002","Amillis",31.550168175471
"77003","Amponville",29.2610705797935
"77004","Andrezel",22.9552222515044
"77005","Annet-sur-Marne",14.3830496944659
"77006","Arbonne-la-Foret",22.7154194929843
"77007","Argentieres",24.9611661696638
"77008","Armentieres-en-Brie",26.3552221891215
"77009","Arville",38.2487775845597
"77010","Aubepierre-Ozouer-le-Repos",25.8141434638644
"77011","Aufferville",34.5588863037083
"77012","Augers-en-Brie",37.0488440586357
"77013","Aulnoy",29.2684659176904
"77014","Avon",25.2778001526624
"77015","Baby",45.7336069459421
"77016","Bagneaux-sur-Loing",31.299291962315
"77018","Bailly-Romainvilliers",16.5821034920419
"77019","Balloy",37.7739832826487
"77020","Bannost-Villegagnon",31.2217732251213
"77021","Barbey",34.7102938523236
"77022","Barbizon",20.6428192533154
"77023","Barcy",21.5088144253383
"77024","Bassevelle",33.8299384473801
"77025","Bazoches-les-Bray",38.9878415908367
"77026","Beauchery-Saint-Martin",44.7667720381241
"77027","Beaumont-du-Gatinais",41.7495766554987
"77028","Beautheil",30.9400055689393
"77029","Beauvoir",24.0846716590658
"77030","Bellot",39.4104573566597
"77031","Bernay-Vilbert",25.5236012709232
"77032","Beton-Bazoches",31.919721247873
"77033","Bezalles",33.5844423786545
"77034","Blandy",22.0394013255587
"77035","Blennes",43.7475517677131
"77036","Boisdon",31.7938195505948
"77037","Bois-le-Roi",21.9811682966149
"77038","Boissettes",19.9589082323826
"77039","Boissise-la-Bertrand",19.7083628612218
"77040","Boissise-le-Roi",17.74850550557
"77041","Boissy-aux-Cailles",30.4712025227239
"77042","Boissy-le-Chatel",30.3869151347707
"77043","Boitron",35.0141730750526
"77044","Bombon",26.8132209543166
"77045","Bougligny",35.7146130825931
"77046","Boulancourt",35.2684281011097
"77047","Bouleurs",19.5739620305372
"77048","Bourron-Marlotte",30.4516241531052
"77049","Boutigny",20.7636231033823
"77050","Bransles",35.9116647762418
"77051","Bray-sur-Seine",41.7237841053074
"77052","Breau",25.3379483436266
"77053","Brie-Comte-Robert",14.0155813103374
"77054","La Brosse-Montceaux",36.4273903618732
"77055","Brou-sur-Chantereine",11.2311782877174
"77056","Burcy",34.1479185012275
"77057","Bussieres",30.8156151288965
"77058","Bussy-Saint-Georges",12.1787253294793
"77059","Bussy-Saint-Martin",12.3922783158585
"77060","Buthiers",31.8803339790588
"77061","Cannes-Ecluse",34.8454042377996
"77062","Carnetin",15.3746466198629
"77063","La Celle-sur-Morin",25.038972165487
"77065","Cely",18.4880717924441
"77066","Cerneux",36.1750575866606
"77067","Cesson",16.248384542126
"77068","Cessoy-en-Montois",40.3554857349375
"77069","Chailly-en-Biere",19.3844069799333
"77070","Chailly-en-Brie",28.8621253942481
"77071","Chaintreaux",34.6427606480387
"77072","Chalautre-la-Grande",49.1990692364757
"77073","Chalautre-la-Petite",41.1902053117649
"77075","Chalifert",15.9731900648273
"77076","Chalmaison",44.1578607370174
"77077","Chambry",20.8218861355185
"77078","Chamigny",28.6575297520556
"77079","Champagne-sur-Seine",28.9517628493146
"77080","Champcenest",36.4940293535705
"77081","Champdeuil",19.2346500734932
"77082","Champeaux",23.2691926646403
"77083","Champs-sur-Marne",9.84907516713504
"77084","Changis-sur-Marne",23.4232450580006
"77085","Chanteloup-en-Brie",14.3618478606563
"77086","La Chapelle-Gauthier",25.1988312772381
"77087","La Chapelle-Iger",27.3961401331729
"77088","La Chapelle-la-Reine",25.3184849970421
"77089","La Chapelle-Rablais",31.2984411418839
"77090","La Chapelle-Saint-Sulpice",36.8485327146055
"77091","Les Chapelles-Bourbon",20.9078895731198
"77093","La Chapelle-Moutils",42.0198018466056
"77094","Charmentray",17.4511527992966
"77095","Charny",17.622271438532
"77096","Chartrettes",22.956125124597
"77097","Chartronges",36.8987579989211
"77098","Chateaubleau",34.5763838714187
"77099","Chateau-Landon",37.4663675845398
"77100","Le Chatelet-en-Brie",23.0916775410848
"77101","Chatenay-sur-Seine",37.9638322111679
"77102","Chatenoy",33.1270245249169
"77103","Chatillon-la-Borde",23.2963050836184
"77104","Chatres",19.9720453330658
"77106","Chauffry",34.007629536874
"77107","Chaumes-en-Brie",21.8016310468205
"77108","Chelles",9.71978968663863
"77109","Chenoise",33.1656264181733
"77110","Chenou",39.2464042781657
"77111","Chessy",15.3597758541029
"77112","Chevrainvilliers",33.0909871690171
"77113","Chevru",32.4496434288433
"77114","Chevry-Cossigny",15.6725829145354
"77115","Chevry-en-Sereine",40.0256908533975
"77116","Choisy-en-Brie",33.8324007454075
"77117","Citry",33.5278738449599
"77118","Claye-Souilly",12.0919735685238
"77119","Clos-Fontaine",30.8235811138371
"77120","Cocherel",28.6029809175181
"77121","Collegien",10.9032785088505
"77122","Combs-la-Ville",14.1659783305344
"77123","Compans",13.7764245143735
"77124","Conches-sur-Gondoire",13.7883901094081
"77125","Conde-Sainte-Libiaire",18.8728447247436
"77126","Congis-sur-Therouanne",27.0512302441597
"77127","Coubert",16.7357723479329
"77128","Couilly-Pont-aux-Dames",16.4510381294332
"77129","Coulombs-en-Valois",32.5554296187516
"77130","Coulommes",20.3510124805021
"77131","Coulommiers",26.6186751529067
"77132","Coupvray",16.5903107692091
"77133","Courcelles-en-Bassee",36.2514029724907
"77134","Courchamp",38.6771505646533
"77135","Courpalay",26.2657426866999
"77136","Courquetaine",20.5877893506641
"77137","Courtacon",33.6548122599668
"77138","Courtomer",26.5796686419281
"77139","Courtry",10.7546198104001
"77140","Coutencon",34.9331023550956
"77141","Coutevroult",17.6118107863518
"77142","Crecy-la-Chapelle",20.087714793842
"77143","Cregy-les-Meaux",19.0695386281155
"77144","Crevecoeur-en-Brie",21.805715618493
"77145","Crisenoy",18.983331402398
"77146","Croissy-Beaubourg",10.8870878581355
"77147","La Croix-en-Brie",33.2816656237046
"77148","Crouy-sur-Ourcq",33.9098076856356
"77149","Cucharmoy",35.9923684161251
"77150","Cuisy",21.2022289072951
"77151","Dagny",30.5828454432588
"77152","Dammarie-les-Lys",19.2756251060627
"77153","Dammartin-en-Goele",16.9542819614182
"77154","Dammartin-sur-Tigeaux",21.7094219099347
"77155","Dampmart",15.5206827863438
"77156","Darvault",28.2246399210057
"77157","Dhuisy",28.527260663353
"77158","Diant",41.1459038806053
"77159","Donnemarie-Dontilly",37.9935416963022
"77161","Dormelles",36.8633863778056
"77162","Doue",32.2620919104523
"77163","Douy-la-Ramee",26.7464519998218
"77164","Echouboulains",32.001272301222
"77165","Les Ecrennes",26.3011408285641
"77166","Ecuelles",31.4882901718261
"77167","Egligny",40.3279099386476
"77168","Egreville",34.7399302546766
"77169","Emerainville",10.6842219484815
"77170","Episy",29.5756874689931
"77171","Esbly",17.4422303937811
"77172","Esmans",35.0976072017498
"77173","Etrepilly",25.2012185642313
"77174","Everly",44.3474859941614
"77175","Evry-Gregy-sur-Yerre",15.3448397796045
"77176","Faremoutiers",25.351449509619
"77177","Favieres",17.8036808841468
"77178","Fay-les-Nemours",32.682210000639
"77179","Fericy",27.535412047766
"77180","Ferolles-Attilly",14.3856204434196
"77181","Ferrieres-en-Brie",11.5865412399117
"77182","La Ferte-Gaucher",36.847206646308
"77183","La Ferte-sous-Jouarre",25.9816712982531
"77184","Flagy",37.6908201481832
"77185","Fleury-en-Biere",18.9979829283682
"77186","Fontainebleau",23.7716018125521
"77187","Fontaine-Fourches",46.5000125656194
"77188","Fontaine-le-Port",25.2627580114977
"77190","Fontains",32.5900812050071
"77191","Fontenailles",27.3926256586385
"77192","Fontenay-Tresigny",21.3971710673133
"77193","Forfry",25.0293746695868
"77194","Forges",29.717409806963
"77195","Fouju",21.4505271963426
"77196","Fresnes-sur-Marne",15.0003563811691
"77197","Fretoy",31.7838886429765
"77198","Fromont",31.5346966960656
"77199","Fublaines",22.3751493262332
"77200","Garentreville",35.4878218012973
"77201","Gastins",29.939047302553
"77202","La Genevraye",31.4898027035124
"77203","Germigny-l'Eveque",25.1270884017706
"77204","Germigny-sous-Coulombs",32.4738290575277
"77205","Gesvres-le-Chapitre",23.8264851348781
"77206","Giremoutiers",25.5704800977802
"77207","Gironville",38.5908083248851
"77208","Gouaix",45.4969012744133
"77209","Gouvernes",12.303980677031
"77210","La Grande-Paroisse",32.9501080548615
"77211","Grandpuits-Bailly-Carrois",28.415228066693
"77212","Gravon",37.8708456174517
"77214","Gressy",13.496467256856
"77215","Gretz-Armainvilliers",15.8465101572899
"77216","Grez-sur-Loing",29.6321076606168
"77217","Grisy-Suisnes",16.1764852419175
"77218","Grisy-sur-Seine",43.8936740451042
"77219","Guerard",22.3777633884056
"77220","Guercheville",31.4958010048382
"77221","Guermantes",12.876868426275
"77222","Guignes",20.5049678680477
"77223","Gurcy-le-Chatel",36.9633632594568
"77224","Hautefeuille",25.5569882093009
"77225","La Haute-Maison",23.4618805218792
"77226","Hericy",26.4733379159809
"77227","Herme",43.119509739567
"77228","Hondevilliers",34.8478256565708
"77229","La Houssaye-en-Brie",21.0937856750678
"77230","Ichy",38.2425836522002
"77231","Isles-les-Meldeuses",26.2206675605673
"77232","Isles-les-Villenoy",18.932734353421
"77233","Iverny",19.0626135328559
"77234","Jablines",17.4561863720423
"77235","Jaignes",27.1115874319759
"77236","Jaulnes",41.8087728233823
"77237","Jossigny",13.7209420583487
"77238","Jouarre",27.5220294637248
"77239","Jouy-le-Chatel",28.7482069711653
"77240","Jouy-sur-Morin",36.5140813730049
"77241","Juilly",17.7880300465252
"77242","Jutigny",41.4844217194844
"77243","Lagny-sur-Marne",12.6460560083254
"77244","Larchant",28.910323995623
"77245","Laval-en-Brie",31.5407000937212
"77246","Lechelle",45.1555771614719
"77247","Lescherolles",40.0882711578883
"77248","Lesches",17.3966521038372
"77249","Lesigny",12.5716451114111
"77250","Leudon-en-Brie",35.907770085563
"77251","Lieusaint",13.4192985124277
"77252","Limoges-Fourches",16.0225583642347
"77253","Lissy",17.1507032497117
"77254","Liverdy-en-Brie",20.4145471629629
"77255","Livry-sur-Seine",20.6439950301948
"77256","Lizines",39.0389878236153
"77257","Lizy-sur-Ourcq",27.7829038964547
"77258","Lognes",10.4016207426978
"77259","Longperrier",17.1361999291262
"77260","Longueville",41.1819641206062
"77261","Lorrez-le-Bocage-Preaux",37.3441009948663
"77262","Louan-Villegruis-Fontaine",46.9369776933917
"77263","Luisetaines",42.0266463375318
"77264","Lumigny-Nesles-Ormeaux",23.0497814917982
"77265","Luzancy",29.8201319016697
"77266","Machault",28.1387775922006
"77267","La Madeleine-sur-Loing",33.8024446955018
"77268","Magny-le-Hongre",16.6603397090754
"77269","Maincy",18.6646334865704
"77270","Maisoncelles-en-Brie",23.5170173042451
"77271","Maisoncelles-en-Gatinais",37.5118416963681
"77272","Maison-Rouge",35.7467436365242
"77273","Marchemoret",19.9861991563397
"77274","Marcilly",23.2726877698321
"77275","Les Marets",37.6669757302484
"77276","Mareuil-les-Meaux",19.4872484698459
"77277","Marles-en-Brie",21.7849991305595
"77278","Marolles-en-Brie",31.9821564936743
"77279","Marolles-sur-Seine",33.1002583639929
"77280","Mary-sur-Marne",27.8716804228364
"77281","Mauperthuis",27.128258204849
"77282","Mauregard",15.2389915149615
"77283","May-en-Multien",29.4212468662607
"77284","Meaux",18.4503598357522
"77285","Le Mee-sur-Seine",17.6439692635394
"77286","Meigneux",37.5068915778326
"77287","Meilleray",45.1563903268204
"77288","Melun",17.1688909832687
"77289","Melz-sur-Seine",45.5079296247908
"77290","Mery-sur-Marne",30.6362135315843
"77291","Le Mesnil-Amelot",14.4026046336567
"77292","Messy",14.0722100019717
"77293","Misy-sur-Yonne",36.2840510152176
"77294","Mitry-Mory",11.84187435361
"77295","Moisenay",20.7272401670751
"77296","Moissy-Cramayel",15.0708197301778
"77297","Mondreville",41.595405241808
"77298","Mons-en-Montois",40.6532959062896
"77299","Montarlot",32.3609910385084
"77300","Montceaux-les-Meaux",20.843173473649
"77301","Montceaux-les-Provins",39.085523157151
"77302","Montcourt-Fromonville",30.1444086577358
"77303","Montdauphin",45.1253825498062
"77304","Montenils",47.5997591477971
"77305","Montereau-Fault-Yonne",31.9808950674829
"77306","Montereau-sur-le-Jard",16.5159636118666
"77307","Montevrain",14.7314399114177
"77308","Montge-en-Goele",20.121980675061
"77309","Monthyon",21.1681151856616
"77310","Montigny-le-Guesdier",43.2099252969791
"77311","Montigny-Lencoup",33.643397514264
"77312","Montigny-sur-Loing",29.7308222064663
"77313","Montmachoux",38.4517347883992
"77314","Montolivet",45.4873636734444
"77315","Montry",17.2200801987809
"77316","Moret-sur-Loing",30.4696842668089
"77317","Mormant",25.3053634426611
"77318","Mortcerf",21.4502808027706
"77319","Mortery",36.8451330472286
"77320","Mouroux",25.7462336343787
"77321","Mousseaux-les-Bray",41.2443611869122
"77322","Moussy-le-Neuf",17.1578590006555
"77323","Moussy-le-Vieux",18.3576923727441
"77325","Mouy-sur-Seine",41.2534041384094
"77326","Nandy",15.3800809046002
"77327","Nangis",29.6739999181905
"77328","Nanteau-sur-Essonne",31.2798385975964
"77329","Nanteau-sur-Lunain",34.0928456119701
"77330","Nanteuil-les-Meaux",19.8971232580214
"77331","Nanteuil-sur-Marne",32.0768986940997
"77332","Nantouillet",17.4466208701736
"77333","Nemours",27.8794032898136
"77335","Chauconin-Neufmontiers",18.6663218570715
"77336","Neufmoutiers-en-Brie",20.1236227082294
"77337","Noisiel",10.1910943349238
"77338","Noisy-Rudignon",35.7199167681381
"77339","Noisy-sur-Ecole",25.7036301930591
"77340","Nonville",31.3321123483022
"77341","Noyen-sur-Seine",44.0341738854354
"77342","Obsonville",37.157271835706
"77343","Ocquerre",30.4957919291473
"77344","Oissery",23.4724573110623
"77345","Orly-sur-Morin",34.6241374927557
"77347","Les Ormes-sur-Voulzie",42.5950235835656
"77348","Ormesson",31.1243494784402
"77349","Othis",20.1105804877752
"77350","Ozoir-la-Ferriere",14.5641170586112
"77352","Ozouer-le-Voulgis",20.7182616665426
"77353","Paley",35.760642938768
"77354","Pamfou",27.761105390727
"77355","Paroy",41.2146127984117
"77356","Passy-sur-Seine",46.1723261438243
"77357","Pecy",29.6134124522049
"77358","Penchard",20.006377516324
"77359","Perthes",17.4295091716256
"77360","Pezarches",24.5968440635037
"77361","Pierre-Levee",21.818408064888
"77363","Le Pin",11.2332774980069
"77364","Le Plessis-aux-Bois",20.535221826777
"77365","Le Plessis-Feu-Aussoux",26.7551751675739
"77366","Le Plessis-l'Eveque",19.7662751109017
"77367","Le Plessis-Placy",27.9977217201434
"77368","Poigny",40.3428319171523
"77369","Poincy",21.6846947883677
"77370","Poligny",33.3404096693106
"77371","Pommeuse",25.0647407916514
"77372","Pomponne",12.5305595275248
"77373","Pontault-Combault",11.455692940258
"77374","Pontcarre",12.6121569623897
"77376","Precy-sur-Marne",16.9710557296686
"77377","Presles-en-Brie",18.1382511651536
"77378","Pringy",18.3810337973322
"77379","Provins",38.9182618470453
"77380","Puisieux",26.4234480797488
"77381","Quiers",28.8614474151931
"77382","Quincy-Voisins",17.8941979774329
"77383","Rampillon",33.3025003879593
"77384","Reau",15.2707066384399
"77385","Rebais",34.640467830683
"77386","Recloses",26.4291967948433
"77387","Remauville",35.2342857823271
"77388","Reuil-en-Brie",26.7498395085714
"77389","La Rochette",20.2654284055153
"77390","Roissy-en-Brie",13.1878922225942
"77391","Rouilly",41.2077707169552
"77392","Rouvres",17.4535475645021
"77393","Rozay-en-Brie",23.3299723173135
"77394","Rubelles",17.8455660208293
"77395","Rumont",32.0326220699276
"77396","Rupereux",41.0953306408416
"77397","Saacy-sur-Marne",31.2669848540252
"77398","Sablonnieres",36.3411814033763
"77399","Saint-Ange-le-Viel",38.6028164160046
"77400","Saint-Augustin",27.6654349871553
"77401","Sainte-Aulde",28.725324039496
"77402","Saint-Barthelemy",41.0874883257324
"77403","Saint-Brice",40.9518333996217
"77404","Sainte-Colombe",40.363442765052
"77405","Saint-Cyr-sur-Morin",31.3067541099946
"77406","Saint-Denis-les-Rebais",33.3204953702708
"77407","Saint-Fargeau-Ponthierry",16.0882299407458
"77408","Saint-Fiacre",21.6387255506734
"77409","Saint-Germain-Laval",32.0710827127305
"77410","Saint-Germain-Laxis",18.1673310535498
"77411","Saint-Germain-sous-Doue",32.8898191035363
"77412","Saint-Germain-sur-Ecole",20.2604084805869
"77413","Saint-Germain-sur-Morin",17.1801693804238
"77414","Saint-Hilliers",37.4805620131205
"77415","Saint-Jean-les-Deux-Jumeaux",22.1474737622529
"77416","Saint-Just-en-Brie",35.1228851199946
"77417","Saint-Leger",37.556472568729
"77418","Saint-Loup-de-Naud",40.6010951836717
"77419","Saint-Mammes",29.5699836566677
"77420","Saint-Mard",16.0438604294959
"77421","Saint-Mars-Vieux-Maisons",38.6499509036221
"77423","Saint-Martin-des-Champs",39.1143095204444
"77424","Saint-Martin-du-Boschet",42.3496089406138
"77425","Saint-Martin-en-Biere",20.988216381399
"77426","Saint-Mery",25.050912226316
"77427","Saint-Mesmes",16.2957529527765
"77428","Saint-Ouen-en-Brie",26.7357892513469
"77429","Saint-Ouen-sur-Morin",31.5552930829039
"77430","Saint-Pathus",22.0554653426197
"77431","Saint-Pierre-les-Nemours",28.946708049537
"77432","Saint-Remy-la-Vanne",33.9584874755295
"77433","Saints",28.0953649682584
"77434","Saint-Sauveur-les-Bray",43.7830629773937
"77435","Saint-Sauveur-sur-Ecole",20.1367534900026
"77436","Saint-Simeon",33.1326861260927
"77437","Saint-Soupplets",20.9404107547961
"77438","Saint-Thibault-des-Vignes",11.7594693650722
"77439","Salins",33.00402551137
"77440","Sammeron",22.3452372672766
"77441","Samois-sur-Seine",26.7607301617487
"77442","Samoreau",25.55215192867
"77443","Sancy",21.8497777537581
"77444","Sancy-les-Provins",37.5932886778167
"77445","Savigny-le-Temple",15.1644996541825
"77446","Savins",41.1758447514542
"77447","Seine-Port",17.2269206977081
"77448","Sept-Sorts",25.0327251849313
"77449","Serris",15.5794791599284
"77450","Servon",12.333834019023
"77451","Signy-Signets",25.4422599619411
"77452","Sigy",40.8408465269545
"77453","Sivry-Courtry",21.2405444415116
"77454","Sognolles-en-Montois",40.4130178626483
"77455","Soignolles-en-Brie",17.5285963229931
"77456","Soisy-Bouy",43.8234551537504
"77457","Solers",18.2177795440138
"77458","Souppes-sur-Loing",32.7429393145214
"77459","Sourdun",40.7299013006899
"77460","Tancrou",27.9451785877745
"77461","Thenisy",40.8642365233899
"77462","Thieux",15.6993972326037
"77463","Thomery",28.1710129352331
"77464","Thorigny-sur-Marne",14.493523916755
"77465","Thoury-Ferottes",38.7037605740168
"77466","Tigeaux",20.4896231575883
"77467","La Tombe",35.1341745414014
"77468","Torcy",10.7088709928081
"77469","Touquin",25.3502658615456
"77470","Tournan-en-Brie",17.0642948254149
"77471","Tousson",26.8216606184897
"77472","La Tretoire",36.7216280691301
"77473","Treuzy-Levelay",33.1996278666785
"77474","Trilbardou",16.6588500930101
"77475","Trilport",21.3618896945538
"77476","Trocy-en-Multien",26.6604377371547
"77477","Ury",23.6302806523685
"77478","Ussy-sur-Marne",22.7947992619457
"77479","Vaires-sur-Marne",11.5529553384934
"77480","Valence-en-Brie",29.2852325057815
"77481","Vanville",34.2085967055337
"77482","Varennes-sur-Seine",32.3224496173303
"77483","Varreddes",22.1830337438987
"77484","Vaucourtois",21.5283848441952
"77485","Le Vaudoue",26.7472567429631
"77486","Vaudoy-en-Brie",26.5109548710724
"77487","Vaux-le-Penil",20.1911136642275
"77489","Vaux-sur-Lunain",40.2139866652399
"77490","Vendrest",32.1032497791176
"77491","Veneux-les-Sablons",29.1130724439667
"77492","Verdelot",39.4295112061409
"77493","Verneuil-l'Etang",22.6528929825007
"77494","Vernou-la-Celle-sur-Seine",31.7546485878037
"77495","Vert-Saint-Denis",15.6252661023803
"77496","Vieux-Champagne",36.6496444166782
"77498","Vignely",17.4455589547768
"77500","Villebeon",39.4012702017501
"77501","Villecerf",33.035312393529
"77504","Villemarechal",36.6962308780604
"77505","Villemareuil",21.4478698905332
"77506","Villemer",31.8778831163387
"77507","Villenauxe-la-Petite",43.3071031213546
"77508","Villeneuve-le-Comte",15.9315561705023
"77509","Villeneuve-les-Bordes",34.5459815213569
