"ID","NAMES","ouvrier_AsTheCowRolls_POT_0"
"75101","Paris 1er Arrondissement",438
"75102","Paris 2e  Arrondissement",1169
"75103","Paris 3e  Arrondissement",1160
"75104","Paris 4e  Arrondissement",638
"75105","Paris 5e  Arrondissement",1282
"75106","Paris 6e  Arrondissement",897
"75107","Paris 7e  Arrondissement",1412
"75108","Paris 8e  Arrondissement",1106
"75109","Paris 9e  Arrondissement",1925
"75110","Paris 10e  Arrondissement",5597
"75111","Paris 11e  Arrondissement",6699
"75112","Paris 12e  Arrondissement",5565
"75113","Paris 13e  Arrondissement",8060
"75114","Paris 14e  Arrondissement",4623
"75115","Paris 15e  Arrondissement",7166
"75116","Paris 16e  Arrondissement",3527
"75117","Paris 17e  Arrondissement",6611
"75118","Paris 18e  Arrondissement",13791
"75119","Paris 19e  Arrondissement",11389
"75120","Paris 20e  Arrondissement",12790
"77001","Acheres-la-Foret",91
"77002","Amillis",74
"77003","Amponville",32
"77004","Andrezel",24
"77005","Annet-sur-Marne",252
"77006","Arbonne-la-Foret",32
"77007","Argentieres",45
"77008","Armentieres-en-Brie",101
"77009","Arville",16
"77010","Aubepierre-Ozouer-le-Repos",134
"77011","Aufferville",60
"77012","Augers-en-Brie",56
"77013","Aulnoy",64
"77014","Avon",1074
"77015","Baby",8
"77016","Bagneaux-sur-Loing",334
"77018","Bailly-Romainvilliers",412
"77019","Balloy",49
"77020","Bannost-Villegagnon",93
"77021","Barbey",37
"77022","Barbizon",81
"77023","Barcy",29
"77024","Bassevelle",37
"77025","Bazoches-les-Bray",114
"77026","Beauchery-Saint-Martin",40
"77027","Beaumont-du-Gatinais",116
"77028","Beautheil",59
"77029","Beauvoir",33
"77030","Bellot",115
"77031","Bernay-Vilbert",85
"77032","Beton-Bazoches",138
"77033","Bezalles",34
"77034","Blandy",37
"77035","Blennes",28
"77036","Boisdon",13
"77037","Bois-le-Roi",190
"77038","Boissettes",20
"77039","Boissise-la-Bertrand",53
"77040","Boissise-le-Roi",261
"77041","Boissy-aux-Cailles",4
"77042","Boissy-le-Chatel",356
"77043","Boitron",48
"77044","Bombon",72
"77045","Bougligny",95
"77046","Boulancourt",39
"77047","Bouleurs",145
"77048","Bourron-Marlotte",194
"77049","Boutigny",84
"77050","Bransles",74
"77051","Bray-sur-Seine",358
"77052","Breau",31
"77053","Brie-Comte-Robert",1644
"77054","La Brosse-Montceaux",111
"77055","Brou-sur-Chantereine",453
"77056","Burcy",11
"77057","Bussieres",72
"77058","Bussy-Saint-Georges",1340
"77059","Bussy-Saint-Martin",48
"77060","Buthiers",136
"77061","Cannes-Ecluse",300
"77062","Carnetin",21
"77063","La Celle-sur-Morin",136
"77065","Cely",87
"77066","Cerneux",28
"77067","Cesson",472
"77068","Cessoy-en-Montois",12
"77069","Chailly-en-Biere",233
"77070","Chailly-en-Brie",203
"77071","Chaintreaux",122
"77072","Chalautre-la-Grande",78
"77073","Chalautre-la-Petite",51
"77075","Chalifert",128
"77076","Chalmaison",101
"77077","Chambry",109
"77078","Chamigny",99
"77079","Champagne-sur-Seine",908
"77080","Champcenest",9
"77081","Champdeuil",56
"77082","Champeaux",72
"77083","Champs-sur-Marne",1968
"77084","Changis-sur-Marne",74
"77085","Chanteloup-en-Brie",141
"77086","La Chapelle-Gauthier",195
"77087","La Chapelle-Iger",12
"77088","La Chapelle-la-Reine",288
"77089","La Chapelle-Rablais",98
"77090","La Chapelle-Saint-Sulpice",27
"77091","Les Chapelles-Bourbon",41
"77093","La Chapelle-Moutils",52
"77094","Charmentray",47
"77095","Charny",133
"77096","Chartrettes",126
"77097","Chartronges",27
"77098","Chateaubleau",40
"77099","Chateau-Landon",332
"77100","Le Chatelet-en-Brie",456
"77101","Chatenay-sur-Seine",140
"77102","Chatenoy",22
"77103","Chatillon-la-Borde",16
"77104","Chatres",42
"77106","Chauffry",119
"77107","Chaumes-en-Brie",399
"77108","Chelles",4524
"77109","Chenoise",191
"77110","Chenou",46
"77111","Chessy",318
"77112","Chevrainvilliers",16
"77113","Chevru",128
"77114","Chevry-Cossigny",310
"77115","Chevry-en-Sereine",40
"77116","Choisy-en-Brie",134
"77117","Citry",108
"77118","Claye-Souilly",902
"77119","Clos-Fontaine",67
"77120","Cocherel",92
"77121","Collegien",284
"77122","Combs-la-Ville",2087
"77123","Compans",104
"77124","Conches-sur-Gondoire",84
"77125","Conde-Sainte-Libiaire",64
"77126","Congis-sur-Therouanne",188
"77127","Coubert",194
"77128","Couilly-Pont-aux-Dames",160
"77129","Coulombs-en-Valois",88
"77130","Coulommes",45
"77131","Coulommiers",1899
"77132","Coupvray",167
"77133","Courcelles-en-Bassee",12
"77134","Courchamp",8
"77135","Courpalay",214
"77136","Courquetaine",8
"77137","Courtacon",28
"77138","Courtomer",53
"77139","Courtry",534
"77140","Coutencon",61
"77141","Coutevroult",98
"77142","Crecy-la-Chapelle",404
"77143","Cregy-les-Meaux",476
"77144","Crevecoeur-en-Brie",57
"77145","Crisenoy",75
"77146","Croissy-Beaubourg",66
"77147","La Croix-en-Brie",91
"77148","Crouy-sur-Ourcq",263
"77149","Cucharmoy",42
"77150","Cuisy",48
"77151","Dagny",44
"77152","Dammarie-les-Lys",2661
"77153","Dammartin-en-Goele",784
"77154","Dammartin-sur-Tigeaux",45
"77155","Dampmart",324
"77156","Darvault",63
"77157","Dhuisy",8
"77158","Diant",21
"77159","Donnemarie-Dontilly",339
"77161","Dormelles",34
"77162","Doue",88
"77163","Douy-la-Ramee",31
"77164","Echouboulains",67
"77165","Les Ecrennes",72
"77166","Ecuelles",240
"77167","Egligny",40
"77168","Egreville",284
"77169","Emerainville",709
"77170","Episy",34
"77171","Esbly",403
"77172","Esmans",113
"77173","Etrepilly",128
"77174","Everly",84
"77175","Evry-Gregy-sur-Yerre",135
"77176","Faremoutiers",277
"77177","Favieres",112
