"ID","NAMES","ouvrier_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",1237.82100902978
"75102","Paris 2e  Arrondissement",868.207707830839
"75103","Paris 3e  Arrondissement",767.159655848201
"75104","Paris 4e  Arrondissement",1004.686652978
"75105","Paris 5e  Arrondissement",1144.52088355699
"75106","Paris 6e  Arrondissement",1413.83755703652
"75107","Paris 7e  Arrondissement",1698.17304345764
"75108","Paris 8e  Arrondissement",1330.5844521346
"75109","Paris 9e  Arrondissement",689.041985183928
"75110","Paris 10e  Arrondissement",277.43010372317
"75111","Paris 11e  Arrondissement",238.838669504455
"75112","Paris 12e  Arrondissement",923.133343170784
"75113","Paris 13e  Arrondissement",197.433027882352
"75114","Paris 14e  Arrondissement",769.735524744453
"75115","Paris 15e  Arrondissement",588.650030496443
"75116","Paris 16e  Arrondissement",2549.25009067043
"75117","Paris 17e  Arrondissement",381.821565709783
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",14765.7421220623
"77002","Amillis",15341.0647082141
"77003","Amponville",17875.6522050525
"77004","Andrezel",10967.8659526873
"77005","Annet-sur-Marne",6083.24147755063
"77006","Arbonne-la-Foret",12165.8728846631
"77007","Argentieres",12750.0854564317
"77008","Armentieres-en-Brie",9772.40644404429
"77009","Arville",23171.7464826965
"77010","Aubepierre-Ozouer-le-Repos",13433.3252684987
"77011","Aufferville",20786.8094981688
"77012","Augers-en-Brie",21145.579795243
"77013","Aulnoy",12182.8558762143
"77014","Avon",10983.2829489723
"77015","Baby",26230.8296334949
"77016","Bagneaux-sur-Loing",17803.5893361339
"77018","Bailly-Romainvilliers",7969.25747710182
"77019","Balloy",18345.7539496704
"77020","Bannost-Villegagnon",16869.7514062343
"77021","Barbey",16631.3204155462
"77022","Barbizon",9620.25557924401
"77023","Barcy",8800.30267098198
"77024","Bassevelle",18431.5260390156
"77025","Bazoches-les-Bray",19633.6510821016
"77026","Beauchery-Saint-Martin",24701.478775258
"77027","Beaumont-du-Gatinais",26841.0131533923
"77028","Beautheil",14314.9094878618
"77029","Beauvoir",12637.1991743117
"77030","Bellot",19575.5332695321
"77031","Bernay-Vilbert",13624.6844221547
"77032","Beton-Bazoches",17609.2292347705
"77033","Bezalles",17809.4357870725
"77034","Blandy",10217.076094089
"77035","Blennes",20749.6346681655
"77036","Boisdon",17462.0556129293
"77037","Bois-le-Roi",8055.48371918352
"77038","Boissettes",4301.29415268036
"77039","Boissise-la-Bertrand",4766.73721486478
"77040","Boissise-le-Roi",6255.73256694533
"77041","Boissy-aux-Cailles",17561.2311033684
"77042","Boissy-le-Chatel",13333.6074837947
"77043","Boitron",17063.3662691046
"77044","Bombon",12504.7172701754
"77045","Bougligny",20092.8437900037
"77046","Boulancourt",20487.9561184352
"77047","Bouleurs",8486.68321486539
"77048","Bourron-Marlotte",12978.0976943935
"77049","Boutigny",7354.3225238245
"77050","Bransles",23469.4726444209
"77051","Bray-sur-Seine",20947.1497685698
"77052","Breau",12733.473032114
"77053","Brie-Comte-Robert",6154.8715039634
"77054","La Brosse-Montceaux",16829.0330270647
"77055","Brou-sur-Chantereine",3691.2581150118
"77056","Burcy",20636.1668770141
"77057","Bussieres",16588.8329063807
"77058","Bussy-Saint-Georges",5449.24980198064
