"ID","NAMES","ouvrier_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",177332.66196952
"75102","Paris 2e  Arrondissement",183635.15939802
"75103","Paris 3e  Arrondissement",186155.21842405
"75104","Paris 4e  Arrondissement",180064.45580065
"75105","Paris 5e  Arrondissement",169768.16156925
"75106","Paris 6e  Arrondissement",165667.90481949
"75107","Paris 7e  Arrondissement",158225.06866417
"75108","Paris 8e  Arrondissement",167886.05988047
"75109","Paris 9e  Arrondissement",184119.55232141
"75110","Paris 10e  Arrondissement",191941.21851068
"75111","Paris 11e  Arrondissement",186689.69190079
"75112","Paris 12e  Arrondissement",161208.2359505
"75113","Paris 13e  Arrondissement",157961.92988902
"75114","Paris 14e  Arrondissement",143345.67305452
"75115","Paris 15e  Arrondissement",130298.51141072
"75116","Paris 16e  Arrondissement",118384.88821342
"75117","Paris 17e  Arrondissement",168372.62844836
"75118","Paris 18e  Arrondissement",190435.34654973
"75119","Paris 19e  Arrondissement",196001.49650999
"75120","Paris 20e  Arrondissement",186776.13496855
"77001","Acheres-la-Foret",1077.31650506
"77002","Amillis",1843.08896578
"77003","Amponville",882.15926341
"77004","Andrezel",2913.32977994
"77005","Annet-sur-Marne",14531.68071393
"77006","Arbonne-la-Foret",1432.93360819
"77007","Argentieres",3159.28119813
"77008","Armentieres-en-Brie",5147.11449368
"77009","Arville",482.57417438
"77010","Aubepierre-Ozouer-le-Repos",2769.78345328
"77011","Aufferville",1295.69471037
"77012","Augers-en-Brie",599.65521226
"77013","Aulnoy",3988.98833923
"77014","Avon",4230.64457425
"77015","Baby",585.35593466
"77016","Bagneaux-sur-Loing",3640.54491087
"77018","Bailly-Romainvilliers",7404.26053794
"77019","Balloy",1153.77201158
"77020","Bannost-Villegagnon",955.63468758
"77021","Barbey",2678.72231573
"77022","Barbizon",4164.58703891
"77023","Barcy",6887.74511381
"77024","Bassevelle",1248.90336901
"77025","Bazoches-les-Bray",1166.81324573
"77026","Beauchery-Saint-Martin",678.57689908
"77027","Beaumont-du-Gatinais",192.22128038
"77028","Beautheil",3170.77688209
"77029","Beauvoir",3145.72036253
"77030","Bellot",1774.91242462
"77031","Bernay-Vilbert",2428.61311608
"77032","Beton-Bazoches",1020.36305037
"77033","Bezalles",915.90652804
"77034","Blandy",3358.86416325
"77035","Blennes",387.22198072
"77036","Boisdon",912.39200803
"77037","Bois-le-Roi",7668.30688743
"77038","Boissettes",15402.50038079
"77039","Boissise-la-Bertrand",16385.2180778
"77040","Boissise-le-Roi",12385.46027619
"77041","Boissy-aux-Cailles",841.03156713
"77042","Boissy-le-Chatel",3915.71493252
"77043","Boitron",1639.03678669
"77044","Bombon",2242.72244512
"77045","Bougligny",2655.4986693
"77046","Boulancourt",367.0913331
"77047","Bouleurs",6712.14382169
"77048","Bourron-Marlotte",3035.63493483
"77049","Boutigny",9137.27540489
"77050","Bransles",931.37700004
"77051","Bray-sur-Seine",1339.32170794
"77052","Breau",2143.35893645
"77053","Brie-Comte-Robert",13641.23620865
"77054","La Brosse-Montceaux",2597.28003509
"77055","Brou-sur-Chantereine",40395.63131139
"77056","Burcy",514.36096675
"77057","Bussieres",1892.22026485
"77058","Bussy-Saint-Georges",17863.3274857
"77059","Bussy-Saint-Martin",28320.60633734
"77060","Buthiers",522.77779295
"77061","Cannes-Ecluse",4058.41245442
"77062","Carnetin",18959.06046726
"77063","La Celle-sur-Morin",3004.13142134
"77065","Cely",3116.53222268
"77066","Cerneux",748.10316862
"77067","Cesson",18651.06541305
"77068","Cessoy-en-Montois",1665.48306543
"77069","Chailly-en-Biere",7423.21091917
"77070","Chailly-en-Brie",3727.84447613
"77071","Chaintreaux",1679.74463129
"77072","Chalautre-la-Grande",511.38227392
"77073","Chalautre-la-Petite",2818.70148715
"77075","Chalifert",10822.65105043
"77076","Chalmaison",2474.2375213
"77077","Chambry",8948.50636075
"77078","Chamigny",2540.44863784
"77079","Champagne-sur-Seine",4547.57034466
"77080","Champcenest",821.68141565
"77081","Champdeuil",4357.87899363
"77082","Champeaux",2794.87273698
"77083","Champs-sur-Marne",60249.41026038
"77084","Changis-sur-Marne",4856.09985991
"77085","Chanteloup-en-Brie",15127.46808026
"77086","La Chapelle-Gauthier",1872.67551746
"77087","La Chapelle-Iger",1714.54049956
"77088","La Chapelle-la-Reine",1162.28388206
"77089","La Chapelle-Rablais",1791.30567729
"77090","La Chapelle-Saint-Sulpice",2080.31108337
"77091","Les Chapelles-Bourbon",3273.0161838
"77093","La Chapelle-Moutils",1210.89914735
"77094","Charmentray",7759.7819989
"77095","Charny",6125.64573191
"77096","Chartrettes",8718.14930372
"77097","Chartronges",1743.11965662
"77098","Chateaubleau",1440.66330377
"77099","Chateau-Landon",1354.34917716
"77100","Le Chatelet-en-Brie",2840.00877885
"77101","Chatenay-sur-Seine",1755.5683469
"77102","Chatenoy",2448.08604632
"77103","Chatillon-la-Borde",2277.82641637
"77104","Chatres",3766.53212352
"77106","Chauffry",3342.4380882
"77107","Chaumes-en-Brie",3305.35884885
"77108","Chelles",62634.06677688
"77109","Chenoise",1283.05113242
"77110","Chenou",1406.40260467
"77111","Chessy",11546.72841916
"77112","Chevrainvilliers",1960.32640366
"77113","Chevru",1440.71801081
"77114","Chevry-Cossigny",10439.79461507
"77115","Chevry-en-Sereine",677.84076563
"77116","Choisy-en-Brie",2147.29011544
"77117","Citry",1472.92859738
"77118","Claye-Souilly",17798.65337318
"77119","Clos-Fontaine",2000.59456948
"77120","Cocherel",2274.41925593
"77121","Collegien",27790.6776446
"77122","Combs-la-Ville",18072.23411764
"77123","Compans",13096.52515222
"77124","Conches-sur-Gondoire",18623.64583596
"77125","Conde-Sainte-Libiaire",9708.81078944
"77126","Congis-sur-Therouanne",5287.91869761
"77127","Coubert",5344.32668931
"77128","Couilly-Pont-aux-Dames",8073.09803554
"77129","Coulombs-en-Valois",906.17360297
"77130","Coulommes",7215.52218515
"77131","Coulommiers",4173.53337908
"77132","Coupvray",10061.89555185
"77133","Courcelles-en-Bassee",2793.96882595
"77134","Courchamp",1174.16276595
"77135","Courpalay",2247.34878069
"77136","Courquetaine",4268.4483602
"77137","Courtacon",911.57384879
"77138","Courtomer",2960.73199784
"77139","Courtry",54540.09804903
"77140","Coutencon",2029.21580244
"77141","Coutevroult",6393.59671242
"77142","Crecy-la-Chapelle",4124.48607767
"77143","Cregy-les-Meaux",10124.48629105
"77144","Crevecoeur-en-Brie",2240.84025552
"77145","Crisenoy",4607.55943347
"77146","Croissy-Beaubourg",32400.82633172
"77147","La Croix-en-Brie",1627.90575639
"77148","Crouy-sur-Ourcq",1132.46828695
"77149","Cucharmoy",1682.97592157
"77150","Cuisy",4277.64827694
"77151","Dagny",1188.58133645
"77152","Dammarie-les-Lys",14245.56737932
"77153","Dammartin-en-Goele",4680.34521962
"77154","Dammartin-sur-Tigeaux",2994.44035955
"77155","Dampmart",12843.42932223
"77156","Darvault",3646.31314832
"77157","Dhuisy",1225.21070242
"77158","Diant",1056.05053722
"77159","Donnemarie-Dontilly",1479.44130822
"77161","Dormelles",2188.36032389
"77162","Doue",2972.29975163
"77163","Douy-la-Ramee",2462.00655604
"77164","Echouboulains",2447.1827176
"77165","Les Ecrennes",1792.22693377
"77166","Ecuelles",3834.56500884
"77167","Egligny",1487.18914943
"77168","Egreville",796.77424271
"77169","Emerainville",48319.49782264
"77170","Episy",3010.32241088
"77171","Esbly",9845.75799663
"77172","Esmans",3696.22552191
"77173","Etrepilly",3767.60224265
"77174","Everly",1927.87027731
"77175","Evry-Gregy-sur-Yerre",10231.94326724
