"ID","NAMES","population_AsTheCowRolls_ACC_0.05"
"75101","Paris 1er Arrondissement",4.22160598380418
"75102","Paris 2e  Arrondissement",4.13998353032241
"75103","Paris 3e  Arrondissement",3.23594145984355
"75104","Paris 4e  Arrondissement",3.49319760564605
"75105","Paris 5e  Arrondissement",3.66264958753681
"75106","Paris 6e  Arrondissement",3.97222896335629
"75107","Paris 7e  Arrondissement",4.89159254841572
"75108","Paris 8e  Arrondissement",3.76359112012889
"75109","Paris 9e  Arrondissement",3.12356326430378
"75110","Paris 10e  Arrondissement",2.45728673817607
"75111","Paris 11e  Arrondissement",3.03896924346615
"75112","Paris 12e  Arrondissement",4.18900307784541
"75113","Paris 13e  Arrondissement",3.31777937546955
"75114","Paris 14e  Arrondissement",3.63425558937105
"75115","Paris 15e  Arrondissement",4.63932328127168
"75116","Paris 16e  Arrondissement",5.46603468235392
"75117","Paris 17e  Arrondissement",3.45930763671664
"75118","Paris 18e  Arrondissement",3.56926475635857
"75119","Paris 19e  Arrondissement",3.87958024386052
"75120","Paris 20e  Arrondissement",3.32571416765966
"77001","Acheres-la-Foret",27.3447100336809
"77002","Amillis",33.0705444593618
"77003","Amponville",30.255276095086
"77004","Andrezel",24.5956882769373
"77005","Annet-sur-Marne",15.5051024469456
"77006","Arbonne-la-Foret",23.9964299087624
"77007","Argentieres",25.9665382523671
"77008","Armentieres-en-Brie",27.5668887910715
"77009","Arville",39.2801003983795
"77010","Aubepierre-Ozouer-le-Repos",27.0250724876182
"77011","Aufferville",35.5016860403676
"77012","Augers-en-Brie",38.5610533348096
"77013","Aulnoy",30.5087531875938
"77014","Avon",26.602806538909
"77015","Baby",47.751570849448
"77016","Bagneaux-sur-Loing",32.2200435109031
"77018","Bailly-Romainvilliers",17.0810475241857
"77019","Balloy",40.1661979149272
"77020","Bannost-Villegagnon",32.4760674353249
"77021","Barbey",36.4860308488044
"77022","Barbizon",21.6258645667443
"77023","Barcy",23.0255156995708
"77024","Bassevelle",35.1312407319476
"77025","Bazoches-les-Bray",41.0979557527929
"77026","Beauchery-Saint-Martin",46.3004802897056
"77027","Beaumont-du-Gatinais",42.5205433628584
"77028","Beautheil",32.078299667962
"77029","Beauvoir",25.440877866448
"77030","Bellot",40.7935302607008
"77031","Bernay-Vilbert",26.4977445648658
"77032","Beton-Bazoches",33.3857525633222
"77033","Bezalles",35.2163200039947
"77034","Blandy",23.8864631146945
"77035","Blennes",45.480144036238
"77036","Boisdon",33.1588142402173
"77037","Bois-le-Roi",23.5777769754098
"77038","Boissettes",21.0262897087804
"77039","Boissise-la-Bertrand",20.8747232317524
"77040","Boissise-le-Roi",19.1567536610114
"77041","Boissy-aux-Cailles",31.2035742183205
"77042","Boissy-le-Chatel",31.2916000707748
"77043","Boitron",35.9493795293055
"77044","Bombon",28.6054528806731
"77045","Bougligny",36.5054072078489
"77046","Boulancourt",35.9725071230259
"77047","Bouleurs",20.3922390721297
"77048","Bourron-Marlotte",31.6868302336127
"77049","Boutigny",21.5021558918053
"77050","Bransles",36.6956119925347
"77051","Bray-sur-Seine",44.059661025898
"77052","Breau",26.8905332423578
"77053","Brie-Comte-Robert",15.0637588006076
"77054","La Brosse-Montceaux",38.3207404266642
"77055","Brou-sur-Chantereine",11.9809278367744
"77056","Burcy",35.1303076014225
"77057","Bussieres",31.7647719662622
"77058","Bussy-Saint-Georges",12.6154905363717
"77059","Bussy-Saint-Martin",13.0090375022514
"77060","Buthiers",32.7542516745767
"77061","Cannes-Ecluse",36.63289613076
"77062","Carnetin",16.0134235471663
"77063","La Celle-sur-Morin",25.7454160642766
"77065","Cely",19.761571609724
"77066","Cerneux",37.5252251682614
"77067","Cesson",17.8540377197061
"77068","Cessoy-en-Montois",42.4851309541538
"77069","Chailly-en-Biere",20.6350821729347
