"ID","NAMES","population_AsTheCowRolls_POT_10"
"75101","Paris 1er Arrondissement",2794553.26087701
"75102","Paris 2e  Arrondissement",2752616.26315342
"75103","Paris 3e  Arrondissement",2866837.38668596
"75104","Paris 4e  Arrondissement",2895489.09525724
"75105","Paris 5e  Arrondissement",2819236.52195736
"75106","Paris 6e  Arrondissement",2746224.72718449
"75107","Paris 7e  Arrondissement",2576947.55640469
"75108","Paris 8e  Arrondissement",2872028.11979009
"75109","Paris 9e  Arrondissement",2963542.75795058
"75110","Paris 10e  Arrondissement",3076899.48915737
"75111","Paris 11e  Arrondissement",2745253.87645324
"75112","Paris 12e  Arrondissement",2648231.23381853
"75113","Paris 13e  Arrondissement",2698999.81378818
"75114","Paris 14e  Arrondissement",2604444.12978766
"75115","Paris 15e  Arrondissement",2309873.07330776
"75116","Paris 16e  Arrondissement",2348480.74012186
"75117","Paris 17e  Arrondissement",2771043.31041682
"75118","Paris 18e  Arrondissement",2654840.92252311
"75119","Paris 19e  Arrondissement",2558021.07768143
"75120","Paris 20e  Arrondissement",2663237.64450308
"77001","Acheres-la-Foret",15785.98710214
"77002","Amillis",14004.96647897
"77003","Amponville",7006.24708997
"77004","Andrezel",18951.27824347
"77005","Annet-sur-Marne",102573.8410228
"77006","Arbonne-la-Foret",28771.07119674
"77007","Argentieres",17221.63089031
"77008","Armentieres-en-Brie",20863.19525705
"77009","Arville",4607.16064634
"77010","Aubepierre-Ozouer-le-Repos",19266.56950304
"77011","Aufferville",15053.09259033
"77012","Augers-en-Brie",4107.43344497
"77013","Aulnoy",26760.43456423
"77014","Avon",59670.69649435
"77015","Baby",4371.9643048
"77016","Bagneaux-sur-Loing",29103.51301825
"77018","Bailly-Romainvilliers",85853.54641089
"77019","Balloy",9799.62004934
"77020","Bannost-Villegagnon",5572.8777774
"77021","Barbey",18150.23546572
"77022","Barbizon",40475.65331831
"77023","Barcy",61068.39757624
"77024","Bassevelle",4628.54479471
"77025","Bazoches-les-Bray",9156.03293511
