"ID","NAMES","population_AsTheCrowFlies_ACC_0.01"
"75101","Paris 1er Arrondissement",553.11635321291
"75102","Paris 2e  Arrondissement",463.670745687154
"75103","Paris 3e  Arrondissement",378.360261578764
"75104","Paris 4e  Arrondissement",451.66961402101
"75105","Paris 5e  Arrondissement",327.30498077581
"75106","Paris 6e  Arrondissement",428.27636385476
"75107","Paris 7e  Arrondissement",413.436465956037
"75108","Paris 8e  Arrondissement",509.914778479464
"75109","Paris 9e  Arrondissement",293.388252140217
"75110","Paris 10e  Arrondissement",109.976980648846
"75111","Paris 11e  Arrondissement",0
"75112","Paris 12e  Arrondissement",0
"75113","Paris 13e  Arrondissement",0
"75114","Paris 14e  Arrondissement",0
"75115","Paris 15e  Arrondissement",0
"75116","Paris 16e  Arrondissement",0
"75117","Paris 17e  Arrondissement",0
"75118","Paris 18e  Arrondissement",0
"75119","Paris 19e  Arrondissement",0
"75120","Paris 20e  Arrondissement",0
"77001","Acheres-la-Foret",15410.8753478519
"77002","Amillis",18499.8484861694
"77003","Amponville",19033.2535593963
"77004","Andrezel",12297.2141755433
"77005","Annet-sur-Marne",6570.57432427031
"77006","Arbonne-la-Foret",12651.9087830897
"77007","Argentieres",14089.3200392446
"77008","Armentieres-en-Brie",12694.6876100594
"77009","Arville",25366.633880746
"77010","Aubepierre-Ozouer-le-Repos",15245.8356954213
"77011","Aufferville",23154.207109635
"77012","Augers-en-Brie",26484.2399200879
"77013","Aulnoy",14625.2500385537
"77014","Avon",11396.581415598
"77015","Baby",31578.176017421
"77016","Bagneaux-sur-Loing",20730.4203127202
"77018","Bailly-Romainvilliers",8035.87975244964
"77019","Balloy",22994.7751284066
"77020","Bannost-Villegagnon",20840.0813769635
"77021","Barbey",20207.3540729826
"77022","Barbizon",10291.3845786254
"77023","Barcy",11425.5764428122
"77024","Bassevelle",22597.9740317599
"77025","Bazoches-les-Bray",24637.8901861818
"77026","Beauchery-Saint-Martin",30400.5977124336
"77027","Beaumont-du-Gatinais",28816.9464536759
"77028","Beautheil",17061.3071185863
"77029","Beauvoir",13943.7026374615
"77030","Bellot",24055.094045693
"77031","Bernay-Vilbert",15348.7090189817
"77032","Beton-Bazoches",22018.7727826048
"77033","Bezalles",22417.7988706267
"77034","Blandy",11433.9181618919
"77035","Blennes",24236.2894175732
"77036","Boisdon",21814.4346569322
"77037","Bois-le-Roi",8921.10165186782
"77038","Boissettes",6049.18237387585
