"ID","NAMES","population_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",3273422.35734232
"75102","Paris 2e  Arrondissement",3266827.55100629
"75103","Paris 3e  Arrondissement",3240903.73750265
"75104","Paris 4e  Arrondissement",3232976.53241586
"75105","Paris 5e  Arrondissement",3178065.05068493
"75106","Paris 6e  Arrondissement",3207487.96457347
"75107","Paris 7e  Arrondissement",3156040.29077453
"75108","Paris 8e  Arrondissement",3155624.0943936
"75109","Paris 9e  Arrondissement",3215219.33199572
"75110","Paris 10e  Arrondissement",3175851.24271968
"75111","Paris 11e  Arrondissement",3129715.5626902
"75112","Paris 12e  Arrondissement",2570641.20847019
"75113","Paris 13e  Arrondissement",2927368.09310054
"75114","Paris 14e  Arrondissement",2908979.32539485
"75115","Paris 15e  Arrondissement",2831094.64969501
"75116","Paris 16e  Arrondissement",2588195.47635924
"75117","Paris 17e  Arrondissement",2989238.70470075
"75118","Paris 18e  Arrondissement",3015835.13389456
"75119","Paris 19e  Arrondissement",2917060.00927134
"75120","Paris 20e  Arrondissement",2929668.86860048
"77001","Acheres-la-Foret",14842.09749007
"77002","Amillis",15700.85442623
"77003","Amponville",9543.78459925
"77004","Andrezel",26486.74173717
"77005","Annet-sur-Marne",158969.5116418
"77006","Arbonne-la-Foret",21773.71667807
"77007","Argentieres",27114.40152705
"77008","Armentieres-en-Brie",45433.4457747
"77009","Arville",4258.6403418
"77010","Aubepierre-Ozouer-le-Repos",22791.21387809
"77011","Aufferville",11007.58099674
"77012","Augers-en-Brie",4947.0048355
"77013","Aulnoy",34731.54794875
"77014","Avon",62155.33678843
"77015","Baby",4318.85915305
"77016","Bagneaux-sur-Loing",29612.76957156
"77018","Bailly-Romainvilliers",100611.07045114
"77019","Balloy",9375.72509077
"77020","Bannost-Villegagnon",7460.2198149
"77021","Barbey",21741.10197789
"77022","Barbizon",48544.02885607
"77023","Barcy",59728.92483661
"77024","Bassevelle",10478.46774445
"77025","Bazoches-les-Bray",8931.304429
"77026","Beauchery-Saint-Martin",5966.06988158
"77027","Beaumont-du-Gatinais",1807.52237974
"77028","Beautheil",27271.28553108
"77029","Beauvoir",26905.40429736
"77030","Bellot",12955.73662729
"77031","Bernay-Vilbert",20996.85671479
"77032","Beton-Bazoches",8075.08846337
"77033","Bezalles",7000.53606145
"77034","Blandy",33651.55712928
"77035","Blennes",4601.03462774
"77036","Boisdon",7061.93598708
"77037","Bois-le-Roi",86087.52546876
"77038","Boissettes",150305.98459439
"77039","Boissise-la-Bertrand",160804.94540552
"77040","Boissise-le-Roi",123278.84236091
"77041","Boissy-aux-Cailles",9625.63556323
"77042","Boissy-le-Chatel",33044.25548234
"77043","Boitron",13748.18133798
"77044","Bombon",19751.70035294
"77045","Bougligny",21275.90507857
"77046","Boulancourt",3454.15520671
"77047","Bouleurs",73598.94045625
"77048","Bourron-Marlotte",36715.201066
"77049","Boutigny",87149.50502551
"77050","Bransles",7433.82264118
"77051","Bray-sur-Seine",10033.59019173
"77052","Breau",18799.95751775
"77053","Brie-Comte-Robert",163295.57193246
"77054","La Brosse-Montceaux",21402.17907492
"77055","Brou-sur-Chantereine",433005.27287147
"77056","Burcy",5128.32040505
"77057","Bussieres",16601.03946541
"77058","Bussy-Saint-Georges",208857.09787959
"77059","Bussy-Saint-Martin",322400.91681025
"77060","Buthiers",5259.07601285
"77061","Cannes-Ecluse",32820.01171989
"77062","Carnetin",211404.44285022
"77063","La Celle-sur-Morin",29849.60350303
"77065","Cely",37322.73429728
"77066","Cerneux",5712.17749174
"77067","Cesson",183090.87238257
