"ID","NAMES","total_AsTheCowRolls_POT_0"
"75101","Paris 1er Arrondissement",10362
"75102","Paris 2e  Arrondissement",14446
"75103","Paris 3e  Arrondissement",22085
"75104","Paris 4e  Arrondissement",15739
"75105","Paris 5e  Arrondissement",30753
"75106","Paris 6e  Arrondissement",20675
"75107","Paris 7e  Arrondissement",28059
"75108","Paris 8e  Arrondissement",20788
"75109","Paris 9e  Arrondissement",35565
"75110","Paris 10e  Arrondissement",56020
"75111","Paris 11e  Arrondissement",92142
"75112","Paris 12e  Arrondissement",81033
"75113","Paris 13e  Arrondissement",95647
"75114","Paris 14e  Arrondissement",73389
"75115","Paris 15e  Arrondissement",128529
"75116","Paris 16e  Arrondissement",77074
"75117","Paris 17e  Arrondissement",93428
"75118","Paris 18e  Arrondissement",114657
"75119","Paris 19e  Arrondissement",95851
"75120","Paris 20e  Arrondissement",106873
"77001","Acheres-la-Foret",576
"77002","Amillis",375
"77003","Amponville",224
"77004","Andrezel",152
"77005","Annet-sur-Marne",1772
"77006","Arbonne-la-Foret",424
"77007","Argentieres",219
"77008","Armentieres-en-Brie",482
"77009","Arville",68
"77010","Aubepierre-Ozouer-le-Repos",468
"77011","Aufferville",302
"77012","Augers-en-Brie",160
"77013","Aulnoy",204
"77014","Avon",6746
"77015","Baby",36
"77016","Bagneaux-sur-Loing",804
"77018","Bailly-Romainvilliers",3896
"77019","Balloy",163
"77020","Bannost-Villegagnon",371
"77021","Barbey",99
"77022","Barbizon",565
"77023","Barcy",123
"77024","Bassevelle",184
"77025","Bazoches-les-Bray",399
"77026","Beauchery-Saint-Martin",200
"77027","Beaumont-du-Gatinais",468
"77028","Beautheil",378
"77029","Beauvoir",116
"77030","Bellot",417
"77031","Bernay-Vilbert",444
"77032","Beton-Bazoches",383
"77033","Bezalles",123
"77034","Blandy",380
"77035","Blennes",296
"77036","Boisdon",48
"77037","Bois-le-Roi",2672
"77038","Boissettes",204
"77039","Boissise-la-Bertrand",471
"77040","Boissise-le-Roi",1618
"77041","Boissy-aux-Cailles",168
"77042","Boissy-le-Chatel",1513
"77043","Boitron",209
"77044","Bombon",408
"77045","Bougligny",363
"77046","Boulancourt",193
"77047","Bouleurs",738
"77048","Bourron-Marlotte",1127
"77049","Boutigny",468
"77050","Bransles",226
"77051","Bray-sur-Seine",934
"77052","Breau",201
"77053","Brie-Comte-Robert",8266
"77054","La Brosse-Montceaux",358
"77055","Brou-sur-Chantereine",2137
"77056","Burcy",64
"77057","Bussieres",220
"77058","Bussy-Saint-Georges",14107
"77059","Bussy-Saint-Martin",408
"77060","Buthiers",408
"77061","Cannes-Ecluse",1176
"77062","Carnetin",254
"77063","La Celle-sur-Morin",724
"77065","Cely",584
"77066","Cerneux",128
"77067","Cesson",4264
"77068","Cessoy-en-Montois",76
"77069","Chailly-en-Biere",1023
"77070","Chailly-en-Brie",713
"77071","Chaintreaux",480
"77072","Chalautre-la-Grande",317
"77073","Chalautre-la-Petite",274
"77075","Chalifert",680
"77076","Chalmaison",340
"77077","Chambry",475
"77078","Chamigny",602
"77079","Champagne-sur-Seine",3227
"77080","Champcenest",62
"77081","Champdeuil",383
"77082","Champeaux",342
"77083","Champs-sur-Marne",12783
"77084","Changis-sur-Marne",564
"77085","Chanteloup-en-Brie",1264
"77086","La Chapelle-Gauthier",792
"77087","La Chapelle-Iger",80
"77088","La Chapelle-la-Reine",1301
"77089","La Chapelle-Rablais",500
"77090","La Chapelle-Saint-Sulpice",135
"77091","Les Chapelles-Bourbon",229
"77093","La Chapelle-Moutils",212
"77094","Charmentray",154
"77095","Charny",695
"77096","Chartrettes",1237
"77097","Chartronges",136
"77098","Chateaubleau",160
"77099","Chateau-Landon",1272
"77100","Le Chatelet-en-Brie",2230
"77101","Chatenay-sur-Seine",484
"77102","Chatenoy",81
"77103","Chatillon-la-Borde",108
"77104","Chatres",350
"77106","Chauffry",523
"77107","Chaumes-en-Brie",1611
"77108","Chelles",25883
"77109","Chenoise",629
"77110","Chenou",170
"77111","Chessy",2513
"77112","Chevrainvilliers",96
"77113","Chevru",492
"77114","Chevry-Cossigny",1962
"77115","Chevry-en-Sereine",256
"77116","Choisy-en-Brie",588
"77117","Citry",376
"77118","Claye-Souilly",5889
"77119","Clos-Fontaine",162
"77120","Cocherel",326
"77121","Collegien",1785
"77122","Combs-la-Ville",11206
"77123","Compans",371
"77124","Conches-sur-Gondoire",794
"77125","Conde-Sainte-Libiaire",721
"77126","Congis-sur-Therouanne",868
"77127","Coubert",973
"77128","Couilly-Pont-aux-Dames",996
"77129","Coulombs-en-Valois",300
"77130","Coulommes",211
"77131","Coulommiers",6821
"77132","Coupvray",1398
"77133","Courcelles-en-Bassee",114
"77134","Courchamp",56
"77135","Courpalay",722
"77136","Courquetaine",108
"77137","Courtacon",111
"77138","Courtomer",311
"77139","Courtry",3189
"77140","Coutencon",162
"77141","Coutevroult",564
"77142","Crecy-la-Chapelle",2304
"77143","Cregy-les-Meaux",2368
"77144","Crevecoeur-en-Brie",149
"77145","Crisenoy",317
"77146","Croissy-Beaubourg",952
"77147","La Croix-en-Brie",330
"77148","Crouy-sur-Ourcq",901
"77149","Cucharmoy",134
"77150","Cuisy",228
"77151","Dagny",153
"77152","Dammarie-les-Lys",9735
"77153","Dammartin-en-Goele",4403
"77154","Dammartin-sur-Tigeaux",505
"77155","Dampmart",1532
"77156","Darvault",383
"77157","Dhuisy",109
"77158","Diant",118
"77159","Donnemarie-Dontilly",1181
"77161","Dormelles",404
"77162","Doue",516
"77163","Douy-la-Ramee",147
"77164","Echouboulains",247
"77165","Les Ecrennes",377
"77166","Ecuelles",1176
"77167","Egligny",148
"77168","Egreville",1010
"77169","Emerainville",4189
"77170","Episy",301
"77171","Esbly",3183
"77172","Esmans",443
"77173","Etrepilly",476
"77174","Everly",284
"77175","Evry-Gregy-sur-Yerre",1256
"77176","Faremoutiers",1304
"77177","Favieres",572
"77178","Fay-les-Nemours",229
"77179","Fericy",295
"77180","Ferolles-Attilly",600
"77181","Ferrieres-en-Brie",1208
"77182","La Ferte-Gaucher",1804
"77183","La Ferte-sous-Jouarre",4434
"77184","Flagy",308
"77185","Fleury-en-Biere",312
"77186","Fontainebleau",6413
"77187","Fontaine-Fourches",284
"77188","Fontaine-le-Port",460
"77190","Fontains",109
"77191","Fontenailles",540
"77192","Fontenay-Tresigny",2625
"77193","Forfry",148
"77194","Forges",220
"77195","Fouju",303
"77196","Fresnes-sur-Marne",384
"77197","Fretoy",72
"77198","Fromont",96
"77199","Fublaines",622
"77200","Garentreville",63
"77201","Gastins",431
"77202","La Genevraye",328
"77203","Germigny-l'Eveque",652
"77204","Germigny-sous-Coulombs",98
"77205","Gesvres-le-Chapitre",83
"77206","Giremoutiers",56
"77207","Gironville",63
"77208","Gouaix",673
"77209","Gouvernes",562
"77210","La Grande-Paroisse",1247
"77211","Grandpuits-Bailly-Carrois",524
"77212","Gravon",62
"77214","Gressy",455
"77215","Gretz-Armainvilliers",3987
"77216","Grez-sur-Loing",680
"77217","Grisy-Suisnes",1290
"77218","Grisy-sur-Seine",42
"77219","Guerard",1165
"77220","Guercheville",164
"77221","Guermantes",707
"77222","Guignes",1759
"77223","Gurcy-le-Chatel",236
"77224","Hautefeuille",168
"77225","La Haute-Maison",206
"77226","Hericy",1191
"77227","Herme",284
"77228","Hondevilliers",128
"77229","La Houssaye-en-Brie",872
"77230","Ichy",98
"77231","Isles-les-Meldeuses",397
"77232","Isles-les-Villenoy",480
"77233","Iverny",328
"77234","Jablines",355
"77235","Jaignes",155
"77236","Jaulnes",177
"77237","Jossigny",352
"77238","Jouarre",1954
"77239","Jouy-le-Chatel",769
"77240","Jouy-sur-Morin",1022
"77241","Juilly",1040
"77242","Jutigny",255
"77243","Lagny-sur-Marne",10575
"77244","Larchant",368
"77245","Laval-en-Brie",208
"77246","Lechelle",258
"77247","Lescherolles",240
"77248","Lesches",347
"77249","Lesigny",3595
"77250","Leudon-en-Brie",76
"77251","Lieusaint",5767
"77252","Limoges-Fourches",256
"77253","Lissy",112
"77254","Liverdy-en-Brie",660
"77255","Livry-sur-Seine",832
"77256","Lizines",86
"77257","Lizy-sur-Ourcq",1676
"77258","Lognes",8185
"77259","Longperrier",1406
"77260","Longueville",742
"77261","Lorrez-le-Bocage-Preaux",542
"77262","Louan-Villegruis-Fontaine",231
"77263","Luisetaines",107
"77264","Lumigny-Nesles-Ormeaux",808
"77265","Luzancy",556
"77266","Machault",442
"77267","La Madeleine-sur-Loing",148
"77268","Magny-le-Hongre",3888
"77269","Maincy",839
"77270","Maisoncelles-en-Brie",378
"77271","Maisoncelles-en-Gatinais",59
"77272","Maison-Rouge",461
"77273","Marchemoret",296
"77274","Marcilly",218
"77275","Les Marets",48
"77276","Mareuil-les-Meaux",1120
"77277","Marles-en-Brie",708
"77278","Marolles-en-Brie",206
"77279","Marolles-sur-Seine",733
"77280","Mary-sur-Marne",581
"77281","Mauperthuis",304
"77282","Mauregard",199
"77283","May-en-Multien",460
"77284","Meaux",25106
"77285","Le Mee-sur-Seine",9836
"77286","Meigneux",120
"77287","Meilleray",224
"77288","Melun",20117
"77289","Melz-sur-Seine",193
"77290","Mery-sur-Marne",346
"77291","Le Mesnil-Amelot",444
"77292","Messy",579
"77293","Misy-sur-Yonne",400
"77294","Mitry-Mory",9402
"77295","Moisenay",612
"77296","Moissy-Cramayel",9026
"77297","Mondreville",248
"77298","Mons-en-Montois",220
"77299","Montarlot",112
"77300","Montceaux-les-Meaux",300
"77301","Montceaux-les-Provins",167
"77302","Montcourt-Fromonville",995
"77303","Montdauphin",101
"77304","Montenils",18
"77305","Montereau-Fault-Yonne",6601
"77306","Montereau-sur-le-Jard",319
"77307","Montevrain",5535
"77308","Montge-en-Goele",346
"77309","Monthyon",888
"77310","Montigny-le-Guesdier",155
"77311","Montigny-Lencoup",548
"77312","Montigny-sur-Loing",1375
"77313","Montmachoux",120
"77314","Montolivet",140
"77315","Montry",1649
"77316","Moret-sur-Loing",1983
"77317","Mormant",2167
"77318","Mortcerf",746
"77319","Mortery",77
"77320","Mouroux",2397
