"ID","NAMES","total_AsTheCrowFlies_ACC_0.05"
"75101","Paris 1er Arrondissement",2615.01589801918
"75102","Paris 2e  Arrondissement",2447.14607211486
"75103","Paris 3e  Arrondissement",2245.96405727706
"75104","Paris 4e  Arrondissement",2508.4028067252
"75105","Paris 5e  Arrondissement",2600.93243021087
"75106","Paris 6e  Arrondissement",2647.83062710593
"75107","Paris 7e  Arrondissement",2756.06249818107
"75108","Paris 8e  Arrondissement",2737.75896446973
"75109","Paris 9e  Arrondissement",2349.59953547618
"75110","Paris 10e  Arrondissement",1938.11642719755
"75111","Paris 11e  Arrondissement",2190.34253762472
"75112","Paris 12e  Arrondissement",3094.10641235604
"75113","Paris 13e  Arrondissement",2823.19503837542
"75114","Paris 14e  Arrondissement",2668.82384282917
"75115","Paris 15e  Arrondissement",2752.70758230661
"75116","Paris 16e  Arrondissement",3169.62924242897
"75117","Paris 17e  Arrondissement",2692.16291705761
"75118","Paris 18e  Arrondissement",2526.98954705402
"75119","Paris 19e  Arrondissement",2466.47416327704
"75120","Paris 20e  Arrondissement",2473.18841380204
"77001","Acheres-la-Foret",27860.0728208183
"77002","Amillis",30373.4685090871
"77003","Amponville",32031.4469738642
"77004","Andrezel",20260.3714580243
"77005","Annet-sur-Marne",11813.6508150429
"77006","Arbonne-la-Foret",23551.6636867976
"77007","Argentieres",21495.1606224767
"77008","Armentieres-en-Brie",25929.3542775999
"77009","Arville",40033.2158996228
"77010","Aubepierre-Ozouer-le-Repos",23455.0179022766
"77011","Aufferville",38561.6836881465
"77012","Augers-en-Brie",41057.3711140991
"77013","Aulnoy",27634.1386596102
"77014","Avon",26422.3075923108
"77015","Baby",48471.2591427388
"77016","Bagneaux-sur-Loing",38531.9861999393
"77018","Bailly-Romainvilliers",15538.6024678289
"77019","Balloy",40648.3675937516
"77020","Bannost-Villegagnon",33700.0104154604
"77021","Barbey",38446.0492198725
"77022","Barbizon",21645.3610759732
"77023","Barcy",21305.9316015735
"77024","Bassevelle",37215.2732328154
"77025","Bazoches-les-Bray",42173.8683238847
"77026","Beauchery-Saint-Martin",45373.2389397187
"77027","Beaumont-du-Gatinais",42709.9457845298
"77028","Beautheil",28320.4590221762
"77029","Beauvoir",21485.1618212578
"77030","Bellot",38541.0259261168
"77031","Bernay-Vilbert",23114.4858273803
"77032","Beton-Bazoches",35646.413083362
"77033","Bezalles",35989.1578907846
"77034","Blandy",21488.5331455532
"77035","Blennes",43932.6297293618
"77036","Boisdon",35267.406512695
"77037","Bois-le-Roi",22292.5023076663
"77038","Boissettes",17816.4989896293
"77039","Boissise-la-Bertrand",16670.7524699072
"77040","Boissise-le-Roi",17516.0143938563
"77041","Boissy-aux-Cailles",30121.5388309493
"77042","Boissy-le-Chatel",29840.5977744933
"77043","Boitron",35930.5968052669
"77044","Bombon",23694.814583723
"77045","Bougligny",39757.0141360211
"77046","Boulancourt",33703.1854180538
"77047","Bouleurs",19417.2289755967
"77048","Bourron-Marlotte",30670.0775874464
"77049","Boutigny",20673.1764368753
"77050","Bransles",45745.4797314177
"77051","Bray-sur-Seine",43455.5110711354
"77052","Breau",24475.9300905365
"77053","Brie-Comte-Robert",11619.6299943217
"77054","La Brosse-Montceaux",38967.8526483977
"77055","Brou-sur-Chantereine",8549.67823223183
"77056","Burcy",35974.6530059493
"77057","Bussieres",35184.7448420384
"77058","Bussy-Saint-Georges",11695.088874265
"77059","Bussy-Saint-Martin",9850.83297501648
"77060","Buthiers",31854.7173374982
"77061","Cannes-Ecluse",36574.3797366873
"77062","Carnetin",11049.879014334
"77063","La Celle-sur-Morin",22626.0547754049
"77065","Cely",20047.7281482028
"77066","Cerneux",40285.4116901837
"77067","Cesson",15338.1916825003
"77068","Cessoy-en-Montois",35808.2066797305
"77069","Chailly-en-Biere",20597.5585759815
"77070","Chailly-en-Brie",29802.5766017557
"77071","Chaintreaux",42670.7870638229
"77072","Chalautre-la-Grande",47713.9188337691
"77073","Chalautre-la-Petite",42589.8808878044
"77075","Chalifert",13793.6240242769
"77076","Chalmaison",41187.9213034672
"77077","Chambry",21326.897294952
"77078","Chamigny",31768.5514812412
"77079","Champagne-sur-Seine",28565.6332516609
"77080","Champcenest",37624.0336225222
"77081","Champdeuil",17460.9054085443
"77082","Champeaux",21016.5404484076
"77083","Champs-sur-Marne",6821.63553987301
"77084","Changis-sur-Marne",25994.4997916954
"77085","Chanteloup-en-Brie",12366.9037648165
"77086","La Chapelle-Gauthier",24851.0707241572
"77087","La Chapelle-Iger",25992.7703445799
"77088","La Chapelle-la-Reine",30221.8036729745
