"ID","NAMES","total_AsTheCrowFlies_POT_7500"
"75101","Paris 1er Arrondissement",1730950.86064553
"75102","Paris 2e  Arrondissement",1725512.81283072
"75103","Paris 3e  Arrondissement",1712875.11432771
"75104","Paris 4e  Arrondissement",1711186.37115847
"75105","Paris 5e  Arrondissement",1683338.00605048
"75106","Paris 6e  Arrondissement",1698278.94224351
"75107","Paris 7e  Arrondissement",1668521.90645668
"75108","Paris 8e  Arrondissement",1664079.78291267
"75109","Paris 9e  Arrondissement",1694270.91195834
"75110","Paris 10e  Arrondissement",1672874.85910415
"75111","Paris 11e  Arrondissement",1653235.32831198
"75112","Paris 12e  Arrondissement",1350800.46417831
"75113","Paris 13e  Arrondissement",1548372.70778211
"75114","Paris 14e  Arrondissement",1536225.59356946
"75115","Paris 15e  Arrondissement",1490993.61361875
"75116","Paris 16e  Arrondissement",1355577.56226002
"75117","Paris 17e  Arrondissement",1568500.219055
"75118","Paris 18e  Arrondissement",1579477.213101
"75119","Paris 19e  Arrondissement",1527745.1100197
"75120","Paris 20e  Arrondissement",1542500.64723233
"77001","Acheres-la-Foret",7038.86541075
"77002","Amillis",7665.21033451
"77003","Amponville",4756.47329561
"77004","Andrezel",13693.27952197
"77005","Annet-sur-Marne",82273.35965655
"77006","Arbonne-la-Foret",10136.52796897
"77007","Argentieres",13991.49845264
"77008","Armentieres-en-Brie",22163.16847599
"77009","Arville",2093.91608269
"77010","Aubepierre-Ozouer-le-Repos",11663.35764612
"77011","Aufferville",5138.63988759
"77012","Augers-en-Brie",2232.65260993
"77013","Aulnoy",16764.82088563
"77014","Avon",28906.14697721
"77015","Baby",1910.26076702
"77016","Bagneaux-sur-Loing",13188.95669075
"77018","Bailly-Romainvilliers",55163.0771635
"77019","Balloy",4222.06312933
"77020","Bannost-Villegagnon",3684.74942263
"77021","Barbey",9437.98902037
"77022","Barbizon",22880.39205435
"77023","Barcy",29712.8305029
"77024","Bassevelle",5074.69355185
"77025","Bazoches-les-Bray",3996.02605845
"77026","Beauchery-Saint-Martin",2671.79532675
"77027","Beaumont-du-Gatinais",814.39354484
"77028","Beautheil",13315.51731985
"77029","Beauvoir",13882.6905423
"77030","Bellot",5998.75303256
"77031","Bernay-Vilbert",10821.07172898
"77032","Beton-Bazoches",3772.20828463
"77033","Bezalles",3372.06068382
"77034","Blandy",16929.26940821
"77035","Blennes",2141.37281162
"77036","Boisdon",3428.16808577
"77037","Bois-le-Roi",41361.81451887
"77038","Boissettes",73610.73048824
"77039","Boissise-la-Bertrand",79028.38762031
"77040","Boissise-le-Roi",60217.89964469
"77041","Boissy-aux-Cailles",4832.95560784
"77042","Boissy-le-Chatel",15844.26638271
"77043","Boitron",6630.98586427
"77044","Bombon",9982.47520213
"77045","Bougligny",9523.46560515
"77046","Boulancourt",1815.69875454
"77047","Bouleurs",38265.73690032
"77048","Bourron-Marlotte",16893.28142888
"77049","Boutigny",43821.78982869
"77050","Bransles",3329.18973223
"77051","Bray-sur-Seine",4493.32870013
"77052","Breau",9451.17510826
"77053","Brie-Comte-Robert",81822.32958364
"77054","La Brosse-Montceaux",9329.87730707
"77055","Brou-sur-Chantereine",215949.80121133
"77056","Burcy",2596.32000298
"77057","Bussieres",8062.61340098
"77058","Bussy-Saint-Georges",111040.3557815
"77059","Bussy-Saint-Martin",167249.33419229
"77060","Buthiers",2727.97633458
