"ID", "VAR", "MODE", "SPAN","VALUE"
"77466","population","AsTheCrowFlies",0,375
"77466","population","AsTheCrowFlies",2500,2841.52896025
"77466","population","AsTheCrowFlies",5000,15942.11763908
"77466","population","AsTheCrowFlies",7500,44498.13466417
"77466","population","AsTheCrowFlies",10000,96521.77981727
"77466","population","AsTheCrowFlies",12500,175748.87723993
"77466","population","AsTheCrowFlies",15000,283264.56597417
"77466","population","AsTheCrowFlies",17500,436732.77206292
"77466","population","AsTheCrowFlies",20000,663819.40852168
"77466","population","AsTheCrowFlies",22500,991163.29867592
"77466","population","AsTheCrowFlies",25000,1431403.71528545
"77466","population","AsTheCrowFlies",27500,1975386.26303009
"77466","population","AsTheCrowFlies",30000,2596315.13449393
"77466","population","AsTheCrowFlies",32500,3260468.27830811
"77466","population","AsTheCrowFlies",35000,3936419.77430426
"77466","population","AsTheCrowFlies",37500,4599635.35744743
"77466","population","AsTheCrowFlies",40000,5233311.22294202
"77466","population","AsTheCrowFlies",42500,5827319.09643919
"77466","population","AsTheCrowFlies",45000,6376593.05833476
"77466","population","AsTheCrowFlies",47500,6879599.83714017
"77466","population","AsTheCrowFlies",50000,7337107.9352816
"77466","agriculteurs","AsTheCrowFlies",0,4
"77466","agriculteurs","AsTheCrowFlies",2500,8.22937268
"77466","agriculteurs","AsTheCrowFlies",5000,38.42631881
"77466","agriculteurs","AsTheCrowFlies",7500,98.02478025
"77466","agriculteurs","AsTheCrowFlies",10000,183.0680906
"77466","agriculteurs","AsTheCrowFlies",12500,286.32531264
"77466","agriculteurs","AsTheCrowFlies",15000,405.52380565
"77466","agriculteurs","AsTheCrowFlies",17500,544.71776234
"77466","agriculteurs","AsTheCrowFlies",20000,707.3779099
"77466","agriculteurs","AsTheCrowFlies",22500,896.91295235
"77466","agriculteurs","AsTheCrowFlies",25000,1117.7879257
"77466","agriculteurs","AsTheCrowFlies",27500,1371.99975558
"77466","agriculteurs","AsTheCrowFlies",30000,1656.0592476
"77466","agriculteurs","AsTheCrowFlies",32500,1962.05463159
"77466","agriculteurs","AsTheCrowFlies",35000,2280.62478065
"77466","agriculteurs","AsTheCrowFlies",37500,2603.25201149
"77466","agriculteurs","AsTheCrowFlies",40000,2923.23044884
"77466","agriculteurs","AsTheCrowFlies",42500,3235.72791939
"77466","agriculteurs","AsTheCrowFlies",45000,3537.46038901
"77466","agriculteurs","AsTheCrowFlies",47500,3826.29476929
"77466","agriculteurs","AsTheCrowFlies",50000,4100.91267276
"77466","artisans","AsTheCrowFlies",0,20
"77466","artisans","AsTheCrowFlies",2500,128.85266169
"77466","artisans","AsTheCrowFlies",5000,574.98560645
"77466","artisans","AsTheCrowFlies",7500,1444.99991255
"77466","artisans","AsTheCrowFlies",10000,2803.28629773
"77466","artisans","AsTheCrowFlies",12500,4699.42649798
"77466","artisans","AsTheCrowFlies",15000,7249.85835528
"77466","artisans","AsTheCrowFlies",17500,10901.07372848
"77466","artisans","AsTheCrowFlies",20000,16231.6546689
"77466","artisans","AsTheCrowFlies",22500,23780.41421144
"77466","artisans","AsTheCrowFlies",25000,33829.06103437
"77466","artisans","AsTheCrowFlies",27500,46208.41275956
"77466","artisans","AsTheCrowFlies",30000,60344.50718422
"77466","artisans","AsTheCrowFlies",32500,75482.0207866
"77466","artisans","AsTheCrowFlies",35000,90899.3629115
"77466","artisans","AsTheCrowFlies",37500,106025.2266359
"77466","artisans","AsTheCrowFlies",40000,120466.26068132
"77466","artisans","AsTheCrowFlies",42500,133986.35046359
"77466","artisans","AsTheCrowFlies",45000,146469.58467336
"77466","artisans","AsTheCrowFlies",47500,157883.69525361
"77466","artisans","AsTheCrowFlies",50000,168250.2677647
"77466","cadres","AsTheCrowFlies",0,28
"77466","cadres","AsTheCrowFlies",2500,253.87675299
"77466","cadres","AsTheCrowFlies",5000,1633.93808849
"77466","cadres","AsTheCrowFlies",7500,4668.85766861
"77466","cadres","AsTheCrowFlies",10000,9733.56285732
"77466","cadres","AsTheCrowFlies",12500,16737.36696626
"77466","cadres","AsTheCrowFlies",15000,25906.39814236
"77466","cadres","AsTheCrowFlies",17500,39232.28532817
"77466","cadres","AsTheCrowFlies",20000,60411.34770627
"77466","cadres","AsTheCrowFlies",22500,94285.15666256
"77466","cadres","AsTheCrowFlies",25000,144682.00558363
"77466","cadres","AsTheCrowFlies",27500,212095.65945204
"77466","cadres","AsTheCrowFlies",30000,293513.11045276
"77466","cadres","AsTheCrowFlies",32500,384018.7755604
"77466","cadres","AsTheCrowFlies",35000,478536.2267681
"77466","cadres","AsTheCrowFlies",37500,572848.91849875
"77466","cadres","AsTheCrowFlies",40000,663920.16063658
"77466","cadres","AsTheCrowFlies",42500,749815.18306214
"77466","cadres","AsTheCrowFlies",45000,829473.45510821
"77466","cadres","AsTheCrowFlies",47500,902464.25356865
"77466","cadres","AsTheCrowFlies",50000,968778.74811141
"77466","intermediaires","AsTheCrowFlies",0,63
"77466","intermediaires","AsTheCrowFlies",2500,462.14016839
"77466","intermediaires","AsTheCrowFlies",5000,2601.26589499
"77466","intermediaires","AsTheCrowFlies",7500,7212.43393066
"77466","intermediaires","AsTheCrowFlies",10000,15258.1912336
"77466","intermediaires","AsTheCrowFlies",12500,26999.32339024
"77466","intermediaires","AsTheCrowFlies",15000,42604.47191005
"77466","intermediaires","AsTheCrowFlies",17500,64287.26159375
"77466","intermediaires","AsTheCrowFlies",20000,95427.77907256
"77466","intermediaires","AsTheCrowFlies",22500,139240.89945996
"77466","intermediaires","AsTheCrowFlies",25000,197187.0346841
