ID;NAMES
78233;Feucherolles
91223;Etampes
95445;Nerville-la-Foret
95142;Chars
95127;Cergy
95074;Boisemont
77275;Les Marets
95270;Genainville
95011;Ambleville
77500;Villebeon
77108;Chelles
92022;Chaville
91654;Videlles
95181;Courcelles-sur-Viosne
78048;Bazainville
77298;Mons-en-Montois
91378;Mauchamps
91079;Boissy-la-Riviere
91525;Roinville
77231;Isles-les-Meldeuses
77248;Lesches
91376;Marolles-en-Hurepoix
78623;Le Tremblay-sur-Mauldre
92020;Chatillon
77089;La Chapelle-Rablais
91243;Fontenay-les-Briis
77322;Moussy-le-Neuf
91408;Moigny-sur-Ecole
77110;Chenou
77316;Moret-sur-Loing
91035;Authon-la-Plaine
78608;Le Tertre-Saint-Denis
78349;Longvilliers
77256;Lizines
95002;Ableiges
77414;Saint-Hilliers
78113;Brueil-en-Vexin
78206;Ecquevilly
75102;Paris 2e  Arrondissement
95387;Menouville
95535;Sagy
77008;Armentieres-en-Brie
77114;Chevry-Cossigny
78401;Meulan-en-Yvelines
91685;Villiers-sur-Orge
77335;Chauconin-Neufmontiers
78320;Jeufosse
77050;Bransles
77228;Hondevilliers
77060;Buthiers
91106;Breux-Jouy
78217;Epone
94052;Nogent-sur-Marne
78565;Saint-Martin-des-Champs
78138;Chanteloup-les-Vignes
77270;Maisoncelles-en-Brie
78343;Les Loges-en-Josas
78588;Saulx-Marchais
95491;Le Plessis-Bouchard
77371;Pommeuse
95529;Ronquerolles
78466;Orgeval
78261;Gaillon-sur-Montcient
77051;Bray-sur-Seine
77478;Ussy-sur-Marne
95197;Deuil-la-Barre
91494;Le Plessis-Pate
77240;Jouy-sur-Morin
78224;L'Etang-la-Ville
78391;Mericourt
77374;Pontcarre
77191;Fontenailles
78164;Clairefontaine-en-Yvelines
77278;Marolles-en-Brie
77424;Saint-Martin-du-Boschet
94043;Le Kremlin-Bicetre
77292;Messy
77337;Noisiel
78444;Neauphlette
77416;Saint-Just-en-Brie
78499;Ponthevrard
77115;Chevry-en-Sereine
77111;Chessy
77126;Congis-sur-Therouanne
95203;Eaubonne
78674;Villepreux
78031;Auffreville-Brasseuil
92025;Colombes
95219;Ermont
78234;Flacourt
91412;Mondeville
77199;Fublaines
77344;Oissery
94034;Fresnes
78564;Saint-Martin-de-Brethencourt
77382;Quincy-Voisins
77429;Saint-Ouen-sur-Morin
77119;Clos-Fontaine
77388;Reuil-en-Brie
77135;Courpalay
93007;Le Blanc-Mesnil
95680;Villiers-le-Bel
77479;Vaires-sur-Marne
95024;Arthies
93049;Neuilly-Plaisance
78605;Tacoignieres
93078;Villepinte
78571;Saint-Nom-la-Breteche
78561;Saint-Lambert
77404;Sainte-Colombe
94059;Le Plessis-Trevise
91075;Bois-Herpin
77282;Mauregard
77509;Villeneuve-les-Bordes
93046;Livry-Gargan
77415;Saint-Jean-les-Deux-Jumeaux
91226;Etrechy
77169;Emerainville
77237;Jossigny
77413;Saint-Germain-sur-Morin
77013;Aulnoy
78524;Rocquencourt
95308;Herouville
94002;Alfortville
77014;Avon
95059;Berville
77366;Le Plessis-l'Eveque
91363;Marcoussis
77062;Carnetin
95331;Lassy
95052;Beaumont-sur-Oise
77390;Roissy-en-Brie
77043;Boitron
78297;Guyancourt
77033;Bezalles
77073;Chalautre-la-Petite
77202;La Genevraye
94047;Mandres-les-Roses
77481;Vanville
78616;Thoiry
77215;Gretz-Armainvilliers
78291;Guerville
77103;Chatillon-la-Borde
91114;Brunoy
95392;Meriel
78231;Favrieux
94048;Marolles-en-Brie
77022;Barbizon
77453;Sivry-Courtry
91547;Saint-Escobille
77446;Savins
93063;Romainville
77517;Villevaude
77321;Mousseaux-les-Bray
77437;Saint-Soupplets
77474;Trilbardou
78586;Sartrouville
77128;Couilly-Pont-aux-Dames
77290;Mery-sur-Marne
78276;Gommecourt
94011;Bonneuil-sur-Marne
77144;Crevecoeur-en-Brie
77086;La Chapelle-Gauthier
77431;Saint-Pierre-les-Nemours
77195;Fouju
77019;Balloy
77295;Moisenay
91174;Corbeil-Essonnes
77151;Dagny
77254;Liverdy-en-Brie
77311;Montigny-Lencoup
78618;Tilly
91338;Limours
78516;Raizeux
78372;Marly-le-Roi
78417;Montchauvet
94054;Orly
91687;Viry-Chatillon
93051;Noisy-le-Grand
93070;Saint-Ouen
95301;Haute-Isle
77097;Chartronges
77091;Les Chapelles-Bourbon
77328;Nanteau-sur-Essonne
91521;Ris-Orangis
78531;Rosny-sur-Seine
93064;Rosny-sous-Bois
91319;Janvry
78575;Saint-Remy-les-Chevreuse
77303;Montdauphin
95424;Montigny-les-Cormeilles
94069;Saint-Maurice
78416;Montalet-le-Bois
78321;Jouars-Pontchartrain
78381;Maulette
92036;Gennevilliers
78620;Toussus-le-Noble
77165;Les Ecrennes
78621;Trappes
95625;Us
95282;Gouzangrez
94056;Perigny
95046;Banthelu
78650;Le Vesinet
91225;Etiolles
91044;Ballainvilliers
95026;Asnieres-sur-Oise
91639;Vayres-sur-Essonne
91589;Savigny-sur-Orge
77246;Lechelle
91129;Cerny
94028;Creteil
77192;Fontenay-Tresigny
77333;Nemours
91399;Mespuits
77349;Othis
91136;Champlan
91578;Saint-Sulpice-de-Favieres
91469;Ormoy-la-Riviere
91145;Chatignonville
94041;Ivry-sur-Seine
94073;Thiais
93050;Neuilly-sur-Marne
94015;Bry-sur-Marne
95450;Neuville-sur-Oise
77477;Ury
93072;Stains
77220;Guercheville
91405;Milly-la-Foret
95259;Gadancourt
95611;Theuville
77417;Saint-Leger
94042;Joinville-le-Pont
77505;Villemareuil
78194;Dannemarie
77020;Bannost-Villegagnon
77294;Mitry-Mory
77107;Chaumes-en-Brie
92062;Puteaux
91645;Verrieres-le-Buisson
77159;Donnemarie-Dontilly
75119;Paris 19e  Arrondissement
75120;Paris 20e  Arrondissement
77354;Pamfou
75114;Paris 14e  Arrondissement
75118;Paris 18e  Arrondissement
75106;Paris 6e  Arrondissement
77015;Baby
75103;Paris 3e  Arrondissement
77161;Dormelles
77134;Courchamp
75107;Paris 7e  Arrondissement
75110;Paris 10e  Arrondissement
75115;Paris 15e  Arrondissement
77034;Blandy
75116;Paris 16e  Arrondissement
78356;Magny-les-Hameaux
78327;Juziers
75113;Paris 13e  Arrondissement
95627;Vallangoujard
78439;Mulcent
78189;Crespieres
78208;Elancourt
78193;Dampierre-en-Yvelines
94053;Noiseau
91148;Chauffour-les-Etrechy
77519;Villiers-Saint-Georges
93062;Le Raincy
77234;Jablines
78230;La Falaise
77438;Saint-Thibault-des-Vignes
77372;Pomponne
77173;Etrepilly
77216;Grez-sur-Loing
77035;Blennes
91137;Champmotteux
77425;Saint-Martin-en-Biere
77289;Melz-sur-Seine
77473;Treuzy-Levelay
77439;Salins
77175;Evry-Gregy-sur-Yerre
77523;Villuis
93074;Vaujours
77185;Fleury-en-Biere
77448;Sept-Sorts
77489;Vaux-sur-Lunain
77370;Poligny
77037;Bois-le-Roi
95116;Bruyeres-sur-Oise
77520;Villiers-sous-Grez
78686;Viroflay
92051;Neuilly-sur-Seine
77506;Villemer
77198;Fromont
95370;Marines
78251;Fourqueux
77279;Marolles-sur-Seine
92007;Bagneux
78440;Les Mureaux
95309;Hodent
78677;Villette
77041;Boissy-aux-Cailles
78501;Porcheville
91534;Saclay
77242;Jutigny
78361;Mantes-la-Jolie
78437;Mousseaux-sur-Seine
95058;Bernes-sur-Oise
78518;Rennemoulin
78245;Fontenay-Mauvoisin
77300;Montceaux-les-Meaux
78642;Verneuil-sur-Seine
77302;Montcourt-Fromonville
95256;Frepillon
92009;Bois-Colombes
95295;Guiry-en-Vexin
77152;Dammarie-les-Lys
91103;Bretigny-sur-Orge
77138;Courtomer
94021;Chevilly-Larue
77179;Fericy
77184;Flagy
77391;Rouilly
77193;Forfry
78146;Chatou
77492;Verdelot
95018;Argenteuil
78005;Acheres
93073;Tremblay-en-France
92023;Clamart
78029;Aubergenville
77314;Montolivet
91458;Nozay
95304;Hedouville
91390;Mereville
77258;Lognes
91016;Angerville
91533;Saclas
77420;Saint-Mard
92076;Vaucresson
95351;Louvres
78672;Villennes-sur-Seine
95199;Domont
78007;Aigremont
77528;Voisenon
78681;Villiers-le-Mahieu
77515;Villeroy
91667;Villemoisson-sur-Orge
93010;Bondy
77219;Guerard
78559;Saint-Illiers-le-Bois
91482;Pecqueuse
95612;Le Thillay
77212;Gravon
77029;Beauvoir
77026;Beauchery-Saint-Martin
77412;Saint-Germain-sur-Ecole
91593;Sermaise
77121;Collegien
77315;Montry
77042;Boissy-le-Chatel
77385;Rebais
91665;La Ville-du-Bois
75117;Paris 17e  Arrondissement
78389;Mere
95280;Goussainville
77380;Puisieux
77456;Soisy-Bouy
94017;Champigny-sur-Marne
77075;Chalifert
77301;Montceaux-les-Provins
95277;Gonesse
91374;Marolles-en-Beauce
91122;Bures-sur-Yvette
78486;Le Perray-en-Yvelines
91274;Gometz-la-Ville
95271;Genicourt
91393;Merobert
93032;Gagny
78334;Levis-Saint-Nom
93053;Noisy-le-Sec
91602;Souzy-la-Briche
95205;Ecouen
95250;Fosses
77330;Nanteuil-les-Meaux
77233;Iverny
77510;Villeneuve-Saint-Denis
77259;Longperrier
91549;Sainte-Genevieve-des-Bois
78262;Galluis
95169;Commeny
77274;Marcilly
95658;Vigny
91339;Linas
77277;Marles-en-Brie
91599;Soisy-sur-Ecole
78263;Gambais
77040;Boissise-le-Roi
77269;Maincy
78442;Neauphle-le-Chateau
78537;Saint-Arnoult-en-Yvelines
77386;Recloses
77396;Rupereux
77516;Ville-Saint-Jacques
95012;Amenucourt
78160;Chevreuse
95527;Roissy-en-France
77149;Cucharmoy
91666;Villejust
91441;Nainville-les-Roches
91085;Boissy-sous-Saint-Yon
77170;Episy
95154;Chennevieres-les-Louvres
77454;Sognolles-en-Montois
95078;Boissy-l'Aillerie
77137;Courtacon
91556;Saint-Hilaire
91573;Saint-Pierre-du-Perray
78420;Montfort-l'Amaury
78382;Maurecourt
95157;Cherence
77418;Saint-Loup-de-Naud
78472;Orsonville
91216;Epinay-sur-Orge
95023;Arronville
77357;Pecy
95303;Le Heaulme
91195;Dannemois
78470;Orphin
78413;Mondreville
77098;Chateaubleau
77378;Pringy
77044;Bombon
77061;Cannes-Ecluse
77067;Cesson
77096;Chartrettes
91468;Ormoy
77312;Montigny-sur-Loing
91294;Guillerval
77450;Servon
77069;Chailly-en-Biere
78551;Saint-Germain-en-Laye
77323;Moussy-le-Vieux
78246;Fontenay-Saint-Pere
77285;Le Mee-sur-Seine
91432;Morangis
77441;Samois-sur-Seine
77009;Arville
77004;Andrezel
78265;Garancieres
78123;Carrieres-sous-Poissy
77287;Meilleray
78310;Houdan
77162;Doue
77419;Saint-Mammes
78364;Marcq
78236;Flexanville
78443;Neauphle-le-Vieux
77407;Saint-Fargeau-Ponthierry
77168;Egreville
95480;Parmain
78283;Grandchamp
77531;Voulx
77317;Mormant
78188;Cravent
95323;Jouy-le-Moutier
77005;Annet-sur-Marne
77373;Pontault-Combault
78550;Saint-Germain-de-la-Grange
78289;Grosrouvre
95554;Saint-Gervais
91105;Breuillet
77018;Bailly-Romainvilliers
78209;Emance
77513;Villenoy
95316;Jagny-sous-Bois
95446;Nesles-la-Vallee
77027;Beaumont-du-Gatinais
78407;Mittainville
78503;Port-Villez
77136;Courquetaine
95061;Bethemont-la-Foret
95504;Presles
77331;Nanteuil-sur-Marne
78162;Choisel
78653;Vicq
77401;Sainte-Aulde
95039;Auvers-sur-Oise
77496;Vieux-Champagne
75105;Paris 5e  Arrondissement
91359;Maisse
91041;Avrainville
93077;Villemomble
77308;Montge-en-Goele
77393;Rozay-en-Brie
91671;Villeneuve-sur-Auvers
77368;Poigny
91544;Saint-Cyr-la-Riviere
95101;Bray-et-Lu
78522;Rochefort-en-Yvelines
91330;Lardy
78688;Voisins-le-Bretonneux
77252;Limoges-Fourches
91130;Chalo-Saint-Mars
77059;Bussy-Saint-Martin
94033;Fontenay-sous-Bois
91292;Guibeville
95019;Arnouville
77207;Gironville
77243;Lagny-sur-Marne
77011;Aufferville
75109;Paris 9e  Arrondissement
77340;Nonville
77465;Thoury-Ferottes
91691;Yerres
78092;Bougival
77016;Bagneaux-sur-Loing
93013;Le Bourget
95459;Nucourt
92026;Courbevoie
95566;Saint-Martin-du-Tertre
78043;Bailly
91047;Baulne
78264;Gambaiseuil
78255;Freneuse
78010;Les Alluets-le-Roi
78647;Vert
92050;Nanterre
77176;Faremoutiers
92048;Meudon
78168;Coignieres
77426;Saint-Mery
78475;Osmoy
