"ID","NAMES","P09_POP1529_AsTheCrowFlies_ACC_0.5"
"97201","L AJOUPA-BOUILLON",23484.4445322033
"97202","LES ANSES-D ARLET",18961.6705787449
"97203","BASSE-POINTE",26114.2528726446
"97204","LE CARBET",19231.5869728643
"97205","CASE-PILOTE",14811.3915996835
"97206","LE DIAMANT",18479.4968105109
"97207","DUCOS",12492.219772282
"97208","FONDS-SAINT-DENIS",15724.4433708254
"97209","FORT-DE-FRANCE",11029.5323427456
"97210","LE FRANCOIS",15349.784634631
"97211","GRAND RIVIERE",30033.5339728743
"97212","GROS-MORNE",11910.43305116
"97213","LE LAMENTIN",10480.0201928112
"97214","LE LORRAIN",20314.4571456611
"97215","MACOUBA",28852.8422236926
"97216","LE MARIGOT",17795.459273886
"97217","LE MARIN",24755.4441630161
"97218","LE MORNE-ROUGE",19287.5137210463
"97219","LE PRECHEUR",29310.5563566785
"97220","RIVIERE-PILOTE",20202.3439550401
"97221","RIVIERE-SALEE",15623.7381200366
"97222","LE ROBERT",13692.1109926632
"97223","SAINT-ESPRIT",15558.9470605334
"97224","SAINT-JOSEPH",10259.0848144044
"97225","SAINT-PIERRE",23472.3138302226
"97226","SAINTE-ANNE",28659.5694960137
"97227","SAINTE-LUCE",19688.6077075858
"97228","SAINTE-MARIE",16754.8035345643
"97229","SCHOELCHER",12949.4508683554
"97230","LA TRINITE",16736.0607029146
"97231","LES TROIS-ILETS",15420.3545009903
"97232","LE VAUCLIN",21165.885249782
"97233","LE MORNE-VERT",16324.2339897388
"97234","BELLEFONTAINE",16769.133358376
