"ID","NAMES","P09_POP4559_AsTheCrowFlies_POT_5000"
"97201","L AJOUPA-BOUILLON",2608.64727429
"97202","LES ANSES-D ARLET",2264.16820625
"97203","BASSE-POINTE",1742.94320994
"97204","LE CARBET",1704.28750921
"97205","CASE-PILOTE",9892.55687774
"97206","LE DIAMANT",3049.14238478
"97207","DUCOS",8702.40424274
"97208","FONDS-SAINT-DENIS",1758.15090629
"97209","FORT-DE-FRANCE",24601.55118039
"97210","LE FRANCOIS",5691.42580566
"97211","GRAND RIVIERE",934.95669194
"97212","GROS-MORNE",6105.66938978
"97213","LE LAMENTIN",10287.66236605
"97214","LE LORRAIN",3299.70061517
"97215","MACOUBA",1276.12975655
"97216","LE MARIGOT",5092.8609812
"97217","LE MARIN",4289.09953468
"97218","LE MORNE-ROUGE",2420.87496027
"97219","LE PRECHEUR",796.69296132
"97220","RIVIERE-PILOTE",6251.20364075
"97221","RIVIERE-SALEE",6443.31974132
"97222","LE ROBERT",5878.18953439
"97223","SAINT-ESPRIT",7408.37943037
"97224","SAINT-JOSEPH",16511.99684283
"97225","SAINT-PIERRE",1670.02568031
"97226","SAINTE-ANNE",1943.13867841
"97227","SAINTE-LUCE",4849.95852957
"97228","SAINTE-MARIE",5404.48085184
"97229","SCHOELCHER",20953.62252633
"97230","LA TRINITE",3869.86771903
"97231","LES TROIS-ILETS",3114.82745745
"97232","LE VAUCLIN",3685.60739875
"97233","LE MORNE-VERT",2575.16206501
"97234","BELLEFONTAINE",3560.73288961
