"ID","NAMES","P09_POP75P_AsTheCrowFlies_ACC_0.02"
"97201","L AJOUPA-BOUILLON",3528.34711088055
"97202","LES ANSES-D ARLET",4604.02994510458
"97203","BASSE-POINTE",3772.53735205278
"97204","LE CARBET",4304.8820697825
"97205","CASE-PILOTE",2348.23879479874
"97206","LE DIAMANT",4393.68468924381
"97207","DUCOS",0
"97208","FONDS-SAINT-DENIS",4609.19957556256
"97209","FORT-DE-FRANCE",0
"97210","LE FRANCOIS",0
"97211","GRAND RIVIERE",5237.9033974214
"97212","GROS-MORNE",0
"97213","LE LAMENTIN",0
"97214","LE LORRAIN",0
"97215","MACOUBA",4483.22512566038
"97216","LE MARIGOT",2348.07051162967
"97217","LE MARIN",0
"97218","LE MORNE-ROUGE",3531.13353068973
"97219","LE PRECHEUR",5499.177369187
"97220","RIVIERE-PILOTE",0
"97221","RIVIERE-SALEE",0
"97222","LE ROBERT",0
"97223","SAINT-ESPRIT",0
"97224","SAINT-JOSEPH",0
"97225","SAINT-PIERRE",3511.72588270136
"97226","SAINTE-ANNE",4761.84628611001
"97227","SAINTE-LUCE",3216.43736214777
"97228","SAINTE-MARIE",0
"97229","SCHOELCHER",0
"97230","LA TRINITE",0
"97231","LES TROIS-ILETS",3987.37219988712
"97232","LE VAUCLIN",0
"97233","LE MORNE-VERT",3924.88414432012
"97234","BELLEFONTAINE",3736.46026878931
