"ID","NAMES","P09_POP75P_AsTheCrowFlies_POT_2000"
"97201","L AJOUPA-BOUILLON",190.44483375
"97202","LES ANSES-D ARLET",314.0154164
"97203","BASSE-POINTE",341.49776512
"97204","LE CARBET",330.87262535
"97205","CASE-PILOTE",330.20013536
"97206","LE DIAMANT",266.0870024
"97207","DUCOS",773.00095641
"97208","FONDS-SAINT-DENIS",89.18008081
"97209","FORT-DE-FRANCE",7190.93944099
"97210","LE FRANCOIS",1294.00038164
"97211","GRAND RIVIERE",142.97750315
"97212","GROS-MORNE",902.62112512
"97213","LE LAMENTIN",1954.00001546
"97214","LE LORRAIN",735.76658848
"97215","MACOUBA",155.85069233
"97216","LE MARIGOT",361.47995903
"97217","LE MARIN",664.01000336
"97218","LE MORNE-ROUGE",413.00845797
"97219","LE PRECHEUR",181.27776847
"97220","RIVIERE-PILOTE",918.00663483
"97221","RIVIERE-SALEE",615.01015495
"97222","LE ROBERT",1385
"97223","SAINT-ESPRIT",658.0017693
"97224","SAINT-JOSEPH",960.19740384
"97225","SAINT-PIERRE",494.00009086
"97226","SAINTE-ANNE",274.00221776
"97227","SAINTE-LUCE",454.01373562
"97228","SAINTE-MARIE",1400.14871332
"97229","SCHOELCHER",1717.63808184
"97230","LA TRINITE",886
"97231","LES TROIS-ILETS",356.07852056
"97232","LE VAUCLIN",679.00002754
"97233","LE MORNE-VERT",158.21695084
"97234","BELLEFONTAINE",133.89400534
