"ID","NAMES","P09_POP_AsTheCrowFlies_POT_2000"
"97201","L AJOUPA-BOUILLON",2078.88556965
"97202","LES ANSES-D ARLET",3832.3319545
"97203","BASSE-POINTE",3967.30357517
"97204","LE CARBET",3893.17561975
"97205","CASE-PILOTE",6109.34575202
"97206","LE DIAMANT",6110.87246848
"97207","DUCOS",16714.01398719
"97208","FONDS-SAINT-DENIS",950.6048305
"97209","FORT-DE-FRANCE",89254.38197588
"97210","LE FRANCOIS",19474.0053302
"97211","GRAND RIVIERE",788.74599354
"97212","GROS-MORNE",10696.8356864
"97213","LE LAMENTIN",39162.00033428
"97214","LE LORRAIN",7660.77087894
"97215","MACOUBA",1420.59307083
"97216","LE MARIGOT",3906.15190172
"97217","LE MARIN",8828.14904122
"97218","LE MORNE-ROUGE",5116.08930811
"97219","LE PRECHEUR",1674.43761086
"97220","RIVIERE-PILOTE",13468.08854137
"97221","RIVIERE-SALEE",12945.21658096
"97222","LE ROBERT",23533
"97223","SAINT-ESPRIT",9190.03331971
"97224","SAINT-JOSEPH",16744.52075768
"97225","SAINT-PIERRE",4453.00112552
"97226","SAINTE-ANNE",4703.02948552
"97227","SAINTE-LUCE",9684.28859112
"97228","SAINTE-MARIE",18783.1082039
"97229","SCHOELCHER",24875.9232934
"97230","LA TRINITE",13923
"97231","LES TROIS-ILETS",7665.65742851
"97232","LE VAUCLIN",9087.00040404
"97233","LE MORNE-VERT",2141.7946939
"97234","BELLEFONTAINE",1930.44292306
