ID;NAMES
97201;L AJOUPA-BOUILLON
97202;LES ANSES-D ARLET
97203;BASSE-POINTE
97204;LE CARBET
97205;CASE-PILOTE
97206;LE DIAMANT
97207;DUCOS
97208;FONDS-SAINT-DENIS
97209;FORT-DE-FRANCE
97210;LE FRANCOIS
97211;GRAND RIVIERE
97212;GROS-MORNE
97213;LE LAMENTIN
97214;LE LORRAIN
97215;MACOUBA
97216;LE MARIGOT
97217;LE MARIN
97218;LE MORNE-ROUGE
97219;LE PRECHEUR
97220;RIVIERE-PILOTE
97221;RIVIERE-SALEE
97222;LE ROBERT
97223;SAINT-ESPRIT
97224;SAINT-JOSEPH
97225;SAINT-PIERRE
97226;SAINTE-ANNE
97227;SAINTE-LUCE
97228;SAINTE-MARIE
97229;SCHOELCHER
97230;LA TRINITE
97231;LES TROIS-ILETS
97232;LE VAUCLIN
97233;LE MORNE-VERT
97234;BELLEFONTAINE
