"ID","NAMES","EMIG9404_AsTheCrowFlies_ACC_0.01"
"TS1110","Carthage ",1411.05621583478
"TS1111","La Medina ",0
"TS1112","Bab El Bhar ",0
"TS1113","Bab Souika ",0
"TS1114","El Omrane ",167.199207898274
"TS1115","El Omrane Supérieur ",52.2438475609748
"TS1116","Ettahrir ",291.271835980204
"TS1117","El Menzah ",16.6799202359894
"TS1118","Cité El Khadhra ",217.979010927556
"TS1119","Le Bardo ",0
"TS111A","Sijoumi ",176.545853392531
"TS111B","Ezzouhour ",50.3208057799149
"TS111C","El Hrairia ",362.193502222378
"TS111D","Sidi Hassine ",506.254086353403
"TS111E","El Ouardia ",47.6638859914934
"TS111F","El Kabaria ",307.726281599163
"TS111G","Sidi El Béchir ",269.771018581605
"TS111H","Djebel Djelloud ",346.965004700886
"TS111I","La Goulette ",807.320403561284
"TS111J","Le Kram ",528.699633581343
"TS111K","La Marsa ",876.932592829165
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",618.841919263396
"TS1122","Raoued ",1454.40890907151
"TS1123","Kalaât El Andalous ",10814.6352415982
"TS1124","Sidi Thabet ",3464.47222219429
"TS1125","Cité Ettadhamen ",157.869234383758
"TS1126","El Mnihla ",598.046457905329
"TS1130","Ben Arous  ",0
"TS1131","La Nouvelle Medina ",559.882476199184
"TS1132","El Mourouj ",136.818977870974
"TS1133","Hammam Lif ",1021.51377558398
"TS1134","Hammam Chôtt ",4001.09292130092
"TS1135","Bou Mhel El Bassatine ",1467.31447185158
"TS1136","Ezzahra ",572.54988473432
"TS1137","Radès ",412.870748722293
"TS1138","Megrine ",350.220864133246
"TS1139","Mohamedia ",7577.4769637967
"TS113A","Fouchana ",606.513301769313
"TS113B","Mornag ",10253.6144166884
"TS1140","Mannouba  ",0
"TS1141","Douar Hicher ",670.007482041719
"TS1142","Oued Ellil ",1901.41516241339
"TS1143","Mornaguia ",10547.9063997129
"TS1144","Borj Amri ",12109.3911513662
"TS1145","Djedeida ",10556.6686624005
"TS1146","Tebourba ",14136.2001559723
"TS1147","El Battane ",14029.1148464331
"TS1150","Nabeul  ",0
"TS1151","Dar Châabane El Fehri ",7574.87752122894
"TS1152","Beni khiar ",11528.8669648688
"TS1153","Korba ",15344.5023461406
"TS1154","Menzel Temime ",19229.4157485273
"TS1155","El Mida ",17731.0542577025
"TS1156","Kelibia ",23872.7750215488
"TS1157","Hammam El Guezaz ",30023.3800707364
"TS1158","El Haouaria ",25998.7016737934
"TS1159","Takelsa ",20097.5762561973
"TS115A","Soliman ",11772.7777242971
"TS115B","Menzel Bouzelfa ",14913.591558621
"TS115C","Beni Khalled ",13317.9122212911
"TS115D","Grombalia ",11417.647558636
"TS115E","Bou Argoub ",11967.5030444672
"TS115F","Hammamet ",14318.2065925843
"TS1160","Zaghouan  ",20014.3025118923
"TS1161","Ez-Zeriba ",21284.8558494566
"TS1162","Bir Mchergua ",16197.3286881079
"TS1163","El Fahs ",26680.0865761976
"TS1164","En-Nadhour ",24742.2366593962
"TS1165","Saouaf ",24152.2859710919
"TS1170","Bizerte Nord  ",0
"TS1171","Zarzouna ",7862.85047592536
"TS1172","Bizerte Sud ",15537.0265847765
"TS1173","Sedjnane ",25074.117513927
"TS1174","Djoumine ",16998.7947506237
"TS1175","Mateur ",15947.5715060128
"TS1176","Ghezala ",21374.5543709512
"TS1177","Menzel Bourguiba ",12759.065922816
"TS1178","Tinja ",13693.9316084688
"TS1179","Utique ",11997.622537181
"TS117A","Ghar El Meleh ",17800.8463238979
"TS117B","Menzel Djemil ",12798.6119617895
"TS117C","El Alia ",14105.9699033963
