"ID","NAMES","EMIG9404_AsTheCrowFlies_POT_0"
"TS1110","Carthage ",2379
"TS1111","La Medina ",42243
"TS1112","Bab El Bhar ",12701
"TS1113","Bab Souika ",7199
"TS1114","El Omrane ",4446
"TS1115","El Omrane Supérieur ",6375
"TS1116","Ettahrir ",2758
"TS1117","El Menzah ",6856
"TS1118","Cité El Khadhra ",4073
"TS1119","Le Bardo ",12838
"TS111A","Sijoumi ",4285
"TS111B","Ezzouhour ",6335
"TS111C","El Hrairia ",3513
"TS111D","Sidi Hassine ",1699
"TS111E","El Ouardia ",6430
"TS111F","El Kabaria ",3153
"TS111G","Sidi El Béchir ",2778
"TS111H","Djebel Djelloud ",2285
"TS111I","La Goulette ",2765
"TS111J","Le Kram ",3212
"TS111K","La Marsa ",5026
"TS1120","L Ariana Ville  ",15426
"TS1121","Soukra ",2832
"TS1122","Raoued ",1443
"TS1123","Kalaât El Andalous ",528
"TS1124","Sidi Thabet ",723
"TS1125","Cité Ettadhamen ",5245
"TS1126","El Mnihla ",985
"TS1130","Ben Arous  ",9381
"TS1131","La Nouvelle Medina ",2295
"TS1132","El Mourouj ",5773
"TS1133","Hammam Lif ",4802
"TS1134","Hammam Chôtt ",1551
"TS1135","Bou Mhel El Bassatine ",1135
"TS1136","Ezzahra ",3991
"TS1137","Radès ",3708
"TS1138","Megrine ",2872
"TS1139","Mohamedia ",2327
"TS113A","Fouchana ",2695
"TS113B","Mornag ",1836
"TS1140","Mannouba  ",9466
"TS1141","Douar Hicher ",1518
"TS1142","Oued Ellil ",2109
"TS1143","Mornaguia ",1352
"TS1144","Borj Amri ",892
"TS1145","Djedeida ",1638
"TS1146","Tebourba ",2294
"TS1147","El Battane ",444
"TS1150","Nabeul  ",7360
"TS1151","Dar Châabane El Fehri ",1099
"TS1152","Beni khiar ",937
"TS1153","Korba ",1600
"TS1154","Menzel Temime ",2285
"TS1155","El Mida ",722
"TS1156","Kelibia ",2242
"TS1157","Hammam El Guezaz ",566
"TS1158","El Haouaria ",1460
"TS1159","Takelsa ",692
"TS115A","Soliman ",1432
"TS115B","Menzel Bouzelfa ",1278
"TS115C","Beni Khalled ",940
"TS115D","Grombalia ",2064
"TS115E","Bou Argoub ",743
"TS115F","Hammamet ",3027
"TS1160","Zaghouan  ",3201
"TS1161","Ez-Zeriba ",544
"TS1162","Bir Mchergua ",766
"TS1163","El Fahs ",2117
"TS1164","En-Nadhour ",1030
"TS1165","Saouaf ",307
"TS1170","Bizerte Nord  ",9488
"TS1171","Zarzouna ",1349
"TS1172","Bizerte Sud ",1058
"TS1173","Sedjnane ",1904
"TS1174","Djoumine ",1605
"TS1175","Mateur ",3481
"TS1176","Ghezala ",912
"TS1177","Menzel Bourguiba ",3592
"TS1178","Tinja ",269
"TS1179","Utique ",625
"TS117A","Ghar El Meleh ",483
"TS117B","Menzel Djemil ",853
"TS117C","El Alia ",599
"TS117D","Ras Djebel ",1002
"TS1210","Béja Nord  ",8280
"TS1211","Béja Sud ",1585
"TS1212","Amdoun ",1093
"TS1213","Nefza ",3425
"TS1214","Teboursouk ",1456
"TS1215","Tibar ",559
"TS1216","Testour ",1599
"TS1217","Goubellat ",643
"TS1218","Medjez El Bab ",2244
"TS1220","Jendouba  ",7283
"TS1221","Jendouba Nord ",3192
"TS1222","Bou Salem ",4516
"TS1223","Tabarka ",2520
"TS1224","Ain Draham ",3302
"TS1225","Fernana ",1990
"TS1226","Ghardimaou ",2389
"TS1227","Oued Meliz ",594
"TS1228","Balta - Bou Aouane ",247
"TS1230","Kef Ouest  ",2126
"TS1231","Kef Est ",10049
"TS1232","Nebeur ",1067
"TS1233","Sakiet Sidi Youssef ",1252
"TS1234","Tajerouine ",1984
"TS1235","Kalâat Snan ",1318
"TS1236","Kalâat Khasbah ",588
"TS1237","Djerissa ",957
"TS1238","El Ksour ",890
"TS1239","Dahmani ",1854
"TS123A","Es-Sers ",1256
"TS1240","Siliana Nord  ",7118
"TS1241","Siliana Sud ",1318
"TS1242","Bou Arada ",1433
"TS1243","Gaâfour ",1236
"TS1244","El Krib ",1123
"TS1245","Bourouis ",1011
"TS1246","Makthar ",3384
"TS1247","Er-Rouhia ",1614
"TS1248","Kesra ",904
"TS1249","Bargou ",767
"TS124A","El Aroussa ",349
"TS2110","Sousse Medina  ",17760
"TS2111","Sousse Riadh ",4111
"TS2112","Sousse Jawhara ",2296
"TS2113","Sousse Sidi Abdelhamid ",1697
"TS2114","Hammam Sousse ",2130
"TS2115","Akouda ",1113
"TS2116","Kalaâ Kebira ",1178
"TS2117","Sidi Bou Ali ",610
"TS2118","Hergla ",285
"TS2119","Enfidha ",1399
"TS211A","Bouficha ",748
"TS211B","Kondar ",368
"TS211C","Sidi El Héni ",436
"TS211D","M saken ",2076
"TS211E","Kalaâ Seghira ",717
"TS2120","Monastir  ",5605
"TS2121","Ouerdanine ",674
"TS2122","Sahline ",754
"TS2123","Zermadine ",717
