"ID","NAMES","IMMIG9404_AsTheCrowFlies_ACC_0.005"
"TS1110","Carthage ",60.1418826831986
"TS1111","La Medina ",53.0075720639225
"TS1112","Bab El Bhar ",0
"TS1113","Bab Souika ",67.9676847074417
"TS1114","El Omrane ",0
"TS1115","El Omrane Supérieur ",0
"TS1116","Ettahrir ",0
"TS1117","El Menzah ",0
"TS1118","Cité El Khadhra ",0
"TS1119","Le Bardo ",0
"TS111A","Sijoumi ",110.31953464042
"TS111B","Ezzouhour ",0
"TS111C","El Hrairia ",0
"TS111D","Sidi Hassine ",0
"TS111E","El Ouardia ",90.8140119641523
"TS111F","El Kabaria ",0
"TS111G","Sidi El Béchir ",21.2147354175207
"TS111H","Djebel Djelloud ",156.541226485654
"TS111I","La Goulette ",0
"TS111J","Le Kram ",0
"TS111K","La Marsa ",0
"TS1120","L Ariana Ville  ",0
"TS1121","Soukra ",0
"TS1122","Raoued ",0
"TS1123","Kalaât El Andalous ",3856.4876472916
"TS1124","Sidi Thabet ",708.261085157502
"TS1125","Cité Ettadhamen ",0
"TS1126","El Mnihla ",0
"TS1130","Ben Arous  ",0
"TS1131","La Nouvelle Medina ",0
"TS1132","El Mourouj ",0
"TS1133","Hammam Lif ",101.861164771709
"TS1134","Hammam Chôtt ",0
"TS1135","Bou Mhel El Bassatine ",0
"TS1136","Ezzahra ",0
"TS1137","Radès ",0
"TS1138","Megrine ",143.774854831621
"TS1139","Mohamedia ",0
"TS113A","Fouchana ",0
"TS113B","Mornag ",46.8507596860937
"TS1140","Mannouba  ",0
"TS1141","Douar Hicher ",0
"TS1142","Oued Ellil ",0
"TS1143","Mornaguia ",1819.39977858849
"TS1144","Borj Amri ",10146.7160927065
"TS1145","Djedeida ",2064.91504027792
"TS1146","Tebourba ",10854.4640793842
"TS1147","El Battane ",10791.4741653349
"TS1150","Nabeul  ",0
"TS1151","Dar Châabane El Fehri ",207.62087445396
"TS1152","Beni khiar ",2467.88083531206
"TS1153","Korba ",8981.35798815163
"TS1154","Menzel Temime ",12756.6320867193
"TS1155","El Mida ",12076.9363859197
"TS1156","Kelibia ",7577.23398668386
"TS1157","Hammam El Guezaz ",12806.0660790983
"TS1158","El Haouaria ",15921.2435761951
"TS1159","Takelsa ",13383.2646777978
"TS115A","Soliman ",0
"TS115B","Menzel Bouzelfa ",10204.1738521812
"TS115C","Beni Khalled ",6319.49061395353
"TS115D","Grombalia ",933.239817391535
"TS115E","Bou Argoub ",5350.31055155006
"TS115F","Hammamet ",0
"TS1160","Zaghouan  ",11478.9088632239
"TS1161","Ez-Zeriba ",14742.297977518
"TS1162","Bir Mchergua ",11063.2718691278
"TS1163","El Fahs ",22210.2195753275
"TS1164","En-Nadhour ",23412.9940589809
"TS1165","Saouaf ",19863.3149023106
"TS1170","Bizerte Nord  ",0
"TS1171","Zarzouna ",0
"TS1172","Bizerte Sud ",11045.5293505153
"TS1173","Sedjnane ",25311.8607739386
"TS1174","Djoumine ",17939.1848997966
"TS1175","Mateur ",12329.0154004453
"TS1176","Ghezala ",18676.9224335895
"TS1177","Menzel Bourguiba ",10253.8640412206
"TS1178","Tinja ",10673.3115757006
"TS1179","Utique ",10553.788700379
"TS117A","Ghar El Meleh ",10579.7617635867
"TS117B","Menzel Djemil ",870.388891008396
"TS117C","El Alia ",5899.23922918509
"TS117D","Ras Djebel ",10114.2613455529
"TS1210","Béja Nord  ",10830.98768258
"TS1211","Béja Sud ",12876.3815463859
"TS1212","Amdoun ",14786.8189046505
"TS1213","Nefza ",20420.8783261293
"TS1214","Teboursouk ",19863.0755676168
"TS1215","Tibar ",15755.5705995677
"TS1216","Testour ",19569.1424359994
"TS1217","Goubellat ",20363.64879994
"TS1218","Medjez El Bab ",15590.9400620666
"TS1220","Jendouba  ",0
"TS1221","Jendouba Nord ",5956.54413128157
"TS1222","Bou Salem ",13187.8029826948
"TS1223","Tabarka ",17460.9406681362
"TS1224","Ain Draham ",17470.6501818096
"TS1225","Fernana ",15103.7522529669
"TS1226","Ghardimaou ",25679.4047852133
"TS1227","Oued Meliz ",15473.5100650754
"TS1228","Balta - Bou Aouane ",14078.6570029864
"TS1230","Kef Ouest  ",12419.3269672166
"TS1231","Kef Est ",11089.8488631702
"TS1232","Nebeur ",13610.4604168014
"TS1233","Sakiet Sidi Youssef ",22287.7626330131
"TS1234","Tajerouine ",19772.534327708
"TS1235","Kalâat Snan ",31444.5517019045
"TS1236","Kalâat Khasbah ",28326.6842783715
"TS1237","Djerissa ",23529.474471783
"TS1238","El Ksour ",24029.4020293075
"TS1239","Dahmani ",20033.0823867902
"TS123A","Es-Sers ",17769.7317634815
"TS1240","Siliana Nord  ",17082.9016087042
"TS1241","Siliana Sud ",19298.5788449229
"TS1242","Bou Arada ",24605.2678921338
"TS1243","Gaâfour ",22309.5406386729
"TS1244","El Krib ",20008.9575930313
"TS1245","Bourouis ",19278.4802595672
"TS1246","Makthar ",22955.7878263143
"TS1247","Er-Rouhia ",27629.926445762
"TS1248","Kesra ",25073.5572751362
"TS1249","Bargou ",25186.1926071329
"TS124A","El Aroussa ",23805.2472913399
"TS2110","Sousse Medina  ",0
"TS2111","Sousse Riadh ",0
"TS2112","Sousse Jawhara ",0
"TS2113","Sousse Sidi Abdelhamid ",0
"TS2114","Hammam Sousse ",0
"TS2115","Akouda ",1203.73641516578
"TS2116","Kalaâ Kebira ",5907.34928782558
"TS2117","Sidi Bou Ali ",10873.1418956269
"TS2118","Hergla ",12201.4282913414
"TS2119","Enfidha ",19331.1377090591
"TS211A","Bouficha ",14275.6422118031
"TS211B","Kondar ",14590.0166296406
"TS211C","Sidi El Héni ",11809.086661466
"TS211D","M saken ",0
"TS211E","Kalaâ Seghira ",32.9687529490674
"TS2120","Monastir  ",0
"TS2121","Ouerdanine ",975.893606460261
"TS2122","Sahline ",529.889108750801
"TS2123","Zermadine ",10401.7587985549
"TS2124","Beni Hassen ",8622.86196463724
"TS2125","Jammel ",168.808888155487
"TS2126","Bembla ",425.806078455252
"TS2127","Moknine ",2148.35143177922
"TS2128","Bekalta ",5399.22520385885
"TS2129","Teboulba ",3154.25186565665
"TS212A","Ksar Helal ",189.526299745669
"TS212B","Ksibet El Mediouni ",1179.49447129503
"TS212C","Sayada-Lamta Bou-Hjar ",1665.700524579
"TS2130","Mahdia  ",0
"TS2131","Bou Merdès ",12671.7194470167
"TS2132","Ouled Chamekh ",17782.8814484126
"TS2133","Chorbane ",24927.8407826626
"TS2134","Hebira ",25416.8926311388
"TS2135","Essouassi ",20559.4079587109
"TS2136","El Djem ",17269.403976926
"TS2137","Chebba ",19663.5471796032
"TS2138","Melloulech ",19192.0325184555
"TS2139","Sidi Alouane ",14536.6421169862
"TS213A","Ksour Essef ",11790.8694368742
"TS2140","Sfax Ville  ",0
"TS2141","Sfax Ouest ",0
"TS2142","Sakiet Ezzit ",0
"TS2143","Sakiet Eddaïer ",0
"TS2144","Sfax Sud ",0
"TS2145","Tina ",0
"TS2146","Agareb ",11466.8292310736
"TS2147","Djebeniana ",14013.3360597189
"TS2148","El Amra ",6062.76099444992
"TS2149","El Hencha ",15813.3580731488
"TS214A","Menzel Chaker ",21302.2213786177
"TS214B","Ghraiba ",27821.4629653641
"TS214C","Bir ali Ben Kelifa ",29922.7320469618
"TS214D","Skhira ",32388.3069924109
"TS214E","Mahres ",16728.0112871024
"TS214F","Kerkenah ",22588.4261801803
"TS2210","Kairouan Nord  ",0
"TS2211","Kairouan Sud ",0
"TS2212","Echebika ",15607.6769786992
"TS2213","Sbikha ",21041.6985749777
"TS2214","EL Ouslatia ",26842.1185812045
"TS2215","Haffouz ",26181.4765922738
"TS2216","El Alâa ",28336.5645020217
"TS2217","Hajeb el Ayoun ",29015.6999942919
"TS2218","Nasrallah ",27642.4410761166
"TS2219","Echrarda ",30926.9950264572
"TS221A","Bouhajla ",21603.7988550096
"TS2220","Kasserine Nord  ",0
"TS2221","Kasserine Sud ",13205.9847385919
"TS2222","Ezzouhour ",8627.83410168084
"TS2223","Hassi Ferid ",26062.4776470277
"TS2224","Sbeitla ",22864.2635801611
"TS2225","Sbiba ",27556.0957771766
"TS2226","Djedeliane ",28148.8294444621
"TS2227","El Ayoun ",26196.176986997
"TS2228","Thala ",28277.4226198331
"TS2229","Hidra ",32218.2328817659
"TS222A","Foussana ",25278.1931806599
"TS222B","Feriana ",29870.5774356666
"TS222C","Majel Bel Abbès ",28369.5502773396
"TS2230","Sidi Bouzid Ouest  ",10127.1287618091
"TS2231","Sidi Bouzid Est ",19818.9683241315
"TS2232","Jilma ",26351.0496539829
"TS2233","Cebalet Ouled Asker ",23045.580650287
"TS2234","Bir El Hafey ",21105.7076253214
"TS2235","Sidi Ali Ben Aoûn ",30119.853870127
"TS2236","Menzel Bouzaïenne ",32289.4722721305
"TS2237","Meknassy ",33019.9195340508
"TS2238","Souk Jedid ",23642.6746872032
"TS2239","Mezzouna ",35718.38773081
"TS223A","Regueb ",29660.8728761096
"TS223B","Ouled Haffouz ",29320.7218661006
"TS3110","Gabes Medina  ",0
"TS3111","Gabes Ouest ",0
"TS3112","Gabes Sud ",1680.22095868077
"TS3113","Ghanouch ",4481.36500949823
"TS3114","El Metouia ",13534.8430517521
"TS3115","Menzel El Habib ",31171.8256748526
"TS3116","El Hamma ",25137.3638366746
"TS3117","Matmata ",31290.5308515887
"TS3118","Nouvelle Matmata ",15509.5975569198
"TS3119","Mareth ",17097.6218809696
"TS3120","Medenine Nord  ",0
"TS3121","Medenine Sud ",16113.2091021709
"TS3122","Beni Khedech ",25634.032899633
"TS3123","Ben Guerdane ",30819.4370317642
"TS3124","Zarzis ",0
"TS3125","Djerba Houmet Souk ",0
"TS3126","Djerba Midoun ",0
"TS3127","Djerba Ajim ",7990.34994692468
"TS3128","Sidi Makhloulf ",18566.9868116627
"TS3130","Tataouine Nord  ",20116.7081750152
"TS3131","Tataouine Sud ",36711.3779566458
"TS3132","Smâr ",25943.9753340151
"TS3133","Bir Lahmar ",20706.8151957076
"TS3134","Ghomrassen ",25803.1919809507
"TS3135","Dhehiba ",83941.7621474724
"TS3136","Remada ",111464.804355682
"TS3210","Gafsa Nord  ",21931.4504605961
"TS3211","Sidi Aïch ",22589.6702267692
"TS3212","El Ksar ",14022.2510718233
"TS3213","Gafsa Sud ",0
"TS3214","Oum El Araies ",24347.9167916806
"TS3215","Redeyef ",30938.0057128758
"TS3216","Metlaoui ",21974.7515977841
"TS3217","Mdhila ",22624.4480792545
"TS3218","EL Guetar ",26568.6635422787
"TS3219","Belkhir ",37850.1299849048
"TS321A","Sned ",30368.2412118028
"TS3220","Tozeur  ",27428.6493717245
"TS3221","Degach ",28672.4214483347
"TS3222","Tameghza ",42672.5722085853
"TS3223","Nefta ",36819.4376775861
"TS3224","Hazoua ",56634.3706351953
"TS3230","Kebili Sud  ",28434.7760800501
"TS3231","Kebeli Nord ",28128.7849708842
"TS3232","Souk El Ahed ",35254.2391387074
"TS3233","Douz Nord ",42889.5069806179
"TS3234","Douz Sud ",58841.2896646355
"TS3235","Faouar ",69851.4056214245
