"ID","NAMES","IMMIG9404_AsTheCrowFlies_POT_50000"
"TS1110","Carthage ",308674.29189972
"TS1111","La Medina ",316776.13927423
"TS1112","Bab El Bhar ",316843.27314762
"TS1113","Bab Souika ",316575.82451706
"TS1114","El Omrane ",316132.37612795
"TS1115","El Omrane Supérieur ",314555.45184271
"TS1116","Ettahrir ",315034.26696429
"TS1117","El Menzah ",315509.15185043
"TS1118","Cité El Khadhra ",315522.23495195
"TS1119","Le Bardo ",315420.26169648
"TS111A","Sijoumi ",316726.14520223
"TS111B","Ezzouhour ",315944.86772632
"TS111C","El Hrairia ",312094.09321819
"TS111D","Sidi Hassine ",313536.66230078
"TS111E","El Ouardia ",316708.4853136
"TS111F","El Kabaria ",316312.32032307
"TS111G","Sidi El Béchir ",316937.20093555
"TS111H","Djebel Djelloud ",316650.94018172
"TS111I","La Goulette ",311544.92999259
"TS111J","Le Kram ",312446.81299024
"TS111K","La Marsa ",305820.81135015
"TS1120","L Ariana Ville  ",313896.10480281
"TS1121","Soukra ",310498.68286724
"TS1122","Raoued ",305940.04598768
"TS1123","Kalaât El Andalous ",283047.49073597
"TS1124","Sidi Thabet ",299622.46311385
"TS1125","Cité Ettadhamen ",312955.31011212
"TS1126","El Mnihla ",311375.91332208
"TS1130","Ben Arous  ",315772.72748179
"TS1131","La Nouvelle Medina ",314460.46534985
"TS1132","El Mourouj ",315168.2528586
"TS1133","Hammam Lif ",305823.99622967
"TS1134","Hammam Chôtt ",298622.80289502
"TS1135","Bou Mhel El Bassatine ",309464.62895991
"TS1136","Ezzahra ",311989.7575857
"TS1137","Radès ",314232.82955916
"TS1138","Megrine ",316096.20132208
"TS1139","Mohamedia ",301213.39467282
"TS113A","Fouchana ",313236.64425734
"TS113B","Mornag ",292940.60485585
"TS1140","Mannouba  ",310985.31461942
"TS1141","Douar Hicher ",310070.1720839
"TS1142","Oued Ellil ",301885.58028513
"TS1143","Mornaguia ",285458.36402012
"TS1144","Borj Amri ",257659.08089225
"TS1145","Djedeida ",278934.24070688
"TS1146","Tebourba ",220394.76355624
"TS1147","El Battane ",231037.69098438
"TS1150","Nabeul  ",134990.18512129
"TS1151","Dar Châabane El Fehri ",135858.86462011
"TS1152","Beni khiar ",109235.55380645
"TS1153","Korba ",115742.88288132
"TS1154","Menzel Temime ",84865.22330272
"TS1155","El Mida ",117700.27082904
"TS1156","Kelibia ",44983.17303453
"TS1157","Hammam El Guezaz ",32961.11810093
"TS1158","El Haouaria ",66054.55888887
"TS1159","Takelsa ",198203.40259638
"TS115A","Soliman ",262947.0211893
"TS115B","Menzel Bouzelfa ",198626.85782316
"TS115C","Beni Khalled ",190641.03545661
"TS115D","Grombalia ",263766.6154295
"TS115E","Bou Argoub ",193967.15197445
"TS115F","Hammamet ",188759.11874759
"TS1160","Zaghouan  ",215166.22251177
"TS1161","Ez-Zeriba ",163675.77497404
"TS1162","Bir Mchergua ",241836.53951364
"TS1163","El Fahs ",89974.55056677
"TS1164","En-Nadhour ",63316.72740589
"TS1165","Saouaf ",112068.455661
"TS1170","Bizerte Nord  ",100550.39753773
"TS1171","Zarzouna ",141387.19568824
"TS1172","Bizerte Sud ",89114.82111227
"TS1173","Sedjnane ",31490.77022286
"TS1174","Djoumine ",73408.09839117
"TS1175","Mateur ",166993.17749863
"TS1176","Ghezala ",79507.03693437
"TS1177","Menzel Bourguiba ",194607.05183782
"TS1178","Tinja ",158055.51473267
"TS1179","Utique ",257942.19027429
"TS117A","Ghar El Meleh ",218409.27291634
"TS117B","Menzel Djemil ",172433.55776449
"TS117C","El Alia ",210046.66285886
"TS117D","Ras Djebel ",183130.11647209
"TS1210","Béja Nord  ",41809.37169215
"TS1211","Béja Sud ",36640.62500463
"TS1212","Amdoun ",28098.83413192
"TS1213","Nefza ",22957.89700848
"TS1214","Teboursouk ",34997.9999008
"TS1215","Tibar ",32091.34726546
"TS1216","Testour ",70908.97432057
"TS1217","Goubellat ",146722.19203409
"TS1218","Medjez El Bab ",158056.18511078
"TS1220","Jendouba  ",28945.90576213
"TS1221","Jendouba Nord ",26162.86668698
"TS1222","Bou Salem ",30624.41294519
"TS1223","Tabarka ",19631.60992405
"TS1224","Ain Draham ",21372.64829746
"TS1225","Fernana ",22688.16290907
"TS1226","Ghardimaou ",16068.05356124
"TS1227","Oued Meliz ",23016.36596896
"TS1228","Balta - Bou Aouane ",27839.69270847
"TS1230","Kef Ouest  ",21764.35381334
"TS1231","Kef Est ",26229.25192736
"TS1232","Nebeur ",27321.40482269
"TS1233","Sakiet Sidi Youssef ",17031.28078567
"TS1234","Tajerouine ",15925.00274508
"TS1235","Kalâat Snan ",9456.00909467
"TS1236","Kalâat Khasbah ",11621.98175543
"TS1237","Djerissa ",15017.95156465
"TS1238","El Ksour ",18222.52291683
"TS1239","Dahmani ",20061.27392569
"TS123A","Es-Sers ",23305.43352246
"TS1240","Siliana Nord  ",19568.64892094
"TS1241","Siliana Sud ",17135.77319765
"TS1242","Bou Arada ",52223.63472167
"TS1243","Gaâfour ",25884.17867207
"TS1244","El Krib ",29819.27157176
"TS1245","Bourouis ",25374.82081968
"TS1246","Makthar ",17215.29514498
"TS1247","Er-Rouhia ",14738.67861334
"TS1248","Kesra ",15543.11286427
"TS1249","Bargou ",23708.90371895
"TS124A","El Aroussa ",44570.61755332
"TS2110","Sousse Medina  ",102388.22974629
"TS2111","Sousse Riadh ",103370.53256564
"TS2112","Sousse Jawhara ",102932.29131385
"TS2113","Sousse Sidi Abdelhamid ",102581.67469883
"TS2114","Hammam Sousse ",101728.50385346
"TS2115","Akouda ",100089.76642908
"TS2116","Kalaâ Kebira ",97068.05375928
"TS2117","Sidi Bou Ali ",95256.75883185
"TS2118","Hergla ",97052.74995289
"TS2119","Enfidha ",100712.45294695
"TS211A","Bouficha ",140003.28933168
"TS211B","Kondar ",82524.17819252
"TS211C","Sidi El Héni ",90385.07282431
"TS211D","M saken ",102622.29875602
"TS211E","Kalaâ Seghira ",100490.82391549
"TS2120","Monastir  ",99891.68266825
"TS2121","Ouerdanine ",103677.71126497
"TS2122","Sahline ",102705.09335843
"TS2123","Zermadine ",100509.17507245
"TS2124","Beni Hassen ",96634.36221782
"TS2125","Jammel ",102117.06606254
"TS2126","Bembla ",100939.55736186
"TS2127","Moknine ",90063.95432491
"TS2128","Bekalta ",78624.77089517
"TS2129","Teboulba ",84900.98988743
"TS212A","Ksar Helal ",93037.43107032
"TS212B","Ksibet El Mediouni ",96754.08692467
"TS212C","Sayada-Lamta Bou-Hjar ",92333.17801434
"TS2130","Mahdia  ",77536.96473635
"TS2131","Bou Merdès ",92030.70551747
"TS2132","Ouled Chamekh ",75882.75834461
"TS2133","Chorbane ",61892.06178229
"TS2134","Hebira ",46702.74904426
"TS2135","Essouassi ",81579.37332439
"TS2136","El Djem ",83484.62084938
"TS2137","Chebba ",55704.02609053
"TS2138","Melloulech ",64930.80200287
"TS2139","Sidi Alouane ",75202.32458683
"TS213A","Ksour Essef ",67764.91243916
