"ID","NAMES","NBLOG2004_AsTheCrowFlies_ACC_0.05"
"TS1110","Carthage ",10723.5088527559
"TS1111","La Medina ",3859.52037592741
"TS1112","Bab El Bhar ",3723.76216587771
"TS1113","Bab Souika ",3808.21369235823
"TS1114","El Omrane ",3842.16932937593
"TS1115","El Omrane Supérieur ",4066.54407184453
"TS1116","Ettahrir ",4155.04325970309
"TS1117","El Menzah ",3909.30172937477
"TS1118","Cité El Khadhra ",4312.86779098407
"TS1119","Le Bardo ",3802.17501860103
"TS111A","Sijoumi ",3943.66434544499
"TS111B","Ezzouhour ",3974.43760309468
"TS111C","El Hrairia ",5297.1059780135
"TS111D","Sidi Hassine ",5508.21394488805
"TS111E","El Ouardia ",4443.68783711525
"TS111F","El Kabaria ",4714.80023653739
"TS111G","Sidi El Béchir ",3954.49896632474
"TS111H","Djebel Djelloud ",4703.623903403
"TS111I","La Goulette ",8938.2605101324
"TS111J","Le Kram ",6851.01182971936
"TS111K","La Marsa ",11009.9783278155
"TS1120","L Ariana Ville  ",4018.3886119914
"TS1121","Soukra ",6635.40498213041
"TS1122","Raoued ",10177.1112062797
"TS1123","Kalaât El Andalous ",15999.3353728542
"TS1124","Sidi Thabet ",12201.0766713402
"TS1125","Cité Ettadhamen ",4580.13260962189
"TS1126","El Mnihla ",5231.78487286881
"TS1130","Ben Arous  ",5537.48575138054
"TS1131","La Nouvelle Medina ",6571.1416626571
"TS1132","El Mourouj ",5723.92096298802
"TS1133","Hammam Lif ",11847.1424169314
"TS1134","Hammam Chôtt ",13689.7258431618
"TS1135","Bou Mhel El Bassatine ",10397.6358356949
"TS1136","Ezzahra ",8636.18214124617
"TS1137","Radès ",6577.72014796861
"TS1138","Megrine ",5197.8253238786
"TS1139","Mohamedia ",13628.4556855411
"TS113A","Fouchana ",7636.07139878915
"TS113B","Mornag ",15699.525590259
"TS1140","Mannouba  ",5725.09587382902
"TS1141","Douar Hicher ",5986.46048842587
"TS1142","Oued Ellil ",11171.799700078
"TS1143","Mornaguia ",16353.2236609456
"TS1144","Borj Amri ",21894.5176587218
"TS1145","Djedeida ",16816.3698591174
"TS1146","Tebourba ",25110.9713428092
"TS1147","El Battane ",24501.4838648656
"TS1150","Nabeul  ",28311.9279592817
"TS1151","Dar Châabane El Fehri ",27330.091515831
"TS1152","Beni khiar ",30559.1429380019
"TS1153","Korba ",29570.9060363793
"TS1154","Menzel Temime ",35585.0306576127
"TS1155","El Mida ",30635.9938908111
"TS1156","Kelibia ",44274.3584172109
"TS1157","Hammam El Guezaz ",48768.1836673805
"TS1158","El Haouaria ",42059.9350301179
"TS1159","Takelsa ",26619.4935944091
"TS115A","Soliman ",20691.5897685672
"TS115B","Menzel Bouzelfa ",24150.3124897623
"TS115C","Beni Khalled ",23127.6089637361
"TS115D","Grombalia ",20003.9729197301
"TS115E","Bou Argoub ",22743.3601900567
"TS115F","Hammamet ",25912.2658549232
"TS1160","Zaghouan  ",27822.981422979
"TS1161","Ez-Zeriba ",32525.2343769428
"TS1162","Bir Mchergua ",24976.2563423618
"TS1163","El Fahs ",40884.8095885191
"TS1164","En-Nadhour ",41822.7229555464
"TS1165","Saouaf ",36985.3163483931
"TS1170","Bizerte Nord  ",33838.2527012387
"TS1171","Zarzouna ",30153.4965891611
"TS1172","Bizerte Sud ",34960.2876124152
"TS1173","Sedjnane ",46569.289896633
"TS1174","Djoumine ",37940.4815991052
"TS1175","Mateur ",29849.6952478932
"TS1176","Ghezala ",37069.3574643022
"TS1177","Menzel Bourguiba ",24451.2868686601
"TS1178","Tinja ",28085.2059805395
"TS1179","Utique ",20352.5410277236
"TS117A","Ghar El Meleh ",24308.8243808399
"TS117B","Menzel Djemil ",26388.2073081345
"TS117C","El Alia ",23481.5965995274
"TS117D","Ras Djebel ",27855.1454600369
"TS1210","Béja Nord  ",41082.7352534232
"TS1211","Béja Sud ",40899.6206973715
"TS1212","Amdoun ",42718.9532630684
"TS1213","Nefza ",48873.6433387466
"TS1214","Teboursouk ",43097.5186867104
"TS1215","Tibar ",41294.9188571701
"TS1216","Testour ",40446.3917064351
"TS1217","Goubellat ",34488.3560472538
"TS1218","Medjez El Bab ",32465.1885349123
"TS1220","Jendouba  ",40905.5626962954
"TS1221","Jendouba Nord ",43179.4729668182
"TS1222","Bou Salem ",39869.1500440969
"TS1223","Tabarka ",51693.947150245
"TS1224","Ain Draham ",49822.8947433845
"TS1225","Fernana ",48082.6328370451
"TS1226","Ghardimaou ",59804.6948853879
"TS1227","Oued Meliz ",48072.7083541505
"TS1228","Balta - Bou Aouane ",41169.095362273
"TS1230","Kef Ouest  ",51359.4674789342
"TS1231","Kef Est ",46468.4106750076
"TS1232","Nebeur ",43604.9588860203
"TS1233","Sakiet Sidi Youssef ",58529.0775448857
"TS1234","Tajerouine ",58907.3512837091
"TS1235","Kalâat Snan ",69182.4623271839
"TS1236","Kalâat Khasbah ",63750.7671440287
"TS1237","Djerissa ",58580.565367625
"TS1238","El Ksour ",52809.1673422203
"TS1239","Dahmani ",52684.9396259162
"TS123A","Es-Sers ",49503.5412956395
"TS1240","Siliana Nord  ",51060.9771642865
"TS1241","Siliana Sud ",51505.5390479779
"TS1242","Bou Arada ",44326.862406431
"TS1243","Gaâfour ",48343.8459290021
