"ID","NAMES","NBLOG2004_AsTheCrowFlies_POT_20000"
"TS1110","Carthage ",369018.84275945
"TS1111","La Medina ",497768.38261341
"TS1112","Bab El Bhar ",497933.78114088
"TS1113","Bab Souika ",497304.95086651
"TS1114","El Omrane ",493983.77745189
"TS1115","El Omrane Supérieur ",476265.05854993
"TS1116","Ettahrir ",481100.72505159
"TS1117","El Menzah ",488088.51667024
"TS1118","Cité El Khadhra ",481715.45622983
"TS1119","Le Bardo ",484317.40184547
"TS111A","Sijoumi ",495528.83361721
"TS111B","Ezzouhour ",488292.71978912
"TS111C","El Hrairia ",436370.2104813
"TS111D","Sidi Hassine ",446676.49127047
"TS111E","El Ouardia ",484110.56356417
"TS111F","El Kabaria ",471081.48499945
"TS111G","Sidi El Béchir ",496171.48362654
"TS111H","Djebel Djelloud ",479476.2550776
"TS111I","La Goulette ",403187.72514852
"TS111J","Le Kram ",427633.42300544
"TS111K","La Marsa ",346012.5318573
"TS1120","L Ariana Ville  ",469153.45202541
"TS1121","Soukra ",418317.15948828
"TS1122","Raoued ",374589.03038402
"TS1123","Kalaât El Andalous ",197123.4711648
"TS1124","Sidi Thabet ",312571.7413443
"TS1125","Cité Ettadhamen ",453168.80175831
"TS1126","El Mnihla ",436411.75337429
"TS1130","Ben Arous  ",456377.1503395
"TS1131","La Nouvelle Medina ",428602.83618798
"TS1132","El Mourouj ",444605.85251543
"TS1133","Hammam Lif ",310751.79201923
"TS1134","Hammam Chôtt ",247391.94427552
"TS1135","Bou Mhel El Bassatine ",351089.02475079
"TS1136","Ezzahra ",388061.70535686
"TS1137","Radès ",429888.18803464
"TS1138","Megrine ",465450.22980427
"TS1139","Mohamedia ",280820.33264783
"TS113A","Fouchana ",415316.6737107
"TS113B","Mornag ",199951.95070304
"TS1140","Mannouba  ",425276.85331562
"TS1141","Douar Hicher ",415990.87456944
"TS1142","Oued Ellil ",324592.55969535
"TS1143","Mornaguia ",186280.3926946
"TS1144","Borj Amri ",87804.71394743
"TS1145","Djedeida ",172602.72490305
"TS1146","Tebourba ",52426.51854179
"TS1147","El Battane ",56250.56247648
"TS1150","Nabeul  ",82789.41272078
"TS1151","Dar Châabane El Fehri ",86191.50287939
"TS1152","Beni khiar ",72862.15657983
"TS1153","Korba ",73010.01660371
"TS1154","Menzel Temime ",53366.6271351
"TS1155","El Mida ",63061.22088319
"TS1156","Kelibia ",42420.10151609
"TS1157","Hammam El Guezaz ",35149.56923679
"TS1158","El Haouaria ",37165.64646749
"TS1159","Takelsa ",44920.00703781
"TS115A","Soliman ",109549.59354883
"TS115B","Menzel Bouzelfa ",76351.71664124
"TS115C","Beni Khalled ",94641.46262482
"TS115D","Grombalia ",124329.71545607
"TS115E","Bou Argoub ",99942.8765323
"TS115F","Hammamet ",72386.63838539
"TS1160","Zaghouan  ",31631.04551949
"TS1161","Ez-Zeriba ",27626.5863345
"TS1162","Bir Mchergua ",39844.39683726
"TS1163","El Fahs ",15599.55182579
"TS1164","En-Nadhour ",19417.25678131
"TS1165","Saouaf ",22540.84910631
"TS1170","Bizerte Nord  ",64377.33737235
"TS1171","Zarzouna ",79623.34054724
"TS1172","Bizerte Sud ",49247.87085433
"TS1173","Sedjnane ",17236.44557871
"TS1174","Djoumine ",28048.02193356
"TS1175","Mateur ",40874.87386331
"TS1176","Ghezala ",27462.97467294
"TS1177","Menzel Bourguiba ",75076.51411034
