"ID","NAMES","POPTO2004_AsTheCrowFlies_ACC_0.01"
"TS1110","Carthage ",2323.40593722843
"TS1111","La Medina ",648.471987566192
"TS1112","Bab El Bhar ",547.322212969674
"TS1113","Bab Souika ",589.142660877336
"TS1114","El Omrane ",529.835768009099
"TS1115","El Omrane Supérieur ",372.20960747464
"TS1116","Ettahrir ",722.524267425297
"TS1117","El Menzah ",533.839703943426
"TS1118","Cité El Khadhra ",665.775290702604
"TS1119","Le Bardo ",277.370510194017
"TS111A","Sijoumi ",573.909008248775
"TS111B","Ezzouhour ",541.230229562261
"TS111C","El Hrairia ",38.278675731222
"TS111D","Sidi Hassine ",265.715429525627
"TS111E","El Ouardia ",678.57957543401
"TS111F","El Kabaria ",220.502022300627
"TS111G","Sidi El Béchir ",639.484160695735
"TS111H","Djebel Djelloud ",790.143843030482
"TS111I","La Goulette ",1579.21773236941
"TS111J","Le Kram ",760.166477060159
"TS111K","La Marsa ",820.11244013965
"TS1120","L Ariana Ville  ",16.7357624637109
"TS1121","Soukra ",195.127491848717
"TS1122","Raoued ",1061.50609604424
"TS1123","Kalaât El Andalous ",10574.5516042414
"TS1124","Sidi Thabet ",2973.21444562675
"TS1125","Cité Ettadhamen ",237.158111849805
"TS1126","El Mnihla ",568.483424248915
"TS1130","Ben Arous  ",873.966385843894
"TS1131","La Nouvelle Medina ",900.466697276247
"TS1132","El Mourouj ",260.075686500339
"TS1133","Hammam Lif ",2394.60331080421
"TS1134","Hammam Chôtt ",4552.05543703057
"TS1135","Bou Mhel El Bassatine ",1834.41096820444
"TS1136","Ezzahra ",1397.0509718256
"TS1137","Radès ",895.974990353374
"TS1138","Megrine ",915.91713611794
"TS1139","Mohamedia ",5286.73473683962
"TS113A","Fouchana ",776.492334881873
"TS113B","Mornag ",9553.43015860785
"TS1140","Mannouba  ",626.782988274192
"TS1141","Douar Hicher ",332.212442506994
"TS1142","Oued Ellil ",1158.98961790738
"TS1143","Mornaguia ",10346.3863530787
"TS1144","Borj Amri ",11541.8124780801
"TS1145","Djedeida ",10066.9502090283
"TS1146","Tebourba ",12201.8205496655
"TS1147","El Battane ",12263.5552355773
"TS1150","Nabeul  ",6105.81585381662
"TS1151","Dar Châabane El Fehri ",5588.96280814019
"TS1152","Beni khiar ",7473.04598435059
"TS1153","Korba ",10386.2028370789
"TS1154","Menzel Temime ",11424.8430622939
"TS1155","El Mida ",11566.6627070232
"TS1156","Kelibia ",11891.1795651461
"TS1157","Hammam El Guezaz ",15241.523466485
"TS1158","El Haouaria ",15226.200388865
"TS1159","Takelsa ",14621.5092662669
"TS115A","Soliman ",11013.7785961189
"TS115B","Menzel Bouzelfa ",11059.9089637089
"TS115C","Beni Khalled ",10371.8927809526
"TS115D","Grombalia ",10547.9669995668
"TS115E","Bou Argoub ",10069.6133715892
"TS115F","Hammamet ",4194.97017905746
"TS1160","Zaghouan  ",16319.3192239794
"TS1161","Ez-Zeriba ",17886.0330182895
"TS1162","Bir Mchergua ",15156.457681663
"TS1163","El Fahs ",22447.7060645169
"TS1164","En-Nadhour ",20144.7476893578
"TS1165","Saouaf ",19440.5189221394
"TS1170","Bizerte Nord  ",10088.1128303164
"TS1171","Zarzouna ",8024.30781491357
"TS1172","Bizerte Sud ",13595.218153013
"TS1173","Sedjnane ",21989.5688031771
"TS1174","Djoumine ",17158.4516065509
"TS1175","Mateur ",13648.9193232403
"TS1176","Ghezala ",17557.2295430772
"TS1177","Menzel Bourguiba ",10900.223604067
"TS1178","Tinja ",11802.6775986929
"TS1179","Utique ",11431.1800017583
"TS117A","Ghar El Meleh ",11438.7001218218
"TS117B","Menzel Djemil ",8518.31859841595
"TS117C","El Alia ",10088.3226420554
"TS117D","Ras Djebel ",11126.4306219242
"TS1210","Béja Nord  ",13466.158653205
"TS1211","Béja Sud ",15249.4482774392
"TS1212","Amdoun ",15052.1688029366
"TS1213","Nefza ",17546.899673199
"TS1214","Teboursouk ",20298.5574547237
"TS1215","Tibar ",17038.0005550042
"TS1216","Testour ",20340.9673465829
"TS1217","Goubellat ",21258.8690946553
"TS1218","Medjez El Bab ",17324.8527724399
"TS1220","Jendouba  ",11830.3227043959
"TS1221","Jendouba Nord ",12228.9687491153
"TS1222","Bou Salem ",14403.8283346946
"TS1223","Tabarka ",17908.4155014153
"TS1224","Ain Draham ",15647.2696286242
"TS1225","Fernana ",13610.6237150305
"TS1226","Ghardimaou ",21113.7576833599
"TS1227","Oued Meliz ",15699.2070034935
"TS1228","Balta - Bou Aouane ",14218.6147039143
"TS1230","Kef Ouest  ",20978.2644155848
"TS1231","Kef Est ",19138.6389800403
"TS1232","Nebeur ",16521.2867757594
"TS1233","Sakiet Sidi Youssef ",25825.6447795282
"TS1234","Tajerouine ",23831.5581837454
"TS1235","Kalâat Snan ",33329.5483405387
"TS1236","Kalâat Khasbah ",27808.4926917742
"TS1237","Djerissa ",24217.1678902079
"TS1238","El Ksour ",22640.5228761395
"TS1239","Dahmani ",21335.4093510394
"TS123A","Es-Sers ",20602.8592162278
"TS1240","Siliana Nord  ",21959.0619276503
"TS1241","Siliana Sud ",22028.9588965057
"TS1242","Bou Arada ",24237.0818452344
"TS1243","Gaâfour ",23660.7605424351
"TS1244","El Krib ",20940.2227207669
"TS1245","Bourouis ",21676.8072665268
"TS1246","Makthar ",21950.126225657
"TS1247","Er-Rouhia ",21669.0772874915
"TS1248","Kesra ",22204.5152289069
"TS1249","Bargou ",24319.0781066016
"TS124A","El Aroussa ",23557.7594284288
"TS2110","Sousse Medina  ",3233.51521376522
"TS2111","Sousse Riadh ",1784.11133769632
"TS2112","Sousse Jawhara ",1884.25748184364
"TS2113","Sousse Sidi Abdelhamid ",2579.7984671939
"TS2114","Hammam Sousse ",3611.95702231499
"TS2115","Akouda ",9723.68044528817
"TS2116","Kalaâ Kebira ",10373.0611798448
"TS2117","Sidi Bou Ali ",12767.5379185796
