"ID","NAMES","POPTO2004_AsTheCrowFlies_POT_10000"
"TS1110","Carthage ",358123.62388221
"TS1111","La Medina ",1143261.94762315
"TS1112","Bab El Bhar ",1123312.54504289
"TS1113","Bab Souika ",1150580.78346456
"TS1114","El Omrane ",1141287.67003166
"TS1115","El Omrane Supérieur ",1055414.88639845
"TS1116","Ettahrir ",1089777.85012183
"TS1117","El Menzah ",1088366.28613971
"TS1118","Cité El Khadhra ",972429.77276891
"TS1119","Le Bardo ",1110899.69118395
"TS111A","Sijoumi ",1132820.80154342
"TS111B","Ezzouhour ",1124533.09120293
"TS111C","El Hrairia ",844369.10442512
"TS111D","Sidi Hassine ",821818.87932147
"TS111E","El Ouardia ",997139.35976473
"TS111F","El Kabaria ",890673.98468759
"TS111G","Sidi El Béchir ",1111997.53557135
"TS111H","Djebel Djelloud ",945546.96210302
"TS111I","La Goulette ",476107.89995077
"TS111J","Le Kram ",596938.19007766
"TS111K","La Marsa ",336619.40052448
"TS1120","L Ariana Ville  ",947197.14516536
"TS1121","Soukra ",599469.65913186
"TS1122","Raoued ",420881.87424417
"TS1123","Kalaât El Andalous ",60803.21158005
"TS1124","Sidi Thabet ",287479.92071684
"TS1125","Cité Ettadhamen ",955266.87714796
"TS1126","El Mnihla ",851606.74941377
"TS1130","Ben Arous  ",796428.41024812
"TS1131","La Nouvelle Medina ",670118.933359
"TS1132","El Mourouj ",740360.49976231
"TS1133","Hammam Lif ",291919.90113111
"TS1134","Hammam Chôtt ",187985.87435528
"TS1135","Bou Mhel El Bassatine ",415740.27242322
"TS1136","Ezzahra ",513640.70385963
"TS1137","Radès ",650361.84761414
"TS1138","Megrine ",843730.9165035
"TS1139","Mohamedia ",145910.05690394
"TS113A","Fouchana ",603712.85958799
"TS113B","Mornag ",101230.90495588
"TS1140","Mannouba  ",812597.98296968
"TS1141","Douar Hicher ",772793.82729617
"TS1142","Oued Ellil ",408544.71936142
"TS1143","Mornaguia ",75495.98672877
"TS1144","Borj Amri ",47914.9852848
"TS1145","Djedeida ",95034.26872
"TS1146","Tebourba ",60125.82037025
"TS1147","El Battane ",53534.46837171
"TS1150","Nabeul  ",124376.85697135
"TS1151","Dar Châabane El Fehri ",146172.50334661
"TS1152","Beni khiar ",120595.5486318
"TS1153","Korba ",92078.39370952
"TS1154","Menzel Temime ",81521.02726005
"TS1155","El Mida ",72105.59073783
"TS1156","Kelibia ",85050.19206446
"TS1157","Hammam El Guezaz ",64003.99630226
"TS1158","El Haouaria ",53854.53095147
"TS1159","Takelsa ",30464.27224693
"TS115A","Soliman ",63798.23186975
"TS115B","Menzel Bouzelfa ",75584.90594272
"TS115C","Beni Khalled ",89129.01468212
"TS115D","Grombalia ",77815.86548836
"TS115E","Bou Argoub ",97248.26142955
"TS115F","Hammamet ",104146.77444797
"TS1160","Zaghouan  ",41424.01959271
"TS1161","Ez-Zeriba ",35470.43704819
"TS1162","Bir Mchergua ",22941.27751601
"TS1163","El Fahs ",43721.55708672
"TS1164","En-Nadhour ",29223.77194635
"TS1165","Saouaf ",18678.33007898
"TS1170","Bizerte Nord  ",98008.46676169
"TS1171","Zarzouna ",117496.11468673
"TS1172","Bizerte Sud ",52400.14726362
"TS1173","Sedjnane ",42368.59346208
"TS1174","Djoumine ",37306.43978212
"TS1175","Mateur ",52871.09545994
"TS1176","Ghezala ",28766.53513401
"TS1177","Menzel Bourguiba ",80817.40986733
"TS1178","Tinja ",65682.75452329
"TS1179","Utique ",39592.55507066
"TS117A","Ghar El Meleh ",78042.20035651
"TS117B","Menzel Djemil ",109443.87354367
"TS117C","El Alia ",97407.94809223
"TS117D","Ras Djebel ",86849.98369575
"TS1210","Béja Nord  ",70181.94455059
"TS1211","Béja Sud ",40461.33706177
"TS1212","Amdoun ",27098.52362554
"TS1213","Nefza ",53264.27353055
"TS1214","Teboursouk ",26700.4410666
"TS1215","Tibar ",25826.50657969
"TS1216","Testour ",32915.83485148
"TS1217","Goubellat ",16552.38556895
"TS1218","Medjez El Bab ",40764.17552959
"TS1220","Jendouba  ",80226.98572856
"TS1221","Jendouba Nord ",69743.25704252
"TS1222","Bou Salem ",43446.00067992
"TS1223","Tabarka ",46225.99766555
"TS1224","Ain Draham ",45566.7438694
"TS1225","Fernana ",63596.99502207
"TS1226","Ghardimaou ",68370.952511
"TS1227","Oued Meliz ",24980.11572772
"TS1228","Balta - Bou Aouane ",46165.64032427
"TS1230","Kef Ouest  ",30481.2310606
"TS1231","Kef Est ",41390.90551929
"TS1232","Nebeur ",32001.01348242
"TS1233","Sakiet Sidi Youssef ",21225.25524809
"TS1234","Tajerouine ",30983.70259932
"TS1235","Kalâat Snan ",16701.0005532
"TS1236","Kalâat Khasbah ",8836.6121979
"TS1237","Djerissa ",12636.91519505
"TS1238","El Ksour ",18106.16250594
"TS1239","Dahmani ",31264.59037838
"TS123A","Es-Sers ",27215.06620561
"TS1240","Siliana Nord  ",30976.57565296
"TS1241","Siliana Sud ",33715.166802
"TS1242","Bou Arada ",21790.90216001
"TS1243","Gaâfour ",18210.56673488
"TS1244","El Krib ",22332.27720388
"TS1245","Bourouis ",16444.13447801
"TS1246","Makthar ",31258.83341537
"TS1247","Er-Rouhia ",32153.11041865
"TS1248","Kesra ",18025.69722382
"TS1249","Bargou ",13830.13813243
"TS124A","El Aroussa ",11951.7753241
"TS2110","Sousse Medina  ",244395.92186868
"TS2111","Sousse Riadh ",254646.96985354
"TS2112","Sousse Jawhara ",256085.18540292
"TS2113","Sousse Sidi Abdelhamid ",251124.63083276
"TS2114","Hammam Sousse ",213047.36589191
"TS2115","Akouda ",101194.30554593
"TS2116","Kalaâ Kebira ",90934.09621318
"TS2117","Sidi Bou Ali ",55197.47977894
"TS2118","Hergla ",30048.11431469
"TS2119","Enfidha ",44776.71641336
"TS211A","Bouficha ",26195.87977676
"TS211B","Kondar ",17483.12904187
"TS211C","Sidi El Héni ",15110.3099248
"TS211D","M saken ",101599.33123024
"TS211E","Kalaâ Seghira ",110924.79893794
"TS2120","Monastir  ",171468.05845687
"TS2121","Ouerdanine ",200945.48879658
"TS2122","Sahline ",230279.76379312
"TS2123","Zermadine ",61816.94989147
"TS2124","Beni Hassen ",95147.86012586
"TS2125","Jammel ",140479.1573213
"TS2126","Bembla ",211294.29630656
"TS2127","Moknine ",163061.94367708
"TS2128","Bekalta ",102015.63272711
"TS2129","Teboulba ",124184.11865196
"TS212A","Ksar Helal ",182934.89353074
"TS212B","Ksibet El Mediouni ",201605.32774445
"TS212C","Sayada-Lamta Bou-Hjar ",162983.18206753
"TS2130","Mahdia  ",124316.68001574
"TS2131","Bou Merdès ",44060.02215184
"TS2132","Ouled Chamekh ",22890.81529621
"TS2133","Chorbane ",29844.91143462
"TS2134","Hebira ",13043.31301288
"TS2135","Essouassi ",47640.69618381
"TS2136","El Djem ",50452.76651802
"TS2137","Chebba ",35456.12156918
"TS2138","Melloulech ",41736.84073841
"TS2139","Sidi Alouane ",50905.60576993
"TS213A","Ksour Essef ",67743.96821439
"TS2140","Sfax Ville  ",341781.17257165
"TS2141","Sfax Ouest ",326200.31457605
"TS2142","Sakiet Ezzit ",230100.93513778
"TS2143","Sakiet Eddaïer ",263975.2270179
