"ID", "VAR", "MODE", "SPAN","VALUE"
"TS111F","POPTO2004","AsTheCrowFlies",0,81261
"TS111F","POPTO2004","AsTheCrowFlies",10000,890673.98468759
"TS111F","POPTO2004","AsTheCrowFlies",20000,1752815.71631135
"TS111F","POPTO2004","AsTheCrowFlies",30000,2137352.0371024
"TS111F","POPTO2004","AsTheCrowFlies",40000,2467496.64687694
"TS111F","POPTO2004","AsTheCrowFlies",50000,2800647.48444258
"TS111F","POPTO2004","AsTheCrowFlies",60000,3112548.91411199
"TS111F","POPTO2004","AsTheCrowFlies",70000,3411630.73555503
"TS111F","POPTO2004","AsTheCrowFlies",80000,3715757.77171832
"TS111F","POPTO2004","AsTheCrowFlies",90000,4030563.93049554
"TS111F","POPTO2004","AsTheCrowFlies",1e+05,4350859.24388933
"TS111F","POPTO2004","AsTheCrowFlies",110000,4668824.8062833
"TS111F","POPTO2004","AsTheCrowFlies",120000,4978877.01853552
"TS111F","POPTO2004","AsTheCrowFlies",130000,5277954.17651452
"TS111F","POPTO2004","AsTheCrowFlies",140000,5564170.72103257
"TS111F","POPTO2004","AsTheCrowFlies",150000,5836080.34541883
"TS111F","POPTO2004","AsTheCrowFlies",160000,6092705.18827834
"TS111F","POPTO2004","AsTheCrowFlies",170000,6333726.31367414
"TS111F","POPTO2004","AsTheCrowFlies",180000,6559484.17240181
"TS111F","POPTO2004","AsTheCrowFlies",190000,6770790.21029509
"TS111F","POPTO2004","AsTheCrowFlies",2e+05,6968681.23672153
"TS111F","NBLOG2004","AsTheCrowFlies",0,20040
"TS111F","NBLOG2004","AsTheCrowFlies",10000,241407.17308017
"TS111F","NBLOG2004","AsTheCrowFlies",20000,471081.48499945
"TS111F","NBLOG2004","AsTheCrowFlies",30000,567912.1512503
"TS111F","NBLOG2004","AsTheCrowFlies",40000,651327.1575077
"TS111F","NBLOG2004","AsTheCrowFlies",50000,736519.80501391
"TS111F","NBLOG2004","AsTheCrowFlies",60000,815883.78475818
"TS111F","NBLOG2004","AsTheCrowFlies",70000,891435.70124273
"TS111F","NBLOG2004","AsTheCrowFlies",80000,967673.44548227
"TS111F","NBLOG2004","AsTheCrowFlies",90000,1045816.15702601
"TS111F","NBLOG2004","AsTheCrowFlies",1e+05,1124548.20703361
"TS111F","NBLOG2004","AsTheCrowFlies",110000,1202121.5689767
"TS111F","NBLOG2004","AsTheCrowFlies",120000,1277439.72624582
"TS111F","NBLOG2004","AsTheCrowFlies",130000,1350009.70982774
"TS111F","NBLOG2004","AsTheCrowFlies",140000,1419539.14159844
"TS111F","NBLOG2004","AsTheCrowFlies",150000,1485742.77246664
"TS111F","NBLOG2004","AsTheCrowFlies",160000,1548378.67020281
"TS111F","NBLOG2004","AsTheCrowFlies",170000,1607333.84178466
"TS111F","NBLOG2004","AsTheCrowFlies",180000,1662652.58228697
"TS111F","NBLOG2004","AsTheCrowFlies",190000,1714503.21365097
