"ID", "VAR", "MODE", "SPAN","VALUE"
"TS111G","POPTO2004","AsTheCrowFlies",0,29911
"TS111G","POPTO2004","AsTheCrowFlies",10000,1111997.53557135
"TS111G","POPTO2004","AsTheCrowFlies",20000,1846887.70144029
"TS111G","POPTO2004","AsTheCrowFlies",30000,2164405.82287779
"TS111G","POPTO2004","AsTheCrowFlies",40000,2474206.53696936
"TS111G","POPTO2004","AsTheCrowFlies",50000,2800663.19050856
"TS111G","POPTO2004","AsTheCrowFlies",60000,3107406.48223145
"TS111G","POPTO2004","AsTheCrowFlies",70000,3397325.99900937
"TS111G","POPTO2004","AsTheCrowFlies",80000,3689457.59262768
"TS111G","POPTO2004","AsTheCrowFlies",90000,3992546.58734004
"TS111G","POPTO2004","AsTheCrowFlies",1e+05,4303298.93326801
"TS111G","POPTO2004","AsTheCrowFlies",110000,4614208.18690962
"TS111G","POPTO2004","AsTheCrowFlies",120000,4919200.91062707
"TS111G","POPTO2004","AsTheCrowFlies",130000,5214725.169064
"TS111G","POPTO2004","AsTheCrowFlies",140000,5498652.93359499
"TS111G","POPTO2004","AsTheCrowFlies",150000,5769415.63939496
"TS111G","POPTO2004","AsTheCrowFlies",160000,6025888.33141708
"TS111G","POPTO2004","AsTheCrowFlies",170000,6267547.00540079
"TS111G","POPTO2004","AsTheCrowFlies",180000,6494507.36610537
"TS111G","POPTO2004","AsTheCrowFlies",190000,6707382.2102025
"TS111G","POPTO2004","AsTheCrowFlies",2e+05,6907059.18714746
"TS111G","NBLOG2004","AsTheCrowFlies",0,8694
"TS111G","NBLOG2004","AsTheCrowFlies",10000,301313.11808652
"TS111G","NBLOG2004","AsTheCrowFlies",20000,496171.48362654
"TS111G","NBLOG2004","AsTheCrowFlies",30000,574777.78535312
"TS111G","NBLOG2004","AsTheCrowFlies",40000,652867.24038994
"TS111G","NBLOG2004","AsTheCrowFlies",50000,736574.50724789
"TS111G","NBLOG2004","AsTheCrowFlies",60000,814682.28112465
"TS111G","NBLOG2004","AsTheCrowFlies",70000,887694.30632782
"TS111G","NBLOG2004","AsTheCrowFlies",80000,960618.49115431
"TS111G","NBLOG2004","AsTheCrowFlies",90000,1035659.53808821
"TS111G","NBLOG2004","AsTheCrowFlies",1e+05,1111996.1934349
"TS111G","NBLOG2004","AsTheCrowFlies",110000,1187885.67297822
"TS111G","NBLOG2004","AsTheCrowFlies",120000,1262036.73108102
"TS111G","NBLOG2004","AsTheCrowFlies",130000,1333794.96113987
"TS111G","NBLOG2004","AsTheCrowFlies",140000,1402799.40310255
"TS111G","NBLOG2004","AsTheCrowFlies",150000,1468742.16252162
"TS111G","NBLOG2004","AsTheCrowFlies",160000,1531355.25739882
"TS111G","NBLOG2004","AsTheCrowFlies",170000,1590481.79537254
"TS111G","NBLOG2004","AsTheCrowFlies",180000,1646113.11314051
"TS111G","NBLOG2004","AsTheCrowFlies",190000,1698368.44754066
"TS111G","NBLOG2004","AsTheCrowFlies",2e+05,1747444.12152611
"TS111G","IMMIG9404","AsTheCrowFlies",0,3246
"TS111G","IMMIG9404","AsTheCrowFlies",10000,147544.28794715
"TS111G","IMMIG9404","AsTheCrowFlies",20000,248913.38490235
"TS111G","IMMIG9404","AsTheCrowFlies",30000,279806.67117359
"TS111G","IMMIG9404","AsTheCrowFlies",40000,299507.44787575
"TS111G","IMMIG9404","AsTheCrowFlies",50000,316937.20093555
"TS111G","IMMIG9404","AsTheCrowFlies",60000,331972.21749093
"TS111G","IMMIG9404","AsTheCrowFlies",70000,346472.74582462
"TS111G","IMMIG9404","AsTheCrowFlies",80000,362474.66079288
"TS111G","IMMIG9404","AsTheCrowFlies",90000,380057.83153489
"TS111G","IMMIG9404","AsTheCrowFlies",1e+05,398140.7043149
"TS111G","IMMIG9404","AsTheCrowFlies",110000,415724.87174518
"TS111G","IMMIG9404","AsTheCrowFlies",120000,432373.87457114
"TS111G","IMMIG9404","AsTheCrowFlies",130000,448087.53526452
"TS111G","IMMIG9404","AsTheCrowFlies",140000,463008.22852689
"TS111G","IMMIG9404","AsTheCrowFlies",150000,477242.5492542
"TS111G","IMMIG9404","AsTheCrowFlies",160000,490829.49795515
"TS111G","IMMIG9404","AsTheCrowFlies",170000,503773.14817666
"TS111G","IMMIG9404","AsTheCrowFlies",180000,516075.12240658
"TS111G","IMMIG9404","AsTheCrowFlies",190000,527747.6736963
"TS111G","IMMIG9404","AsTheCrowFlies",2e+05,538812.70249273
"TS111G","EMIG9404","AsTheCrowFlies",0,2778
"TS111G","EMIG9404","AsTheCrowFlies",10000,163145.485831
"TS111G","EMIG9404","AsTheCrowFlies",20000,211505.8710096
"TS111G","EMIG9404","AsTheCrowFlies",30000,227385.44509286
"TS111G","EMIG9404","AsTheCrowFlies",40000,241505.88385736
"TS111G","EMIG9404","AsTheCrowFlies",50000,256963.43913636
"TS111G","EMIG9404","AsTheCrowFlies",60000,272347.60001001
"TS111G","EMIG9404","AsTheCrowFlies",70000,288445.63449793
"TS111G","EMIG9404","AsTheCrowFlies",80000,306421.33458536
"TS111G","EMIG9404","AsTheCrowFlies",90000,326006.32625779
"TS111G","EMIG9404","AsTheCrowFlies",1e+05,346169.31099955
"TS111G","EMIG9404","AsTheCrowFlies",110000,366045.50693847
"TS111G","EMIG9404","AsTheCrowFlies",120000,385244.26607758
"TS111G","EMIG9404","AsTheCrowFlies",130000,403709.14158691
"TS111G","EMIG9404","AsTheCrowFlies",140000,421480.08954866
"TS111G","EMIG9404","AsTheCrowFlies",150000,438564.54060998
"TS111G","EMIG9404","AsTheCrowFlies",160000,454925.12604888
"TS111G","EMIG9404","AsTheCrowFlies",170000,470513.29151259
"TS111G","EMIG9404","AsTheCrowFlies",180000,485297.72511182
"TS111G","EMIG9404","AsTheCrowFlies",190000,499273.66490507
"TS111G","EMIG9404","AsTheCrowFlies",2e+05,512458.6180548
