"ID", "VAR", "MODE", "SPAN","VALUE"
"TS111H","POPTO2004","AsTheCrowFlies",0,26490
"TS111H","POPTO2004","AsTheCrowFlies",10000,945546.96210302
"TS111H","POPTO2004","AsTheCrowFlies",20000,1780271.51655397
"TS111H","POPTO2004","AsTheCrowFlies",30000,2145003.41236562
"TS111H","POPTO2004","AsTheCrowFlies",40000,2470263.82562057
"TS111H","POPTO2004","AsTheCrowFlies",50000,2801554.76931728
"TS111H","POPTO2004","AsTheCrowFlies",60000,3110176.29823495
"TS111H","POPTO2004","AsTheCrowFlies",70000,3404153.25877526
"TS111H","POPTO2004","AsTheCrowFlies",80000,3702585.01863613
"TS111H","POPTO2004","AsTheCrowFlies",90000,4012329.37599686
"TS111H","POPTO2004","AsTheCrowFlies",1e+05,4328766.22414257
"TS111H","POPTO2004","AsTheCrowFlies",110000,4644062.61994435
"TS111H","POPTO2004","AsTheCrowFlies",120000,4952371.95398825
"TS111H","POPTO2004","AsTheCrowFlies",130000,5250393.95190168
"TS111H","POPTO2004","AsTheCrowFlies",140000,5536098.352473
"TS111H","POPTO2004","AsTheCrowFlies",150000,5807942.17155025
"TS111H","POPTO2004","AsTheCrowFlies",160000,6064855.14258279
"TS111H","POPTO2004","AsTheCrowFlies",170000,6306422.18726228
"TS111H","POPTO2004","AsTheCrowFlies",180000,6532895.11287408
"TS111H","POPTO2004","AsTheCrowFlies",190000,6745015.16128503
"TS111H","POPTO2004","AsTheCrowFlies",2e+05,6943770.74148672
"TS111H","NBLOG2004","AsTheCrowFlies",0,5724
"TS111H","NBLOG2004","AsTheCrowFlies",10000,258053.27299764
"TS111H","NBLOG2004","AsTheCrowFlies",20000,479476.2550776
"TS111H","NBLOG2004","AsTheCrowFlies",30000,570393.28655013
"TS111H","NBLOG2004","AsTheCrowFlies",40000,652422.12878428
"TS111H","NBLOG2004","AsTheCrowFlies",50000,737194.7951953
"TS111H","NBLOG2004","AsTheCrowFlies",60000,815725.88023799
"TS111H","NBLOG2004","AsTheCrowFlies",70000,889922.17722714
"TS111H","NBLOG2004","AsTheCrowFlies",80000,964663.56760662
"TS111H","NBLOG2004","AsTheCrowFlies",90000,1041513.058785
"TS111H","NBLOG2004","AsTheCrowFlies",1e+05,1119286.98509655
"TS111H","NBLOG2004","AsTheCrowFlies",110000,1196210.30126322
"TS111H","NBLOG2004","AsTheCrowFlies",120000,1271103.97625162
"TS111H","NBLOG2004","AsTheCrowFlies",130000,1343409.21335667
"TS111H","NBLOG2004","AsTheCrowFlies",140000,1412798.9618102
"TS111H","NBLOG2004","AsTheCrowFlies",150000,1478968.36227033
"TS111H","NBLOG2004","AsTheCrowFlies",160000,1541656.60664284
"TS111H","NBLOG2004","AsTheCrowFlies",170000,1600729.22970719
"TS111H","NBLOG2004","AsTheCrowFlies",180000,1656209.37224402
"TS111H","NBLOG2004","AsTheCrowFlies",190000,1708247.87915765
"TS111H","NBLOG2004","AsTheCrowFlies",2e+05,1757066.42339858
"TS111H","IMMIG9404","AsTheCrowFlies",0,1550
"TS111H","IMMIG9404","AsTheCrowFlies",10000,129447.61808743
"TS111H","IMMIG9404","AsTheCrowFlies",20000,240317.56855153
"TS111H","IMMIG9404","AsTheCrowFlies",30000,277254.37302122
"TS111H","IMMIG9404","AsTheCrowFlies",40000,298740.35190038
"TS111H","IMMIG9404","AsTheCrowFlies",50000,316650.94018172
"TS111H","IMMIG9404","AsTheCrowFlies",60000,332026.77846249
"TS111H","IMMIG9404","AsTheCrowFlies",70000,347216.77117265
"TS111H","IMMIG9404","AsTheCrowFlies",80000,364054.91876501
"TS111H","IMMIG9404","AsTheCrowFlies",90000,382298.33644615
"TS111H","IMMIG9404","AsTheCrowFlies",1e+05,400763.38767168
"TS111H","IMMIG9404","AsTheCrowFlies",110000,418516.03314371
"TS111H","IMMIG9404","AsTheCrowFlies",120000,435226.88624846
"TS111H","IMMIG9404","AsTheCrowFlies",130000,450968.35257898
"TS111H","IMMIG9404","AsTheCrowFlies",140000,465907.35187964
"TS111H","IMMIG9404","AsTheCrowFlies",150000,480148.41435727
"TS111H","IMMIG9404","AsTheCrowFlies",160000,493723.57262409
"TS111H","IMMIG9404","AsTheCrowFlies",170000,506634.35952082
"TS111H","IMMIG9404","AsTheCrowFlies",180000,518884.6073944
"TS111H","IMMIG9404","AsTheCrowFlies",190000,530490.9403899
"TS111H","IMMIG9404","AsTheCrowFlies",2e+05,541479.65671581
"TS111H","EMIG9404","AsTheCrowFlies",0,2285
"TS111H","EMIG9404","AsTheCrowFlies",10000,141182.29323436
"TS111H","EMIG9404","AsTheCrowFlies",20000,206435.72160253
"TS111H","EMIG9404","AsTheCrowFlies",30000,225917.56424583
"TS111H","EMIG9404","AsTheCrowFlies",40000,240945.90310555
"TS111H","EMIG9404","AsTheCrowFlies",50000,256519.63307542
"TS111H","EMIG9404","AsTheCrowFlies",60000,271986.19704233
"TS111H","EMIG9404","AsTheCrowFlies",70000,288485.9294779
"TS111H","EMIG9404","AsTheCrowFlies",80000,306991.42848609
"TS111H","EMIG9404","AsTheCrowFlies",90000,327018.61361577
"TS111H","EMIG9404","AsTheCrowFlies",1e+05,347487.73406342
"TS111H","EMIG9404","AsTheCrowFlies",110000,367574.16320532
"TS111H","EMIG9404","AsTheCrowFlies",120000,386941.23848024
"TS111H","EMIG9404","AsTheCrowFlies",130000,405561.55767133
"TS111H","EMIG9404","AsTheCrowFlies",140000,423476.0156177
"TS111H","EMIG9404","AsTheCrowFlies",150000,440680.89843781
"TS111H","EMIG9404","AsTheCrowFlies",160000,457129.73787405
"TS111H","EMIG9404","AsTheCrowFlies",170000,472771.79545121
"TS111H","EMIG9404","AsTheCrowFlies",180000,487579.13383638
"TS111H","EMIG9404","AsTheCrowFlies",190000,501552.85137145
"TS111H","EMIG9404","AsTheCrowFlies",2e+05,514716.46331479
