"ID", "VAR", "MODE", "SPAN","VALUE"
"TS111I","POPTO2004","AsTheCrowFlies",0,28407
"TS111I","POPTO2004","AsTheCrowFlies",10000,476107.89995077
"TS111I","POPTO2004","AsTheCrowFlies",20000,1461885.65396511
"TS111I","POPTO2004","AsTheCrowFlies",30000,1990906.78140935
"TS111I","POPTO2004","AsTheCrowFlies",40000,2391646.81878342
"TS111I","POPTO2004","AsTheCrowFlies",50000,2747615.54547416
"TS111I","POPTO2004","AsTheCrowFlies",60000,3049247.88544071
"TS111I","POPTO2004","AsTheCrowFlies",70000,3320712.67477161
"TS111I","POPTO2004","AsTheCrowFlies",80000,3591960.55213726
"TS111I","POPTO2004","AsTheCrowFlies",90000,3876859.95172753
"TS111I","POPTO2004","AsTheCrowFlies",1e+05,4174271.53863631
"TS111I","POPTO2004","AsTheCrowFlies",110000,4476863.7811837
"TS111I","POPTO2004","AsTheCrowFlies",120000,4777740.02101438
"TS111I","POPTO2004","AsTheCrowFlies",130000,5072345.35394216
"TS111I","POPTO2004","AsTheCrowFlies",140000,5357705.95277095
"TS111I","POPTO2004","AsTheCrowFlies",150000,5631574.12789424
"TS111I","POPTO2004","AsTheCrowFlies",160000,5892262.04046822
"TS111I","POPTO2004","AsTheCrowFlies",170000,6138787.50166351
"TS111I","POPTO2004","AsTheCrowFlies",180000,6370921.8813191
"TS111I","POPTO2004","AsTheCrowFlies",190000,6589047.05852493
"TS111I","POPTO2004","AsTheCrowFlies",2e+05,6793915.83944599
"TS111I","NBLOG2004","AsTheCrowFlies",0,8638
"TS111I","NBLOG2004","AsTheCrowFlies",10000,138162.30718344
"TS111I","NBLOG2004","AsTheCrowFlies",20000,403187.72514852
"TS111I","NBLOG2004","AsTheCrowFlies",30000,534878.42924513
"TS111I","NBLOG2004","AsTheCrowFlies",40000,636163.09757329
"TS111I","NBLOG2004","AsTheCrowFlies",50000,727507.46378383
"TS111I","NBLOG2004","AsTheCrowFlies",60000,804266.46015981
"TS111I","NBLOG2004","AsTheCrowFlies",70000,872607.92720707
"TS111I","NBLOG2004","AsTheCrowFlies",80000,940450.122878
"TS111I","NBLOG2004","AsTheCrowFlies",90000,1011168.03848981
"TS111I","NBLOG2004","AsTheCrowFlies",1e+05,1084332.4609759
"TS111I","NBLOG2004","AsTheCrowFlies",110000,1158183.50243469
"TS111I","NBLOG2004","AsTheCrowFlies",120000,1231228.86457943
"TS111I","NBLOG2004","AsTheCrowFlies",130000,1302594.21311278
"TS111I","NBLOG2004","AsTheCrowFlies",140000,1371741.35263812
"TS111I","NBLOG2004","AsTheCrowFlies",150000,1438220.8605303
"TS111I","NBLOG2004","AsTheCrowFlies",160000,1501643.71503102
"TS111I","NBLOG2004","AsTheCrowFlies",170000,1561750.14021974
"TS111I","NBLOG2004","AsTheCrowFlies",180000,1618450.9536138
"TS111I","NBLOG2004","AsTheCrowFlies",190000,1671809.35538618
"TS111I","NBLOG2004","AsTheCrowFlies",2e+05,1721987.65625303
"TS111I","IMMIG9404","AsTheCrowFlies",0,3981
"TS111I","IMMIG9404","AsTheCrowFlies",10000,67374.46754577
"TS111I","IMMIG9404","AsTheCrowFlies",20000,202533.40799723
"TS111I","IMMIG9404","AsTheCrowFlies",30000,259692.41332011
"TS111I","IMMIG9404","AsTheCrowFlies",40000,289932.21204487
"TS111I","IMMIG9404","AsTheCrowFlies",50000,311544.92999259
"TS111I","IMMIG9404","AsTheCrowFlies",60000,327935.09549836
"TS111I","IMMIG9404","AsTheCrowFlies",70000,342546.52022678
"TS111I","IMMIG9404","AsTheCrowFlies",80000,358160.21530607
"TS111I","IMMIG9404","AsTheCrowFlies",90000,375282.74098847
"TS111I","IMMIG9404","AsTheCrowFlies",1e+05,393043.84414816
"TS111I","IMMIG9404","AsTheCrowFlies",110000,410482.41492808
"TS111I","IMMIG9404","AsTheCrowFlies",120000,427117.05800498
"TS111I","IMMIG9404","AsTheCrowFlies",130000,442895.74764079
"TS111I","IMMIG9404","AsTheCrowFlies",140000,457927.80790683
"TS111I","IMMIG9404","AsTheCrowFlies",150000,472301.02617711
"TS111I","IMMIG9404","AsTheCrowFlies",160000,486041.47522766
"TS111I","IMMIG9404","AsTheCrowFlies",170000,499143.09657557
"TS111I","IMMIG9404","AsTheCrowFlies",180000,511600.40696576
"TS111I","IMMIG9404","AsTheCrowFlies",190000,523422.00565929
"TS111I","IMMIG9404","AsTheCrowFlies",2e+05,534629.13538508
"TS111I","EMIG9404","AsTheCrowFlies",0,2765
"TS111I","EMIG9404","AsTheCrowFlies",10000,56513.79639928
"TS111I","EMIG9404","AsTheCrowFlies",20000,174084.59612099
"TS111I","EMIG9404","AsTheCrowFlies",30000,212592.28139157
"TS111I","EMIG9404","AsTheCrowFlies",40000,234034.44283224
"TS111I","EMIG9404","AsTheCrowFlies",50000,251880.83984935
"TS111I","EMIG9404","AsTheCrowFlies",60000,267297.61851589
"TS111I","EMIG9404","AsTheCrowFlies",70000,282301.55711708
"TS111I","EMIG9404","AsTheCrowFlies",80000,298781.60535087
"TS111I","EMIG9404","AsTheCrowFlies",90000,317011.89535576
"TS111I","EMIG9404","AsTheCrowFlies",1e+05,336245.68301273
"TS111I","EMIG9404","AsTheCrowFlies",110000,355633.98041134
"TS111I","EMIG9404","AsTheCrowFlies",120000,374675.14667242
"TS111I","EMIG9404","AsTheCrowFlies",130000,393199.37414105
"TS111I","EMIG9404","AsTheCrowFlies",140000,411170.59907954
"TS111I","EMIG9404","AsTheCrowFlies",150000,428549.305559
"TS111I","EMIG9404","AsTheCrowFlies",160000,445265.73398392
"TS111I","EMIG9404","AsTheCrowFlies",170000,461246.20913542
"TS111I","EMIG9404","AsTheCrowFlies",180000,476439.80092025
"TS111I","EMIG9404","AsTheCrowFlies",190000,490827.53718589
"TS111I","EMIG9404","AsTheCrowFlies",2e+05,504417.75951795
