"ID", "VAR", "MODE", "SPAN","VALUE"
"TS111J","POPTO2004","AsTheCrowFlies",0,58152
"TS111J","POPTO2004","AsTheCrowFlies",10000,596938.19007766
"TS111J","POPTO2004","AsTheCrowFlies",20000,1555874.51510105
"TS111J","POPTO2004","AsTheCrowFlies",30000,2024872.90134761
"TS111J","POPTO2004","AsTheCrowFlies",40000,2399564.98488001
"TS111J","POPTO2004","AsTheCrowFlies",50000,2749224.24690598
"TS111J","POPTO2004","AsTheCrowFlies",60000,3050104.77103418
"TS111J","POPTO2004","AsTheCrowFlies",70000,3318611.15654976
"TS111J","POPTO2004","AsTheCrowFlies",80000,3583870.02287004
"TS111J","POPTO2004","AsTheCrowFlies",90000,3861809.63299701
"TS111J","POPTO2004","AsTheCrowFlies",1e+05,4152992.88898395
"TS111J","POPTO2004","AsTheCrowFlies",110000,4450659.20441639
"TS111J","POPTO2004","AsTheCrowFlies",120000,4747754.66704953
"TS111J","POPTO2004","AsTheCrowFlies",130000,5039435.52936935
"TS111J","POPTO2004","AsTheCrowFlies",140000,5322586.6374262
"TS111J","POPTO2004","AsTheCrowFlies",150000,5594929.84808498
"TS111J","POPTO2004","AsTheCrowFlies",160000,5854745.37163605
"TS111J","POPTO2004","AsTheCrowFlies",170000,6100967.37743644
"TS111J","POPTO2004","AsTheCrowFlies",180000,6333245.14873556
"TS111J","POPTO2004","AsTheCrowFlies",190000,6551833.74373092
"TS111J","POPTO2004","AsTheCrowFlies",2e+05,6757379.28684662
"TS111J","NBLOG2004","AsTheCrowFlies",0,16803
"TS111J","NBLOG2004","AsTheCrowFlies",10000,173870.6020923
"TS111J","NBLOG2004","AsTheCrowFlies",20000,427633.42300544
"TS111J","NBLOG2004","AsTheCrowFlies",30000,543363.48699629
"TS111J","NBLOG2004","AsTheCrowFlies",40000,637681.46705095
"TS111J","NBLOG2004","AsTheCrowFlies",50000,727429.15161896
"TS111J","NBLOG2004","AsTheCrowFlies",60000,804051.67869754
"TS111J","NBLOG2004","AsTheCrowFlies",70000,871539.75196827
"TS111J","NBLOG2004","AsTheCrowFlies",80000,937657.19618883
"TS111J","NBLOG2004","AsTheCrowFlies",90000,1006456.48839218
"TS111J","NBLOG2004","AsTheCrowFlies",1e+05,1078002.643405
"TS111J","NBLOG2004","AsTheCrowFlies",110000,1150654.15993129
"TS111J","NBLOG2004","AsTheCrowFlies",120000,1222828.36905894
"TS111J","NBLOG2004","AsTheCrowFlies",130000,1293540.38759585
"TS111J","NBLOG2004","AsTheCrowFlies",140000,1362200.31532228
"TS111J","NBLOG2004","AsTheCrowFlies",150000,1428350.03138773
"TS111J","NBLOG2004","AsTheCrowFlies",160000,1491597.18642157
"TS111J","NBLOG2004","AsTheCrowFlies",170000,1551665.55949957
"TS111J","NBLOG2004","AsTheCrowFlies",180000,1608437.84612971
"TS111J","NBLOG2004","AsTheCrowFlies",190000,1661946.22907019
"TS111J","NBLOG2004","AsTheCrowFlies",2e+05,1712326.25143195
"TS111J","IMMIG9404","AsTheCrowFlies",0,7522
"TS111J","IMMIG9404","AsTheCrowFlies",10000,85908.24075896
"TS111J","IMMIG9404","AsTheCrowFlies",20000,214829.03731034
"TS111J","IMMIG9404","AsTheCrowFlies",30000,264498.46646857
"TS111J","IMMIG9404","AsTheCrowFlies",40000,291758.85460225
"TS111J","IMMIG9404","AsTheCrowFlies",50000,312446.81299024
"TS111J","IMMIG9404","AsTheCrowFlies",60000,328382.78770149
"TS111J","IMMIG9404","AsTheCrowFlies",70000,342289.74112786
"TS111J","IMMIG9404","AsTheCrowFlies",80000,357002.26230989
"TS111J","IMMIG9404","AsTheCrowFlies",90000,373352.21181143
"TS111J","IMMIG9404","AsTheCrowFlies",1e+05,390621.27657748
"TS111J","IMMIG9404","AsTheCrowFlies",110000,407812.56787707
"TS111J","IMMIG9404","AsTheCrowFlies",120000,424338.98542603
"TS111J","IMMIG9404","AsTheCrowFlies",130000,440063.12061845
"TS111J","IMMIG9404","AsTheCrowFlies",140000,455057.18704989
"TS111J","IMMIG9404","AsTheCrowFlies",150000,469404.91597186
"TS111J","IMMIG9404","AsTheCrowFlies",160000,483138.46492565
"TS111J","IMMIG9404","AsTheCrowFlies",170000,496255.43397313
"TS111J","IMMIG9404","AsTheCrowFlies",180000,508749.17518966
"TS111J","IMMIG9404","AsTheCrowFlies",190000,520624.2774887
"TS111J","IMMIG9404","AsTheCrowFlies",2e+05,531897.41985699
"TS111J","EMIG9404","AsTheCrowFlies",0,3212
"TS111J","EMIG9404","AsTheCrowFlies",10000,76831.30579816
"TS111J","EMIG9404","AsTheCrowFlies",20000,184887.02037723
"TS111J","EMIG9404","AsTheCrowFlies",30000,216434.58385343
"TS111J","EMIG9404","AsTheCrowFlies",40000,235518.0529122
"TS111J","EMIG9404","AsTheCrowFlies",50000,252830.08219561
"TS111J","EMIG9404","AsTheCrowFlies",60000,268071.79828653
"TS111J","EMIG9404","AsTheCrowFlies",70000,282682.67359194
"TS111J","EMIG9404","AsTheCrowFlies",80000,298607.18066158
"TS111J","EMIG9404","AsTheCrowFlies",90000,316339.03779095
"TS111J","EMIG9404","AsTheCrowFlies",1e+05,335213.73516267
"TS111J","EMIG9404","AsTheCrowFlies",110000,354355.77867594
"TS111J","EMIG9404","AsTheCrowFlies",120000,373206.66627066
"TS111J","EMIG9404","AsTheCrowFlies",130000,391558.077801
"TS111J","EMIG9404","AsTheCrowFlies",140000,409365.71565006
"TS111J","EMIG9404","AsTheCrowFlies",150000,426599.23747855
"TS111J","EMIG9404","AsTheCrowFlies",160000,443199.67110113
"TS111J","EMIG9404","AsTheCrowFlies",170000,459098.1856485
"TS111J","EMIG9404","AsTheCrowFlies",180000,474242.52427159
"TS111J","EMIG9404","AsTheCrowFlies",190000,488608.88156475
"TS111J","EMIG9404","AsTheCrowFlies",2e+05,502199.83696213
