"ID", "VAR", "MODE", "SPAN","VALUE"
"TS111K","POPTO2004","AsTheCrowFlies",0,77890
"TS111K","POPTO2004","AsTheCrowFlies",10000,336619.40052448
"TS111K","POPTO2004","AsTheCrowFlies",20000,1244055.75273179
"TS111K","POPTO2004","AsTheCrowFlies",30000,1862278.63195823
"TS111K","POPTO2004","AsTheCrowFlies",40000,2302990.32470264
"TS111K","POPTO2004","AsTheCrowFlies",50000,2681221.97112936
"TS111K","POPTO2004","AsTheCrowFlies",60000,2991964.04190273
"TS111K","POPTO2004","AsTheCrowFlies",70000,3258196.35573663
"TS111K","POPTO2004","AsTheCrowFlies",80000,3513635.22356198
"TS111K","POPTO2004","AsTheCrowFlies",90000,3779150.41107118
"TS111K","POPTO2004","AsTheCrowFlies",1e+05,4059050.39165604
"TS111K","POPTO2004","AsTheCrowFlies",110000,4348208.60385393
"TS111K","POPTO2004","AsTheCrowFlies",120000,4639614.09494558
"TS111K","POPTO2004","AsTheCrowFlies",130000,4927893.22777754
"TS111K","POPTO2004","AsTheCrowFlies",140000,5209461.51658656
"TS111K","POPTO2004","AsTheCrowFlies",150000,5481729.55464331
"TS111K","POPTO2004","AsTheCrowFlies",160000,5742715.49705008
"TS111K","POPTO2004","AsTheCrowFlies",170000,5991073.51908691
"TS111K","POPTO2004","AsTheCrowFlies",180000,6226166.22586344
"TS111K","POPTO2004","AsTheCrowFlies",190000,6447994.63480772
"TS111K","POPTO2004","AsTheCrowFlies",2e+05,6657010.38391573
"TS111K","NBLOG2004","AsTheCrowFlies",0,23237
"TS111K","NBLOG2004","AsTheCrowFlies",10000,99514.42547014
"TS111K","NBLOG2004","AsTheCrowFlies",20000,346012.5318573
"TS111K","NBLOG2004","AsTheCrowFlies",30000,502701.20645461
"TS111K","NBLOG2004","AsTheCrowFlies",40000,614233.58990656
"TS111K","NBLOG2004","AsTheCrowFlies",50000,711359.44008163
"TS111K","NBLOG2004","AsTheCrowFlies",60000,790575.96432959
"TS111K","NBLOG2004","AsTheCrowFlies",70000,857445.65619994
"TS111K","NBLOG2004","AsTheCrowFlies",80000,920975.74495874
"TS111K","NBLOG2004","AsTheCrowFlies",90000,986600.96003818
"TS111K","NBLOG2004","AsTheCrowFlies",1e+05,1055359.15909069
"TS111K","NBLOG2004","AsTheCrowFlies",110000,1125971.73247879
"TS111K","NBLOG2004","AsTheCrowFlies",120000,1196809.34913661
"TS111K","NBLOG2004","AsTheCrowFlies",130000,1266719.83067828
"TS111K","NBLOG2004","AsTheCrowFlies",140000,1334988.3987615
"TS111K","NBLOG2004","AsTheCrowFlies",150000,1401088.88413975
"TS111K","NBLOG2004","AsTheCrowFlies",160000,1464578.24809726
"TS111K","NBLOG2004","AsTheCrowFlies",170000,1525122.47803651
"TS111K","NBLOG2004","AsTheCrowFlies",180000,1582539.84588901
"TS111K","NBLOG2004","AsTheCrowFlies",190000,1636802.1402744
"TS111K","NBLOG2004","AsTheCrowFlies",2e+05,1687997.03693746
"TS111K","IMMIG9404","AsTheCrowFlies",0,7386
"TS111K","IMMIG9404","AsTheCrowFlies",10000,51200.84234846
"TS111K","IMMIG9404","AsTheCrowFlies",20000,173730.01695637
"TS111K","IMMIG9404","AsTheCrowFlies",30000,244250.88594619
"TS111K","IMMIG9404","AsTheCrowFlies",40000,280878.75086146
"TS111K","IMMIG9404","AsTheCrowFlies",50000,305820.81135015
"TS111K","IMMIG9404","AsTheCrowFlies",60000,323696.94129597
"TS111K","IMMIG9404","AsTheCrowFlies",70000,338039.06383456
"TS111K","IMMIG9404","AsTheCrowFlies",80000,352268.40291321
"TS111K","IMMIG9404","AsTheCrowFlies",90000,367897.45659887
"TS111K","IMMIG9404","AsTheCrowFlies",1e+05,384629.62858767
"TS111K","IMMIG9404","AsTheCrowFlies",110000,401563.82407677
"TS111K","IMMIG9404","AsTheCrowFlies",120000,418032.42612447
"TS111K","IMMIG9404","AsTheCrowFlies",130000,433792.99937938
"TS111K","IMMIG9404","AsTheCrowFlies",140000,448858.07959881
"TS111K","IMMIG9404","AsTheCrowFlies",150000,463294.77043911
"TS111K","IMMIG9404","AsTheCrowFlies",160000,477136.2200313
"TS111K","IMMIG9404","AsTheCrowFlies",170000,490381.48560066
"TS111K","IMMIG9404","AsTheCrowFlies",180000,503021.3061431
"TS111K","IMMIG9404","AsTheCrowFlies",190000,515055.2869008
"TS111K","IMMIG9404","AsTheCrowFlies",2e+05,526495.23166394
"TS111K","EMIG9404","AsTheCrowFlies",0,5026
"TS111K","EMIG9404","AsTheCrowFlies",10000,28725.08493531
"TS111K","EMIG9404","AsTheCrowFlies",20000,148211.72831571
"TS111K","EMIG9404","AsTheCrowFlies",30000,200908.69199035
