"ID", "VAR", "MODE", "SPAN","VALUE"
"TS117C","POPTO2004","AsTheCrowFlies",0,24539
"TS117C","POPTO2004","AsTheCrowFlies",10000,97407.94809223
"TS117C","POPTO2004","AsTheCrowFlies",20000,289971.47067147
"TS117C","POPTO2004","AsTheCrowFlies",30000,762059.06613713
"TS117C","POPTO2004","AsTheCrowFlies",40000,1403830.7969279
"TS117C","POPTO2004","AsTheCrowFlies",50000,1933772.61765376
"TS117C","POPTO2004","AsTheCrowFlies",60000,2355963.30977272
"TS117C","POPTO2004","AsTheCrowFlies",70000,2717465.00219628
"TS117C","POPTO2004","AsTheCrowFlies",80000,3038964.75484161
"TS117C","POPTO2004","AsTheCrowFlies",90000,3334060.27463691
"TS117C","POPTO2004","AsTheCrowFlies",1e+05,3615618.71368814
"TS117C","POPTO2004","AsTheCrowFlies",110000,3892308.93932331
"TS117C","POPTO2004","AsTheCrowFlies",120000,4167418.34575193
"TS117C","POPTO2004","AsTheCrowFlies",130000,4440718.30101427
"TS117C","POPTO2004","AsTheCrowFlies",140000,4710682.92052923
"TS117C","POPTO2004","AsTheCrowFlies",150000,4975638.95367508
"TS117C","POPTO2004","AsTheCrowFlies",160000,5234041.5164352
"TS117C","POPTO2004","AsTheCrowFlies",170000,5484499.61824874
"TS117C","POPTO2004","AsTheCrowFlies",180000,5725847.45728152
"TS117C","POPTO2004","AsTheCrowFlies",190000,5957245.05299449
"TS117C","POPTO2004","AsTheCrowFlies",2e+05,6178224.49176034
"TS117C","NBLOG2004","AsTheCrowFlies",0,6069
"TS117C","NBLOG2004","AsTheCrowFlies",10000,27877.25559988
"TS117C","NBLOG2004","AsTheCrowFlies",20000,80928.24483568
"TS117C","NBLOG2004","AsTheCrowFlies",30000,205819.09281681
"TS117C","NBLOG2004","AsTheCrowFlies",40000,374615.5829114
"TS117C","NBLOG2004","AsTheCrowFlies",50000,512268.0337833
"TS117C","NBLOG2004","AsTheCrowFlies",60000,620322.38932482
"TS117C","NBLOG2004","AsTheCrowFlies",70000,711690.27206853
"TS117C","NBLOG2004","AsTheCrowFlies",80000,791963.88602391
"TS117C","NBLOG2004","AsTheCrowFlies",90000,864968.82822231
"TS117C","NBLOG2004","AsTheCrowFlies",1e+05,934354.62281061
"TS117C","NBLOG2004","AsTheCrowFlies",110000,1002490.97461517
"TS117C","NBLOG2004","AsTheCrowFlies",120000,1070203.24742516
"TS117C","NBLOG2004","AsTheCrowFlies",130000,1137390.42905318
"TS117C","NBLOG2004","AsTheCrowFlies",140000,1203668.32306489
"TS117C","NBLOG2004","AsTheCrowFlies",150000,1268663.09176617
"TS117C","NBLOG2004","AsTheCrowFlies",160000,1332049.05051955
"TS117C","NBLOG2004","AsTheCrowFlies",170000,1393526.62024331
"TS117C","NBLOG2004","AsTheCrowFlies",180000,1452829.46100268
"TS117C","NBLOG2004","AsTheCrowFlies",190000,1509753.05184186
"TS117C","NBLOG2004","AsTheCrowFlies",2e+05,1564174.7352538
"TS117C","IMMIG9404","AsTheCrowFlies",0,936
"TS117C","IMMIG9404","AsTheCrowFlies",10000,5370.68199604
"TS117C","IMMIG9404","AsTheCrowFlies",20000,17945.69439824
"TS117C","IMMIG9404","AsTheCrowFlies",30000,71843.42824734
"TS117C","IMMIG9404","AsTheCrowFlies",40000,148794.76194723
