"ID", "VAR", "MODE", "SPAN","VALUE"
"TS211B","POPTO2004","AsTheCrowFlies",0,11636
"TS211B","POPTO2004","AsTheCrowFlies",10000,17483.12904187
"TS211B","POPTO2004","AsTheCrowFlies",20000,163328.04806076
"TS211B","POPTO2004","AsTheCrowFlies",30000,436626.91857599
"TS211B","POPTO2004","AsTheCrowFlies",40000,744582.16033878
"TS211B","POPTO2004","AsTheCrowFlies",50000,1105711.35917318
"TS211B","POPTO2004","AsTheCrowFlies",60000,1573289.92450848
"TS211B","POPTO2004","AsTheCrowFlies",70000,2156643.67009671
"TS211B","POPTO2004","AsTheCrowFlies",80000,2808354.97436069
"TS211B","POPTO2004","AsTheCrowFlies",90000,3475131.42350746
"TS211B","POPTO2004","AsTheCrowFlies",1e+05,4118025.50996266
"TS211B","POPTO2004","AsTheCrowFlies",110000,4712832.03821289
"TS211B","POPTO2004","AsTheCrowFlies",120000,5248145.04522703
"TS211B","POPTO2004","AsTheCrowFlies",130000,5722350.63043648
"TS211B","POPTO2004","AsTheCrowFlies",140000,6139743.4723063
"TS211B","POPTO2004","AsTheCrowFlies",150000,6507102.27592184
"TS211B","POPTO2004","AsTheCrowFlies",160000,6831500.27750149
"TS211B","POPTO2004","AsTheCrowFlies",170000,7119274.92145941
"TS211B","POPTO2004","AsTheCrowFlies",180000,7375730.19352889
"TS211B","POPTO2004","AsTheCrowFlies",190000,7605183.98224363
"TS211B","POPTO2004","AsTheCrowFlies",2e+05,7811131.4556199
"TS211B","NBLOG2004","AsTheCrowFlies",0,2186
"TS211B","NBLOG2004","AsTheCrowFlies",10000,3481.5662878
"TS211B","NBLOG2004","AsTheCrowFlies",20000,37691.73400167
"TS211B","NBLOG2004","AsTheCrowFlies",30000,108920.33561795
"TS211B","NBLOG2004","AsTheCrowFlies",40000,189264.62638582
"TS211B","NBLOG2004","AsTheCrowFlies",50000,280854.42183056
"TS211B","NBLOG2004","AsTheCrowFlies",60000,398602.98742713
"TS211B","NBLOG2004","AsTheCrowFlies",70000,546137.89824749
"TS211B","NBLOG2004","AsTheCrowFlies",80000,711405.7210588
"TS211B","NBLOG2004","AsTheCrowFlies",90000,880648.61791152
"TS211B","NBLOG2004","AsTheCrowFlies",1e+05,1043766.66080317
"TS211B","NBLOG2004","AsTheCrowFlies",110000,1194427.25351436
"TS211B","NBLOG2004","AsTheCrowFlies",120000,1329646.71581904
"TS211B","NBLOG2004","AsTheCrowFlies",130000,1449036.87314334
"TS211B","NBLOG2004","AsTheCrowFlies",140000,1553775.69597338
"TS211B","NBLOG2004","AsTheCrowFlies",150000,1645689.70523926
"TS211B","NBLOG2004","AsTheCrowFlies",160000,1726666.29837765
"TS211B","NBLOG2004","AsTheCrowFlies",170000,1798378.49571468
"TS211B","NBLOG2004","AsTheCrowFlies",180000,1862208.86896769
"TS211B","NBLOG2004","AsTheCrowFlies",190000,1919268.04149772
"TS211B","NBLOG2004","AsTheCrowFlies",2e+05,1970444.41138278
"TS211B","IMMIG9404","AsTheCrowFlies",0,223
"TS211B","IMMIG9404","AsTheCrowFlies",10000,382.0389865
"TS211B","IMMIG9404","AsTheCrowFlies",20000,7288.51944025
"TS211B","IMMIG9404","AsTheCrowFlies",30000,30794.71383785
"TS211B","IMMIG9404","AsTheCrowFlies",40000,56840.35157993
"TS211B","IMMIG9404","AsTheCrowFlies",50000,82524.17819252
"TS211B","IMMIG9404","AsTheCrowFlies",60000,117123.08619085
"TS211B","IMMIG9404","AsTheCrowFlies",70000,164388.96426959
"TS211B","IMMIG9404","AsTheCrowFlies",80000,218899.69740064
"TS211B","IMMIG9404","AsTheCrowFlies",90000,274135.29046034
"TS211B","IMMIG9404","AsTheCrowFlies",1e+05,325849.48215791
"TS211B","IMMIG9404","AsTheCrowFlies",110000,371977.05875188
"TS211B","IMMIG9404","AsTheCrowFlies",120000,411984.85902963
"TS211B","IMMIG9404","AsTheCrowFlies",130000,446242.4980226
"TS211B","IMMIG9404","AsTheCrowFlies",140000,475514.32787989
"TS211B","IMMIG9404","AsTheCrowFlies",150000,500633.2712042
"TS211B","IMMIG9404","AsTheCrowFlies",160000,522343.49385747
"TS211B","IMMIG9404","AsTheCrowFlies",170000,541253.16863686
"TS211B","IMMIG9404","AsTheCrowFlies",180000,557840.6161875
"TS211B","IMMIG9404","AsTheCrowFlies",190000,572478.18765481
"TS211B","IMMIG9404","AsTheCrowFlies",2e+05,585457.33021542
"TS211B","EMIG9404","AsTheCrowFlies",0,368
"TS211B","EMIG9404","AsTheCrowFlies",10000,523.60578008
"TS211B","EMIG9404","AsTheCrowFlies",20000,9142.94988726
"TS211B","EMIG9404","AsTheCrowFlies",30000,29833.24142374
"TS211B","EMIG9404","AsTheCrowFlies",40000,49670.32607553
"TS211B","EMIG9404","AsTheCrowFlies",50000,70155.35562255
"TS211B","EMIG9404","AsTheCrowFlies",60000,99865.81753546
"TS211B","EMIG9404","AsTheCrowFlies",70000,142238.3579579
"TS211B","EMIG9404","AsTheCrowFlies",80000,192307.78268047
"TS211B","EMIG9404","AsTheCrowFlies",90000,244246.01101152
"TS211B","EMIG9404","AsTheCrowFlies",1e+05,294192.41860209
"TS211B","EMIG9404","AsTheCrowFlies",110000,340031.07818052
"TS211B","EMIG9404","AsTheCrowFlies",120000,380893.09303837
"TS211B","EMIG9404","AsTheCrowFlies",130000,416729.05165569
"TS211B","EMIG9404","AsTheCrowFlies",140000,447940.75602735
