"ID", "VAR", "MODE", "SPAN","VALUE"
"TS214D","POPTO2004","AsTheCrowFlies",0,29616
"TS214D","POPTO2004","AsTheCrowFlies",10000,29616.88881196
"TS214D","POPTO2004","AsTheCrowFlies",20000,39106.16880676
"TS214D","POPTO2004","AsTheCrowFlies",30000,80836.30342526
"TS214D","POPTO2004","AsTheCrowFlies",40000,169848.61065761
"TS214D","POPTO2004","AsTheCrowFlies",50000,307085.56463697
"TS214D","POPTO2004","AsTheCrowFlies",60000,498844.95056871
"TS214D","POPTO2004","AsTheCrowFlies",70000,742069.28652034
"TS214D","POPTO2004","AsTheCrowFlies",80000,1022905.14417028
"TS214D","POPTO2004","AsTheCrowFlies",90000,1331558.54066036
"TS214D","POPTO2004","AsTheCrowFlies",1e+05,1661436.72344733
"TS214D","POPTO2004","AsTheCrowFlies",110000,2004315.52258263
"TS214D","POPTO2004","AsTheCrowFlies",120000,2350729.27285349
"TS214D","POPTO2004","AsTheCrowFlies",130000,2693995.4464913
"TS214D","POPTO2004","AsTheCrowFlies",140000,3032730.51133818
"TS214D","POPTO2004","AsTheCrowFlies",150000,3369687.12790123
"TS214D","POPTO2004","AsTheCrowFlies",160000,3708551.41174841
"TS214D","POPTO2004","AsTheCrowFlies",170000,4051291.15166289
"TS214D","POPTO2004","AsTheCrowFlies",180000,4397208.0419721
"TS214D","POPTO2004","AsTheCrowFlies",190000,4743375.51529557
"TS214D","POPTO2004","AsTheCrowFlies",2e+05,5085661.21111776
"TS214D","NBLOG2004","AsTheCrowFlies",0,5459
"TS214D","NBLOG2004","AsTheCrowFlies",10000,5459.17220911
"TS214D","NBLOG2004","AsTheCrowFlies",20000,7410.64947638
"TS214D","NBLOG2004","AsTheCrowFlies",30000,16711.24369485
"TS214D","NBLOG2004","AsTheCrowFlies",40000,37475.84696378
"TS214D","NBLOG2004","AsTheCrowFlies",50000,70583.77968593
"TS214D","NBLOG2004","AsTheCrowFlies",60000,118777.68000586
"TS214D","NBLOG2004","AsTheCrowFlies",70000,180811.59454496
"TS214D","NBLOG2004","AsTheCrowFlies",80000,252101.2802151
"TS214D","NBLOG2004","AsTheCrowFlies",90000,329673.53747939
"TS214D","NBLOG2004","AsTheCrowFlies",1e+05,411919.35084715
"TS214D","NBLOG2004","AsTheCrowFlies",110000,496991.37512896
"TS214D","NBLOG2004","AsTheCrowFlies",120000,582702.47389513
"TS214D","NBLOG2004","AsTheCrowFlies",130000,667524.8430003
"TS214D","NBLOG2004","AsTheCrowFlies",140000,751246.15518647
"TS214D","NBLOG2004","AsTheCrowFlies",150000,834675.15718781
"TS214D","NBLOG2004","AsTheCrowFlies",160000,918821.05308533
"TS214D","NBLOG2004","AsTheCrowFlies",170000,1004219.10592285
"TS214D","NBLOG2004","AsTheCrowFlies",180000,1090696.89203757
