"ID", "VAR", "MODE", "SPAN","VALUE"
"TS214E","POPTO2004","AsTheCrowFlies",0,30676
"TS214E","POPTO2004","AsTheCrowFlies",10000,30724.88283693
"TS214E","POPTO2004","AsTheCrowFlies",20000,69755.7092044
"TS214E","POPTO2004","AsTheCrowFlies",30000,233858.63113967
"TS214E","POPTO2004","AsTheCrowFlies",40000,430173.60708715
"TS214E","POPTO2004","AsTheCrowFlies",50000,606463.02826346
"TS214E","POPTO2004","AsTheCrowFlies",60000,795949.26799965
"TS214E","POPTO2004","AsTheCrowFlies",70000,1022856.01242955
"TS214E","POPTO2004","AsTheCrowFlies",80000,1294283.36195804
"TS214E","POPTO2004","AsTheCrowFlies",90000,1602162.64442949
"TS214E","POPTO2004","AsTheCrowFlies",1e+05,1930564.02130118
"TS214E","POPTO2004","AsTheCrowFlies",110000,2265722.60359844
"TS214E","POPTO2004","AsTheCrowFlies",120000,2601177.47030381
"TS214E","POPTO2004","AsTheCrowFlies",130000,2937708.49093408
"TS214E","POPTO2004","AsTheCrowFlies",140000,3279823.2137814
"TS214E","POPTO2004","AsTheCrowFlies",150000,3631425.96423058
"TS214E","POPTO2004","AsTheCrowFlies",160000,3993182.33150744
"TS214E","POPTO2004","AsTheCrowFlies",170000,4362211.12001306
"TS214E","POPTO2004","AsTheCrowFlies",180000,4733234.80832135
"TS214E","POPTO2004","AsTheCrowFlies",190000,5100092.77402024
"TS214E","POPTO2004","AsTheCrowFlies",2e+05,5456956.21509942
"TS214E","NBLOG2004","AsTheCrowFlies",0,9014
"TS214E","NBLOG2004","AsTheCrowFlies",10000,9025.34625031
"TS214E","NBLOG2004","AsTheCrowFlies",20000,18873.37214545
"TS214E","NBLOG2004","AsTheCrowFlies",30000,64323.28331929
"TS214E","NBLOG2004","AsTheCrowFlies",40000,117944.7191768
"TS214E","NBLOG2004","AsTheCrowFlies",50000,164124.45986616
"TS214E","NBLOG2004","AsTheCrowFlies",60000,212276.72525071
"TS214E","NBLOG2004","AsTheCrowFlies",70000,269204.93893496
"TS214E","NBLOG2004","AsTheCrowFlies",80000,337082.33990905
"TS214E","NBLOG2004","AsTheCrowFlies",90000,414075.51752238
"TS214E","NBLOG2004","AsTheCrowFlies",1e+05,496050.73307088
"TS214E","NBLOG2004","AsTheCrowFlies",110000,579324.66123278
"TS214E","NBLOG2004","AsTheCrowFlies",120000,662209.43544489
"TS214E","NBLOG2004","AsTheCrowFlies",130000,745032.1367547
"TS214E","NBLOG2004","AsTheCrowFlies",140000,829149.42651082
"TS214E","NBLOG2004","AsTheCrowFlies",150000,915747.34584708
"TS214E","NBLOG2004","AsTheCrowFlies",160000,1005122.42261377
"TS214E","NBLOG2004","AsTheCrowFlies",170000,1096601.68996541
"TS214E","NBLOG2004","AsTheCrowFlies",180000,1188855.03429007
"TS214E","NBLOG2004","AsTheCrowFlies",190000,1280301.42504667
"TS214E","NBLOG2004","AsTheCrowFlies",2e+05,1369433.09706575
"TS214E","IMMIG9404","AsTheCrowFlies",0,1290
"TS214E","IMMIG9404","AsTheCrowFlies",10000,1291.45155882
"TS214E","IMMIG9404","AsTheCrowFlies",20000,4651.54318874
"TS214E","IMMIG9404","AsTheCrowFlies",30000,23272.37917283
"TS214E","IMMIG9404","AsTheCrowFlies",40000,43477.45212892
"TS214E","IMMIG9404","AsTheCrowFlies",50000,57825.65866557
"TS214E","IMMIG9404","AsTheCrowFlies",60000,69772.17729942
"TS214E","IMMIG9404","AsTheCrowFlies",70000,82166.10018953
"TS214E","IMMIG9404","AsTheCrowFlies",80000,96636.17151745
"TS214E","IMMIG9404","AsTheCrowFlies",90000,113593.32799952
"TS214E","IMMIG9404","AsTheCrowFlies",1e+05,132238.78801185
"TS214E","IMMIG9404","AsTheCrowFlies",110000,151513.506751
"TS214E","IMMIG9404","AsTheCrowFlies",120000,170921.19641564
"TS214E","IMMIG9404","AsTheCrowFlies",130000,190729.54792703
"TS214E","IMMIG9404","AsTheCrowFlies",140000,211620.4317024
"TS214E","IMMIG9404","AsTheCrowFlies",150000,234169.55261042
"TS214E","IMMIG9404","AsTheCrowFlies",160000,258533.70350531
"TS214E","IMMIG9404","AsTheCrowFlies",170000,284433.361312
"TS214E","IMMIG9404","AsTheCrowFlies",180000,311306.6367923
"TS214E","IMMIG9404","AsTheCrowFlies",190000,338492.29517917
"TS214E","IMMIG9404","AsTheCrowFlies",2e+05,365366.41029497
"TS214E","EMIG9404","AsTheCrowFlies",0,1649
"TS214E","EMIG9404","AsTheCrowFlies",10000,1651.1479378
"TS214E","EMIG9404","AsTheCrowFlies",20000,3795.72025763
"TS214E","EMIG9404","AsTheCrowFlies",30000,18981.13228139
"TS214E","EMIG9404","AsTheCrowFlies",40000,36136.91486327
"TS214E","EMIG9404","AsTheCrowFlies",50000,49320.78584157
"TS214E","EMIG9404","AsTheCrowFlies",60000,61789.56009323
"TS214E","EMIG9404","AsTheCrowFlies",70000,75341.45554726
"TS214E","EMIG9404","AsTheCrowFlies",80000,90921.96566704
"TS214E","EMIG9404","AsTheCrowFlies",90000,108781.70515897
"TS214E","EMIG9404","AsTheCrowFlies",1e+05,128340.21207958
"TS214E","EMIG9404","AsTheCrowFlies",110000,148791.46389873
"TS214E","EMIG9404","AsTheCrowFlies",120000,169708.67775282
"TS214E","EMIG9404","AsTheCrowFlies",130000,191226.90909445
"TS214E","EMIG9404","AsTheCrowFlies",140000,213800.54114421
"TS214E","EMIG9404","AsTheCrowFlies",150000,237803.18709704
"TS214E","EMIG9404","AsTheCrowFlies",160000,263277.54576018
"TS214E","EMIG9404","AsTheCrowFlies",170000,289919.72988573
"TS214E","EMIG9404","AsTheCrowFlies",180000,317204.23131349
"TS214E","EMIG9404","AsTheCrowFlies",190000,344534.54484629
"TS214E","EMIG9404","AsTheCrowFlies",2e+05,371356.52769851
