"ID", "VAR", "MODE", "SPAN","VALUE"
"TS2227","POPTO2004","AsTheCrowFlies",0,18634
"TS2227","POPTO2004","AsTheCrowFlies",10000,19588.81337884
"TS2227","POPTO2004","AsTheCrowFlies",20000,66228.10051803
"TS2227","POPTO2004","AsTheCrowFlies",30000,185653.1923716
"TS2227","POPTO2004","AsTheCrowFlies",40000,330807.88432317
"TS2227","POPTO2004","AsTheCrowFlies",50000,492355.88056377
"TS2227","POPTO2004","AsTheCrowFlies",60000,673654.07141498
"TS2227","POPTO2004","AsTheCrowFlies",70000,879159.89359167
"TS2227","POPTO2004","AsTheCrowFlies",80000,1117675.24449662
"TS2227","POPTO2004","AsTheCrowFlies",90000,1397294.37724617
"TS2227","POPTO2004","AsTheCrowFlies",1e+05,1732352.21988715
"TS2227","POPTO2004","AsTheCrowFlies",110000,2135411.64136315
"TS2227","POPTO2004","AsTheCrowFlies",120000,2603932.86236274
"TS2227","POPTO2004","AsTheCrowFlies",130000,3119650.57488691
"TS2227","POPTO2004","AsTheCrowFlies",140000,3657404.83853662
"TS2227","POPTO2004","AsTheCrowFlies",150000,4193591.13962341
"TS2227","POPTO2004","AsTheCrowFlies",160000,4710322.29817295
"TS2227","POPTO2004","AsTheCrowFlies",170000,5196099.87805655
"TS2227","POPTO2004","AsTheCrowFlies",180000,5644795.0685032
"TS2227","POPTO2004","AsTheCrowFlies",190000,6054179.59247736
"TS2227","POPTO2004","AsTheCrowFlies",2e+05,6424585.07637197
"TS2227","NBLOG2004","AsTheCrowFlies",0,3601
"TS2227","NBLOG2004","AsTheCrowFlies",10000,3796.94587068
"TS2227","NBLOG2004","AsTheCrowFlies",20000,13704.8255747
"TS2227","NBLOG2004","AsTheCrowFlies",30000,39378.19423462
"TS2227","NBLOG2004","AsTheCrowFlies",40000,71182.4906896
"TS2227","NBLOG2004","AsTheCrowFlies",50000,107004.47609778
"TS2227","NBLOG2004","AsTheCrowFlies",60000,147667.52391189
"TS2227","NBLOG2004","AsTheCrowFlies",70000,194225.87856455
"TS2227","NBLOG2004","AsTheCrowFlies",80000,248665.15287265
"TS2227","NBLOG2004","AsTheCrowFlies",90000,313105.95125491
"TS2227","NBLOG2004","AsTheCrowFlies",1e+05,391708.43527019
"TS2227","NBLOG2004","AsTheCrowFlies",110000,488415.61768738
"TS2227","NBLOG2004","AsTheCrowFlies",120000,603161.66944127
"TS2227","NBLOG2004","AsTheCrowFlies",130000,731507.16076691
"TS2227","NBLOG2004","AsTheCrowFlies",140000,866942.9249886
"TS2227","NBLOG2004","AsTheCrowFlies",150000,1003192.17163745
"TS2227","NBLOG2004","AsTheCrowFlies",160000,1135392.27083587
"TS2227","NBLOG2004","AsTheCrowFlies",170000,1260331.58498898
"TS2227","NBLOG2004","AsTheCrowFlies",180000,1376215.15494918
"TS2227","NBLOG2004","AsTheCrowFlies",190000,1482294.65748798
"TS2227","NBLOG2004","AsTheCrowFlies",2e+05,1578522.12792225
"TS2227","IMMIG9404","AsTheCrowFlies",0,305
"TS2227","IMMIG9404","AsTheCrowFlies",10000,330.53337084
"TS2227","IMMIG9404","AsTheCrowFlies",20000,1413.15461982
"TS2227","IMMIG9404","AsTheCrowFlies",30000,4865.23545074
"TS2227","IMMIG9404","AsTheCrowFlies",40000,9255.72186323
"TS2227","IMMIG9404","AsTheCrowFlies",50000,14467.62778446
"TS2227","IMMIG9404","AsTheCrowFlies",60000,20544.89561712
"TS2227","IMMIG9404","AsTheCrowFlies",70000,27565.91156853
"TS2227","IMMIG9404","AsTheCrowFlies",80000,36071.74650018
"TS2227","IMMIG9404","AsTheCrowFlies",90000,47314.23327035
"TS2227","IMMIG9404","AsTheCrowFlies",1e+05,63783.45173808
"TS2227","IMMIG9404","AsTheCrowFlies",110000,87824.64467691
"TS2227","IMMIG9404","AsTheCrowFlies",120000,119855.59871575
"TS2227","IMMIG9404","AsTheCrowFlies",130000,158245.79984474
"TS2227","IMMIG9404","AsTheCrowFlies",140000,200377.81079528
"TS2227","IMMIG9404","AsTheCrowFlies",150000,243679.35470379
"TS2227","IMMIG9404","AsTheCrowFlies",160000,286147.62771117
"TS2227","IMMIG9404","AsTheCrowFlies",170000,326456.06678794
"TS2227","IMMIG9404","AsTheCrowFlies",180000,363856.27582253
"TS2227","IMMIG9404","AsTheCrowFlies",190000,398022.67759917
"TS2227","IMMIG9404","AsTheCrowFlies",2e+05,428908.81876549
"TS2227","EMIG9404","AsTheCrowFlies",0,563
"TS2227","EMIG9404","AsTheCrowFlies",10000,618.54396763
"TS2227","EMIG9404","AsTheCrowFlies",20000,3801.72122596
"TS2227","EMIG9404","AsTheCrowFlies",30000,12717.19211586
"TS2227","EMIG9404","AsTheCrowFlies",40000,23375.33047095
"TS2227","EMIG9404","AsTheCrowFlies",50000,35583.49771169
"TS2227","EMIG9404","AsTheCrowFlies",60000,49684.26384485
"TS2227","EMIG9404","AsTheCrowFlies",70000,65348.41042836
"TS2227","EMIG9404","AsTheCrowFlies",80000,82600.67854955
"TS2227","EMIG9404","AsTheCrowFlies",90000,101800.01621337
"TS2227","EMIG9404","AsTheCrowFlies",1e+05,124366.62166645
"TS2227","EMIG9404","AsTheCrowFlies",110000,151885.96187338
