"ID", "VAR", "MODE", "SPAN","VALUE"
"TS222A","POPTO2004","AsTheCrowFlies",0,41240
"TS222A","POPTO2004","AsTheCrowFlies",10000,41241.23834371
"TS222A","POPTO2004","AsTheCrowFlies",20000,64664.17535479
"TS222A","POPTO2004","AsTheCrowFlies",30000,145222.60334583
"TS222A","POPTO2004","AsTheCrowFlies",40000,233623.40654704
"TS222A","POPTO2004","AsTheCrowFlies",50000,333423.53836611
"TS222A","POPTO2004","AsTheCrowFlies",60000,457905.93876506
"TS222A","POPTO2004","AsTheCrowFlies",70000,612924.65369788
"TS222A","POPTO2004","AsTheCrowFlies",80000,796044.12907948
"TS222A","POPTO2004","AsTheCrowFlies",90000,1004012.16401061
"TS222A","POPTO2004","AsTheCrowFlies",1e+05,1236998.15718899
"TS222A","POPTO2004","AsTheCrowFlies",110000,1501971.34944542
"TS222A","POPTO2004","AsTheCrowFlies",120000,1810411.41991365
"TS222A","POPTO2004","AsTheCrowFlies",130000,2169972.94065635
"TS222A","POPTO2004","AsTheCrowFlies",140000,2578569.66751032
"TS222A","POPTO2004","AsTheCrowFlies",150000,3025027.80376518
"TS222A","POPTO2004","AsTheCrowFlies",160000,3493490.97989729
"TS222A","POPTO2004","AsTheCrowFlies",170000,3967811.18517678
"TS222A","POPTO2004","AsTheCrowFlies",180000,4434269.2652729
"TS222A","POPTO2004","AsTheCrowFlies",190000,4882629.63053391
"TS222A","POPTO2004","AsTheCrowFlies",2e+05,5306113.19661087
"TS222A","NBLOG2004","AsTheCrowFlies",0,9259
"TS222A","NBLOG2004","AsTheCrowFlies",10000,9259.29167626
"TS222A","NBLOG2004","AsTheCrowFlies",20000,14801.09617795
"TS222A","NBLOG2004","AsTheCrowFlies",30000,33187.06699273
"TS222A","NBLOG2004","AsTheCrowFlies",40000,52773.64868822
"TS222A","NBLOG2004","AsTheCrowFlies",50000,74655.5914576
"TS222A","NBLOG2004","AsTheCrowFlies",60000,102200.66105021
"TS222A","NBLOG2004","AsTheCrowFlies",70000,136836.11246895
"TS222A","NBLOG2004","AsTheCrowFlies",80000,178012.5151729
"TS222A","NBLOG2004","AsTheCrowFlies",90000,224997.45442064
"TS222A","NBLOG2004","AsTheCrowFlies",1e+05,277909.59036862
