ID;NAMES
TS1248;Kesra 
TS124A;El Aroussa 
TS1246;Makthar 
TS1247;Er-Rouhia 
TS1240;Siliana Nord  
TS1241;Siliana Sud 
TS2115;Akouda 
TS211A;Bouficha 
TS2119;Enfidha 
TS1120;L Ariana Ville  
TS1125;Cité Ettadhamen 
TS1123;Kalaât El Andalous 
TS1126;El Mnihla 
TS1122;Raoued 
TS1124;Sidi Thabet 
TS1121;Soukra 
TS1212;Amdoun 
TS1210;Béja Nord  
TS1211;Béja Sud 
TS1217;Goubellat 
TS1218;Medjez El Bab 
TS1213;Nefza 
TS1214;Teboursouk 
TS1216;Testour 
TS1215;Tibar 
TS1130;Ben Arous  
TS1135;Bou Mhel El Bassatine 
TS1132;El Mourouj 
TS1136;Ezzahra 
TS113A;Fouchana 
TS1134;Hammam Chôtt 
TS1133;Hammam Lif 
TS1138;Megrine 
TS1139;Mohamedia 
TS113B;Mornag 
TS1131;La Nouvelle Medina 
TS1137;Radès 
TS1170;Bizerte Nord  
TS1172;Bizerte Sud 
TS117C;El Alia 
TS117A;Ghar El Meleh 
TS1176;Ghezala 
TS1174;Djoumine 
TS1175;Mateur 
TS1177;Menzel Bourguiba 
TS117B;Menzel Djemil 
TS117D;Ras Djebel 
TS1173;Sedjnane 
TS1178;Tinja 
TS1179;Utique 
TS3110;Gabes Medina  
TS3111;Gabes Ouest 
TS3112;Gabes Sud 
TS3113;Ghanouch 
TS3116;El Hamma 
TS3119;Mareth 
TS3117;Matmata 
TS3118;Nouvelle Matmata 
TS3115;Menzel El Habib 
TS3114;El Metouia 
TS3219;Belkhir 
TS3210;Gafsa Nord  
TS3213;Gafsa Sud 
TS3218;EL Guetar 
TS3212;El Ksar 
TS3217;Mdhila 
TS3216;Metlaoui 
TS3214;Oum El Araies 
TS3215;Redeyef 
TS321A;Sned 
TS3211;Sidi Aïch 
TS1224;Ain Draham 
TS1228;Balta - Bou Aouane 
TS1222;Bou Salem 
TS1225;Fernana 
TS1226;Ghardimaou 
TS1221;Jendouba Nord 
TS1220;Jendouba  
TS1227;Oued Meliz 
TS1223;Tabarka 
TS2216;El Alâa 
TS221A;Bouhajla 
TS2212;Echebika 
TS2219;Echrarda 
TS2215;Haffouz 
TS2217;Hajeb el Ayoun 
TS2210;Kairouan Nord  
TS2211;Kairouan Sud 
TS2218;Nasrallah 
TS2214;EL Ouslatia 
TS2213;Sbikha 
TS2227;El Ayoun 
TS2222;Ezzouhour 
TS222B;Feriana 
TS222A;Foussana 
TS2223;Hassi Ferid 
TS2229;Hidra 
TS2226;Djedeliane 
TS2220;Kasserine Nord  
TS2221;Kasserine Sud 
TS222C;Majel Bel Abbès 
TS2224;Sbeitla 
TS2225;Sbiba 
TS2228;Thala 
TS3234;Douz Sud 
TS3235;Faouar 
TS3231;Kebeli Nord 
TS3230;Kebili Sud  
TS3232;Souk El Ahed 
TS1239;Dahmani 
TS123A;Es-Sers 
TS1237;Djerissa 
TS1236;Kalâat Khasbah 
TS1235;Kalâat Snan 
TS1231;Kef Est 
TS1230;Kef Ouest  
TS1238;El Ksour 
TS1232;Nebeur 
TS1233;Sakiet Sidi Youssef 
TS1234;Tajerouine 
TS2131;Bou Merdès 
TS2137;Chebba 
TS2133;Chorbane 
TS2136;El Djem 
TS2134;Hebira 
TS213A;Ksour Essef 
TS2130;Mahdia  
TS2138;Melloulech 
TS2132;Ouled Chamekh 
TS2139;Sidi Alouane 
TS2135;Essouassi 
TS1144;Borj Amri 
TS1141;Douar Hicher 
TS1147;El Battane 
TS1145;Djedeida 
TS1140;Mannouba  
TS1143;Mornaguia 
TS1142;Oued Ellil 
TS1146;Tebourba 
TS3123;Ben Guerdane 
TS3122;Beni Khedech 
TS3127;Djerba Ajim 
TS3126;Djerba Midoun 
TS3125;Djerba Houmet Souk 
TS3120;Medenine Nord  
TS3121;Medenine Sud 
TS3128;Sidi Makhloulf 
TS3124;Zarzis 
TS2128;Bekalta 
TS2126;Bembla 
TS2124;Beni Hassen 
TS2125;Jammel 
TS212A;Ksar Helal 
TS212B;Ksibet El Mediouni 
TS2127;Moknine 
TS2120;Monastir  
TS2121;Ouerdanine 
TS2122;Sahline 
TS212C;Sayada-Lamta Bou-Hjar 
TS2129;Teboulba 
TS2123;Zermadine 
TS115C;Beni Khalled 
TS1152;Beni khiar 
TS115E;Bou Argoub 
TS1151;Dar Châabane El Fehri 
TS1155;El Mida 
TS115D;Grombalia 
TS1157;Hammam El Guezaz 
TS115F;Hammamet 
TS1158;El Haouaria 
TS1156;Kelibia 
TS115B;Menzel Bouzelfa 
TS1154;Menzel Temime 
TS1150;Nabeul  
TS115A;Soliman 
TS1159;Takelsa 
TS2146;Agareb 
TS214C;Bir ali Ben Kelifa 
TS2148;El Amra 
TS214B;Ghraiba 
TS2149;El Hencha 
TS2147;Djebeniana 
TS214F;Kerkenah 
TS214E;Mahres 
TS214A;Menzel Chaker 
TS2143;Sakiet Eddaïer 
TS2142;Sakiet Ezzit 
TS2140;Sfax Ville  
TS2141;Sfax Ouest 
TS2144;Sfax Sud 
TS214D;Skhira 
TS2234;Bir El Hafey 
TS2232;Jilma 
TS2239;Mezzouna 
TS2237;Meknassy 
TS2236;Menzel Bouzaïenne 
TS223B;Ouled Haffouz 
TS223A;Regueb 
TS2233;Cebalet Ouled Asker 
TS2235;Sidi Ali Ben Aoûn 
TS2231;Sidi Bouzid Est 
TS2230;Sidi Bouzid Ouest  
TS2238;Souk Jedid 
TS1249;Bargou 
TS1242;Bou Arada 
TS1245;Bourouis 
TS1244;El Krib 
TS1243;Gaâfour 
TS2114;Hammam Sousse 
TS2118;Hergla 
TS2116;Kalaâ Kebira 
TS211E;Kalaâ Seghira 
TS211B;Kondar 
TS211D;M saken 
TS2117;Sidi Bou Ali 
TS211C;Sidi El Héni 
TS2112;Sousse Jawhara 
TS2110;Sousse Medina  
TS2111;Sousse Riadh 
TS2113;Sousse Sidi Abdelhamid 
TS3133;Bir Lahmar 
TS3135;Dhehiba 
TS3134;Ghomrassen 
TS3136;Remada 
TS3132;Smâr 
TS3130;Tataouine Nord  
TS3131;Tataouine Sud 
TS3221;Degach 
TS3224;Hazoua 
TS3223;Nefta 
TS3222;Tameghza 
TS3220;Tozeur  
TS1112;Bab El Bhar 
TS1113;Bab Souika 
TS1119;Le Bardo 
TS111J;Le Kram 
TS1110;Carthage 
TS1118;Cité El Khadhra 
TS1117;El Menzah 
TS111E;El Ouardia 
TS1116;Ettahrir 
TS111B;Ezzouhour 
TS111C;El Hrairia 
TS111H;Djebel Djelloud 
TS111F;El Kabaria 
TS111I;La Goulette 
TS111K;La Marsa 
TS1111;La Medina 
TS1114;El Omrane 
TS1115;El Omrane Supérieur 
TS111G;Sidi El Béchir 
TS111D;Sidi Hassine 
TS111A;Sijoumi 
TS1162;Bir Mchergua 
TS1163;El Fahs 
TS1164;En-Nadhour 
TS1165;Saouaf 
TS1160;Zaghouan  
TS1161;Ez-Zeriba 
TS2145;Tina 
TS1171;Zarzouna 
TS3233;Douz Nord 
TS1153;Korba 
